Sample	Unique Reads	Duplicate Reads
SRR11825857_1	5217.0	36994.0
SRR11825857_2	9062.0	33149.0
SRR11825858_1	4905.0	48616.0
SRR11825858_2	11956.0	41565.0
SRR11825859_1	4522.0	44090.0
SRR11825859_2	11165.0	37447.0
SRR11825860_1	5449.0	42129.0
SRR11825860_2	9539.0	38039.0
SRR11825861_1	5805.0	61661.0
SRR11825861_2	15664.0	51802.0
SRR11825862_1	4184.0	35973.0
SRR11825862_2	9551.0	30606.0
SRR11825863_1	4745.0	42868.0
SRR11825863_2	11542.0	36071.0
SRR11825864_1	5459.0	39092.0
SRR11825864_2	12042.0	32509.0
SRR11825865_1	4472.0	37785.0
SRR11825865_2	7783.0	34474.0
SRR11825866_1	6344.0	51623.0
SRR11825866_2	15666.0	42301.0
SRR11825867_1	3466.0	41450.0
SRR11825867_2	9501.0	35415.0
SRR11825868_1	6182.0	44949.0
SRR11825868_2	13598.0	37533.0
SRR11825869_1	5027.0	40512.0
SRR11825869_2	8994.0	36545.0
SRR11825870_1	5928.0	47995.0
SRR11825870_2	15158.0	38765.0
SRR11825871_1	5532.0	50064.0
SRR11825871_2	13098.0	42498.0
SRR11825872_1	5925.0	53233.0
SRR11825872_2	13889.0	45269.0
SRR11825873_1	4090.0	26253.0
SRR11825873_2	6970.0	23373.0
SRR11825874_1	4771.0	40265.0
SRR11825874_2	9105.0	35931.0
SRR11825875_1	7099.0	62165.0
SRR11825875_2	18263.0	51001.0
SRR11825876_1	3884.0	52104.0
SRR11825876_2	10831.0	45157.0
SRR11825877_1	5768.0	50046.0
SRR11825877_2	13231.0	42583.0
SRR11825878_1	7307.0	49498.0
SRR11825878_2	11948.0	44857.0
SRR11825879_1	7784.0	63289.0
SRR11825879_2	18804.0	52269.0
SRR11825880_1	3984.0	54088.0
SRR11825880_2	11048.0	47024.0
SRR11825881_1	6308.0	44322.0
SRR11825881_2	12953.0	37677.0
SRR11825882_1	5158.0	46962.0
SRR11825882_2	10102.0	42018.0
SRR11825883_1	7311.0	62543.0
SRR11825883_2	18724.0	51130.0
SRR11825884_1	4974.0	39563.0
SRR11825884_2	12377.0	32160.0
SRR11825885_1	5928.0	49513.0
SRR11825885_2	13944.0	41497.0
SRR11825886_1	6602.0	44822.0
SRR11825886_2	13798.0	37626.0
SRR11825887_1	6502.0	43160.0
SRR11825887_2	11187.0	38475.0
SRR11825888_1	5280.0	61769.0
SRR11825888_2	17110.0	49939.0
SRR11825889_1	4788.0	58696.0
SRR11825889_2	12714.0	50770.0
SRR11825890_1	5016.0	50984.0
SRR11825890_2	13090.0	42910.0
SRR11825891_1	4610.0	37666.0
SRR11825891_2	8275.0	34001.0
SRR11825892_1	8310.0	67684.0
SRR11825892_2	20336.0	55658.0
SRR11825893_1	3819.0	54572.0
SRR11825893_2	10804.0	47587.0
SRR11825894_1	6883.0	50998.0
SRR11825894_2	14463.0	43418.0
SRR11825895_1	4774.0	42124.0
SRR11825895_2	11923.0	34975.0
SRR11825896_1	4542.0	32437.0
SRR11825896_2	10295.0	26684.0
SRR11825897_1	6087.0	32571.0
SRR11825897_2	9877.0	28781.0
SRR11825898_1	4540.0	51489.0
SRR11825898_2	12207.0	43822.0
SRR11825899_1	6278.0	46548.0
SRR11825899_2	13970.0	38856.0
SRR11825900_1	4421.0	36995.0
SRR11825900_2	8187.0	33229.0
SRR11825901_1	4917.0	49143.0
SRR11825901_2	13002.0	41058.0
SRR11825902_1	5372.0	54189.0
SRR11825902_2	12617.0	46944.0
SRR11825903_1	6100.0	49845.0
SRR11825903_2	13905.0	42040.0
SRR11825904_1	4149.0	40827.0
SRR11825904_2	7915.0	37061.0
SRR11825905_1	5741.0	39844.0
SRR11825905_2	9189.0	36396.0
SRR11825906_1	5476.0	62035.0
SRR11825906_2	14194.0	53317.0
SRR11825907_1	5618.0	54032.0
SRR11825907_2	14154.0	45496.0
SRR11825908_1	7196.0	58095.0
SRR11825908_2	15396.0	49895.0
SRR11825909_1	6327.0	44067.0
SRR11825909_2	10342.0	40052.0
SRR11825910_1	4937.0	45997.0
SRR11825910_2	10501.0	40433.0
SRR11825911_1	6025.0	45700.0
SRR11825911_2	13261.0	38464.0
SRR11825912_1	5854.0	42518.0
SRR11825912_2	9998.0	38374.0
SRR11825913_1	7821.0	53850.0
SRR11825913_2	18390.0	43281.0
SRR11825914_1	3389.0	60243.0
SRR11825914_2	9400.0	54232.0
SRR11825915_1	7600.0	66033.0
SRR11825915_2	20016.0	53617.0
SRR11825916_1	6042.0	49072.0
SRR11825916_2	14283.0	40831.0
SRR11825917_1	5116.0	48812.0
SRR11825917_2	9776.0	44152.0
SRR11825918_1	8270.0	63839.0
SRR11825918_2	20123.0	51986.0
SRR11825919_1	2974.0	56869.0
SRR11825919_2	9513.0	50330.0
SRR11825920_1	7248.0	54720.0
SRR11825920_2	14955.0	47013.0
SRR11825921_1	5687.0	47314.0
SRR11825921_2	9921.0	43080.0
SRR11825922_1	7534.0	67944.0
SRR11825922_2	18512.0	56966.0
SRR11825923_1	2783.0	36736.0
SRR11825923_2	7376.0	32143.0
SRR11825924_1	4642.0	33738.0
SRR11825924_2	9875.0	28505.0
SRR11825925_1	3227.0	24834.0
SRR11825925_2	6068.0	21993.0
SRR11825926_1	3348.0	39003.0
SRR11825926_2	9262.0	33089.0
SRR11825927_1	3369.0	34015.0
SRR11825927_2	10049.0	27335.0
SRR11825928_1	3363.0	34503.0
SRR11825928_2	8454.0	29412.0
SRR11825929_1	6031.0	43129.0
SRR11825929_2	14995.0	34165.0
SRR11825930_1	4879.0	31682.0
SRR11825930_2	10556.0	26005.0
SRR11825931_1	4097.0	43267.0
SRR11825931_2	10939.0	36425.0
SRR11825932_1	5609.0	40775.0
SRR11825932_2	12609.0	33775.0
SRR11825933_1	4293.0	30680.0
SRR11825933_2	7718.0	27255.0
SRR11825934_1	5776.0	39049.0
SRR11825934_2	14185.0	30640.0
SRR11825935_1	3323.0	36385.0
SRR11825935_2	8368.0	31340.0
SRR11825936_1	4433.0	40123.0
SRR11825936_2	10970.0	33586.0
SRR11825937_1	5134.0	36291.0
SRR11825937_2	9329.0	32096.0
SRR11825938_1	5146.0	43601.0
SRR11825938_2	13517.0	35230.0
SRR11825939_1	4444.0	40675.0
SRR11825939_2	10983.0	34136.0
SRR11825940_1	3579.0	37290.0
SRR11825940_2	9049.0	31820.0
SRR11825941_1	3046.0	28894.0
SRR11825941_2	6090.0	25850.0
SRR11825942_1	4163.0	38945.0
SRR11825942_2	7972.0	35136.0
SRR11825943_1	5852.0	51041.0
SRR11825943_2	15463.0	41430.0
SRR11825944_1	5152.0	45027.0
SRR11825944_2	12141.0	38038.0
SRR11825945_1	4352.0	40858.0
SRR11825945_2	10281.0	34929.0
SRR11825946_1	5918.0	35507.0
SRR11825946_2	9304.0	32121.0
SRR11825947_1	7832.0	50195.0
SRR11825947_2	17763.0	40264.0
SRR11825948_1	4439.0	49458.0
SRR11825948_2	11226.0	42671.0
SRR11825949_1	4892.0	43127.0
SRR11825949_2	11785.0	36234.0
SRR11825950_1	5239.0	44571.0
SRR11825950_2	9514.0	40296.0
SRR11825951_1	7355.0	62479.0
SRR11825951_2	18310.0	51524.0
SRR11825952_1	4354.0	33861.0
SRR11825952_2	10960.0	27255.0
SRR11825953_1	5583.0	51596.0
SRR11825953_2	13039.0	44140.0
SRR11825954_1	3910.0	41623.0
SRR11825954_2	9629.0	35904.0
SRR11825955_1	5430.0	38009.0
SRR11825955_2	9240.0	34199.0
SRR11825956_1	6897.0	64750.0
SRR11825956_2	18055.0	53592.0
SRR11825957_1	4661.0	51050.0
SRR11825957_2	12097.0	43614.0
SRR11825958_1	6284.0	48968.0
SRR11825958_2	13810.0	41442.0
SRR11825959_1	5054.0	51428.0
SRR11825959_2	9933.0	46549.0
SRR11825960_1	6336.0	58206.0
SRR11825960_2	16618.0	47924.0
SRR11825961_1	5045.0	45398.0
SRR11825961_2	12335.0	38108.0
SRR11825962_1	5981.0	37923.0
SRR11825962_2	13466.0	30438.0
SRR11825963_1	4525.0	39398.0
SRR11825963_2	10674.0	33249.0
SRR11825964_1	3826.0	39258.0
SRR11825964_2	7397.0	35687.0
SRR11825965_1	6821.0	50507.0
SRR11825965_2	16926.0	40402.0
SRR11825966_1	5239.0	48602.0
SRR11825966_2	12618.0	41223.0
SRR11825967_1	6299.0	37886.0
SRR11825967_2	13281.0	30904.0
SRR11825968_1	5678.0	39327.0
SRR11825968_2	10026.0	34979.0
SRR11825969_1	3817.0	56747.0
SRR11825969_2	12684.0	47880.0
SRR11825970_1	6118.0	44093.0
SRR11825970_2	14179.0	36032.0
SRR11825971_1	4890.0	47978.0
SRR11825971_2	11454.0	41414.0
SRR11825972_1	5885.0	42859.0
SRR11825972_2	12498.0	36246.0
SRR11825973_1	6381.0	45177.0
SRR11825973_2	10414.0	41144.0
SRR11825974_1	4670.0	61501.0
SRR11825974_2	12856.0	53315.0
SRR11825975_1	5039.0	53401.0
