Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR11825857_1	SRR11825857_1.fastq	Conventional base calls	Sanger / Illumina 1.9	42211.0	0.0	297.0	54.0	12.359337613418303	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825857_2	SRR11825857_2.fastq	Conventional base calls	Sanger / Illumina 1.9	42211.0	0.0	299.0	54.0	21.46833763710881	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825858_1	SRR11825858_1.fastq	Conventional base calls	Sanger / Illumina 1.9	53521.0	0.0	295.0	53.0	9.164626968853346	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825858_2	SRR11825858_2.fastq	Conventional base calls	Sanger / Illumina 1.9	53521.0	0.0	295.0	54.0	22.3388950131724	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825859_1	SRR11825859_1.fastq	Conventional base calls	Sanger / Illumina 1.9	48612.0	0.0	296.0	53.0	9.302229902081791	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825859_2	SRR11825859_2.fastq	Conventional base calls	Sanger / Illumina 1.9	48612.0	0.0	298.0	53.0	22.967580021393893	298.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825860_1	SRR11825860_1.fastq	Conventional base calls	Sanger / Illumina 1.9	47578.0	0.0	297.0	53.0	11.452772289713733	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825860_2	SRR11825860_2.fastq	Conventional base calls	Sanger / Illumina 1.9	47578.0	0.0	299.0	54.0	20.049182395224683	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825861_1	SRR11825861_1.fastq	Conventional base calls	Sanger / Illumina 1.9	67466.0	0.0	298.0	55.0	8.604334034921294	298.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825861_2	SRR11825861_2.fastq	Conventional base calls	Sanger / Illumina 1.9	67466.0	0.0	301.0	55.0	23.217620727477545	301.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825862_1	SRR11825862_1.fastq	Conventional base calls	Sanger / Illumina 1.9	40157.0	0.0	296.0	58.0	10.419105012824662	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825862_2	SRR11825862_2.fastq	Conventional base calls	Sanger / Illumina 1.9	40157.0	0.0	298.0	57.0	23.78414722215305	298.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825863_1	SRR11825863_1.fastq	Conventional base calls	Sanger / Illumina 1.9	47613.0	0.0	295.0	54.0	9.965765652237835	295.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825863_2	SRR11825863_2.fastq	Conventional base calls	Sanger / Illumina 1.9	47613.0	0.0	295.0	54.0	24.241278642387584	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825864_1	SRR11825864_1.fastq	Conventional base calls	Sanger / Illumina 1.9	44551.0	0.0	296.0	53.0	12.25337253933694	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825864_2	SRR11825864_2.fastq	Conventional base calls	Sanger / Illumina 1.9	44551.0	0.0	298.0	53.0	27.027451684586207	298.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
