	AD	C
Ruminococcaceae	0.18570205445521	0.301928843988889
Enterobacteriaceae	0.164854432260325	0.18496428033164
Lachnospiraceae	0.120704385161668	0.186551497973759
Bifidobacteriaceae	0.158932129559723	0.0512404731806592
Bacteroidaceae	0.0561837395403105	0.0491849443425175
Akkermansiaceae	0.072374512712951	0.00621485416852277
Coriobacteriaceae	0.0324602957456832	0.0126197016120278
Veillonellaceae	0.0153554841741667	0.026056375574315
Lactobacillaceae	0.0220998488225106	0.011896949071216
Oscillospiraceae	0.0177166357550935	0.0179085075451971
coprostanoligenes_group	0.0124668830448548	0.0238933354630422
Clostridiaceae	0.0050175439458677	0.0262730530347848
Prevotellaceae	0.0113345224577349	0.0127705665648371
Peptostreptococcaceae	0.00685860579126809	0.0124680154836333
Streptococcaceae	0.00839563117966788	0.00982119953846348
Erysipelatoclostridiaceae	0.0118898675366981	0.00431547885167965
Christensenellaceae	0.0110667950122798	0.00526282117684674
Rikenellaceae	0.00961839131492765	0.00588228690347315
Tannerellaceae	0.00983877720391912	0.0048265526117011
Enterococcaceae	0.00964665432670401	9.93139635118538e-05
Other	0.0574828099984352	0.0458209486192832
