	AD	C
Bifidobacterium	0.158801855960044	0.0512213011248033
Subdoligranulum	0.105315646579317	0.114133964670362
Faecalibacterium	0.041893758279143	0.160453628728914
Escherichia_Shigella	0.076525211411912	0.098255964891859
Bacteroides	0.0561837395403105	0.0491849443425175
Unspecified_Enterobacteriaceae	0.0494716704358686	0.0466710224370752
Akkermansia	0.072374512712951	0.00621485416852277
Agathobacter	0.0115476409736853	0.0621841187995739
Blautia	0.0348712980430576	0.0256176866630744
Klebsiella	0.0320008713995258	0.025286201792305
Collinsella	0.0311473872149808	0.0125518897624529
Lactobacillus	0.0220998488225106	0.011896949071216
coprostanoligenes_group	0.0124668830448548	0.0238933354630422
Clostridium_sensu_stricto_1	0.00495188720499043	0.0262730530347848
Unspecified_Lachnospiraceae	0.0124845940508812	0.0132505202426108
Roseburia	0.00605518236562152	0.0192182548002994
Prevotella	0.0108159944601873	0.0120160971143912
CAG_352	0.0110191998311898	0.0102792850614284
Enterobacter	0.00680460131407317	0.0144572904109708
Streptococcus	0.00827192240185771	0.00966278466813287
Other	0.234896293953037	0.207276852751663
