	AD	C
Firmicutes	0.455382600438022	0.654475374694039
Proteobacteria	0.167099826867458	0.189137128490011
Actinobacteriota	0.202888300118638	0.0699298798010543
Bacteroidota	0.0907840660492194	0.0754879047017717
Verrucomicrobiota	0.072412749062849	0.00621485416852277
Euryarchaeota	0.00486947323971706	0.000669923607300072
Fusobacteriota	0.00267932358316867	0.00189380958851447
Desulfobacterota	0.00274230865956584	0.00151284056408609
Patescibacteria	0.000732132796166744	0.000628298596446855
Synergistota	0.000389906089726746	4.99857882542607e-05
Campilobacterota	1.93130954677411e-05	0
