Taxonomy	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88
Apoptosis	4.697247706	13.3853211	4.174311927	38.22018349	7.95412844	18.70642202	2.256880734	13.37614679	11.30275229	125.5412844	121.4587156	7.091743119	134.2568807	0.605504587	53.14678899	124.0458716	9.834862385	28.24770642	0.935779817	254.9541284	17.8440367	153.9082569	115.4495413	64.76146789	34.98165138	0.19266055	19.08256881	15.18348624	16.08256881	6.128440367	142.9541284	2.862385321	14.46788991	22.44954128	64.18348624	41.40366972	0.036697248	0.385321101	3.633027523	8.770642202	0.816513761	0.018348624	7.80733945	18.19266055	1.201834862	0.146788991	1.76146789	0	7.47706422	1.119266055	2.834862385	158.146789	51.57798165	16.79816514	3.357798165	0.064220183	16.80733945	15.27522936	1.779816514	170.1651376	65.19266055	31.11009174	18.96330275	4.596330275	0.293577982	1.082568807	26.04587156	1.834862385	0.596330275	2.889908257	6.816513761	31.4587156	90.78899083	0.018348624	0.963302752	47.09174312	4.587155963	0.311926606	70.33944954	130.9724771	5.321100917	153.587156	120.3853211	3.541284404	11.44954128	4.642201835	5.256880734	43.17431193	0.330275229	8.403669725	42.96330275	4.926605505	34.6146789	0.293577982	3.642201835	61.44036697	0.155963303	59.94495413	63.56880734	3.52293578	5.651376147	0.403669725	22.55045872	25.88073394	18.2293578	10.14678899	11.60550459	61.47706422	19.08256881	56.36697248	8.623853211	4.541284404	80.11009174	4.587155963	75	38.59633028	10.77981651	0.568807339	7.834862385	0.697247706	0.47706422	46.17431193	16.44954128	10.22018349	17.25688073	2.871559633	24.06422018	2.642201835	3.990825688	5.917431193	5.550458716	16.46788991	3.541284404	92.31192661	0.357798165	53.93577982	66.43119266	39.86238532	41.87155963	0	36.5412844	21.29357798	20.53211009	9.963302752	43.29357798	5.935779817	1.19266055	134.6972477	7.201834862	56.49541284	17.17431193	20.19266055	1.550458716	0.706422018	17.7706422	0.587155963	1.339449541	18.94495413	27.44954128	2.357798165	0.091743119	58.27522936	1.385321101	35.10091743	6.073394495	0.339449541	44.49541284	3.550458716	7.394495413	21.67889908	8.376146789
Apoptosis - fly	73.625	316.6964286	126.7321429	151.3392857	43.58928571	204.9821429	39.05357143	248	252.5714286	460.125	247.7678571	111.4642857	205.1428571	353.875	449.3928571	259.3928571	222.4107143	263.3928571	467.8392857	304.6785714	433.0535714	356.5	226.8928571	398.1428571	264.6964286	471.8928571	99.46428571	399.7857143	843.1964286	853.4464286	203.8392857	83.73214286	496.625	397.8928571	158.9107143	103.1785714	52.39285714	203	181.7857143	158.5	151.4642857	49.03571429	218.3928571	40.25	241.8571429	246	189.3035714	60.41071429	336.1071429	72.76785714	225.0535714	936.6785714	164.5892857	44	42.41071429	685.0892857	228.0535714	107.875	65.80357143	95.875	450.8392857	96.05357143	224.4464286	239.8928571	282.9821429	84.66071429	438.3035714	355.5892857	368.9642857	44.05357143	67.92857143	204.1607143	329.8392857	587.0178571	48.30357143	131.6964286	250.7321429	506.9821429	363.1785714	412.25	137.875	290.1071429	268.8035714	758.2321429	764.625	71.55357143	248.7321429	343.25	268.4642857	323.7321429	300.5892857	448.7321429	391.75	501.3214286	512.4285714	653	241.6785714	397.25	592.2321429	438.7142857	85.08928571	369.7678571	47.58928571	272.6607143	34.58928571	123.3035714	255.2678571	94.21428571	69.91071429	123.5	57.16071429	155.6785714	108.125	464.7857143	401.0714286	83.94642857	180.5892857	475.6964286	211.1071429	94.42857143	17.625	143.1964286	326.1428571	79.39285714	64.96428571	414.5714286	44.21428571	38.57142857	68.625	189	142.9107143	262.8928571	22.80357143	169.5	560.5357143	120.3928571	177.1964286	93.91071429	117.6785714	675.5	78.23214286	52.89285714	518.4107143	142.5714286	300.3928571	91.08928571	345.6071429	261.9821429	872.2321429	101.1607143	343.2142857	56.64285714	81.64285714	436.7678571	119.3928571	112.75	342.8571429	60.73214286	55.07142857	448.125	736.1428571	117.5535714	62.67857143	33.30357143	344.125	109.9107143	58.73214286	32.25	230.4821429	101.125	105.9285714
Apoptosis - multiple species	0.128205128	0.153846154	0	0.256410256	4.435897436	0.871794872	0.333333333	5.384615385	0	0	0	0.461538462	0.333333333	0.948717949	0.076923077	0.666666667	4.102564103	8.333333333	1.358974359	0.58974359	0.051282051	1.128205128	0	0	4.615384615	0.076923077	0.102564103	1.615384615	0	2.897435897	11.74358974	0.128205128	1.102564103	0.692307692	1.205128205	0	0	0.153846154	0	0.717948718	0.512820513	0	0	0	0	0.41025641	0	0	0.384615385	0.666666667	0.871794872	0	0.692307692	0	0.179487179	0	0.128205128	0.333333333	0.153846154	0	0.512820513	21.97435897	0.102564103	0	0	0.076923077	0.307692308	0	0.512820513	0.153846154	0.435897436	0.333333333	2.948717949	0	0.051282051	0.153846154	0.102564103	0	0	0.333333333	1.820512821	0.179487179	3.820512821	3.641025641	2.641025641	0	3.205128205	4.923076923	0.307692308	0.051282051	0.615384615	0	1.076923077	0	6.435897436	0.153846154	0.179487179	0	0.435897436	0.435897436	0	0	0.358974359	0.769230769	0.179487179	1.282051282	0	0.538461538	0	0.256410256	0.102564103	0	0	0.128205128	0	0	0	0	0.153846154	0	0	0	0.846153846	0.128205128	0.179487179	0	0	0	0	0.128205128	0	0.538461538	0	0	0	0.435897436	0.153846154	0.102564103	0.153846154	0	0.307692308	0.179487179	0.487179487	1.717948718	0	0	0	0	0	0	1.230769231	0	0	0	4.384615385	0.41025641	0	0.58974359	0	0	0	0.076923077	0	0.179487179	5.666666667	0	0.333333333	0.230769231	2.58974359	0	0.307692308
Cell cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073394495	0.027522936	11.87155963	0	0.119266055	0	0	1.486238532	0	0	0.036697248	0	0	0	0	0	0.743119266	0	0	0	0	0	0	0	0	0	0	0	0	0.623853211	0	0	0	2.146788991	0.04587156	0	0	0	0	0	0	0	0	0	0	0	0.394495413	0.23853211	0	23.72477064	0	0	0	0	0	0	0	0	0	0	0	0	1.119266055	0	0	96.44954128	0	1.862385321	3.19266055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036697248	0	0	0	0	0	0	0	3.19266055	0	0	0	0	0	0.119266055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04587156	0	0.19266055	0.23853211	0	0	0	0	0.944954128	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027522936	0	0.577981651	0	0	0	0	0	0.110091743	0	0	0	1.100917431	0	0	0.504587156
Cell cycle - Caulobacter	3606.580645	4925.516129	6260.903226	6869.741935	8201.677419	7225.096774	4311.645161	8218.83871	6580.322581	9123.677419	5724.096774	5751.967742	6195.516129	8388.096774	8300.419355	7086.806452	8768.903226	7701.774194	8918	8458.870968	8158.129032	8903.903226	7825.677419	7769.129032	8752.806452	8780.096774	4625.225806	10233.45161	11200.83871	11882.48387	8373.387097	7695.935484	9510.322581	10290.96774	5186.129032	4935.129032	3946.290323	4796.612903	4737.806452	7248.032258	4597.709677	4852.709677	5464.225806	4952.741935	5954.258065	4616.83871	5108.83871	5385.548387	9362.387097	7875.419355	8158.225806	9785.258065	8994.032258	8019.935484	6230.322581	12396.93548	7076.387097	5641.225806	6695.032258	6809.16129	9387	11475.25806	7832.645161	8089.870968	7349.935484	7412.580645	9041.741935	13008.90323	7403.741935	5700.516129	6297.451613	6929.580645	6497.419355	7641.645161	4943.419355	7497.83871	5191.129032	7215.935484	7073.258065	8423.225806	9402.419355	8037.516129	9252.903226	11711.25806	9555.645161	9017.774194	9009.483871	8850.967742	7531.483871	7958.903226	9956.612903	9410.806452	8796.870968	8531.967742	9920.580645	9027.870968	8134.387097	8418.935484	10308.3871	7779.774194	6609.193548	10146.09677	8445.193548	7197	7264.483871	7586.064516	8369.677419	7156.322581	6206.419355	6289.516129	7261.677419	7301.387097	5177.096774	11667.80645	9722.645161	8345.16129	6976.580645	11278.25806	7213.967742	5457.774194	5315.096774	6677.290323	7768.935484	6999.225806	5930.129032	8122.903226	6105.193548	5254.451613	5397.290323	6396.612903	9365.903226	7426.258065	6987	7310.258065	11041.45161	5946.774194	5192.612903	5681.354839	5706.516129	8129.387097	4863.193548	4775.516129	11406.51613	12415.12903	8512.322581	6774.935484	9818.193548	7185.774194	9570.774194	6820.064516	9710.258065	6514.709677	5995.387097	8586.354839	8707.645161	5598.516129	8215.580645	6586.870968	5540.419355	9241.387097	9193.645161	6226.709677	5663.096774	5564.709677	7482.774194	5088.16129	4433.322581	4503.645161	6908.032258	7403.83871	5280.387097
Ferroptosis	248.5454545	607.5454545	1496.060606	721.6363636	178.3939394	971.0909091	158.1818182	1112.272727	661.6969697	2895.575758	1652.393939	338.3636364	1352.181818	1864.818182	1332	1157.333333	1114.363636	1127.030303	996.4242424	1965	1073.363636	2005.242424	1621	1394.606061	652.6969697	1296.212121	756.969697	2103.181818	1494.606061	1723.575758	1330.636364	230.8484848	1185.878788	1540.909091	993.5757576	695.6060606	366.7272727	919.3333333	1258.212121	996.4242424	664.2424242	294.2121212	1082.575758	726.4545455	1268.666667	388.7575758	1289.121212	1664.060606	1923.848485	1604.606061	1152.30303	1592.787879	990.6060606	288.0606061	432.8484848	4538.484848	965.7272727	750.8181818	326.1515152	1582.909091	1313.212121	501.5757576	885.4242424	1935.606061	543.3939394	751.4848485	2435.333333	1266.424242	1821.060606	380.1515152	674.3333333	846.1515152	1105.69697	702.969697	54.72727273	1112.818182	1221.575758	407.8484848	2467.848485	2346.939394	303.3030303	2093.515152	1060.575758	1150.727273	1154.393939	355.7272727	714.7272727	1367.333333	1110.575758	1180.757576	1005.030303	2382.848485	1107.969697	276.6060606	517.4242424	1722.333333	848.6969697	1804.757576	783.4545455	2631.545455	621.3333333	1263	624.3030303	1353.484848	1054.575758	632.2121212	1082.393939	1038.69697	683.5757576	1003.69697	915.7878788	767.4545455	1073.030303	1648.939394	2322.878788	717.4242424	645	1787.060606	616.2121212	1075.151515	417.0909091	990.2727273	1081.333333	593.7575758	629.1818182	1176.515152	756.7272727	529.7878788	741.6363636	524.9090909	804.0606061	1118	474	1576.575758	1871.636364	977.5151515	873	619.6060606	1025.545455	1158.939394	746.9090909	550.1818182	1922.636364	1660.636364	1665.545455	376.4848485	763.4545455	1856.242424	1561.090909	815.969697	1763	761.2727273	292.6060606	976.5757576	543.9090909	281.5454545	1155.181818	588.7575758	607.9393939	1047.30303	1454.212121	1356.363636	579.1212121	634.1818182	1387.060606	641.1515152	628.0909091	284.7272727	1336.090909	878.7272727	429.4242424
Meiosis - yeast	6.424242424	0.272727273	0.04040404	0.303030303	0.797979798	0.252525253	2.191919192	7.161616162	0.848484848	1.222222222	0.111111111	0.929292929	2.050505051	1.333333333	3.565656566	1	2.363636364	3.04040404	66.08080808	0.101010101	0.787878788	1.313131313	2.191919192	2.95959596	3.494949495	1.151515152	0.242424242	1.292929293	0.131313131	2.111111111	15.11111111	0.313131313	2.646464646	3.636363636	0.474747475	0.585858586	0	0.141414141	8.939393939	0.242424242	0.333333333	0.090909091	0.767676768	0.181818182	0	0.151515152	0.303030303	0.171717172	10.14141414	68.42424242	0.676767677	1.252525253	2.191919192	0	8.494949495	0.101010101	1.151515152	10.44444444	3.515151515	0	1.606060606	4.727272727	6.525252525	28.26262626	2.95959596	0.363636364	1.080808081	0.313131313	0.03030303	3.888888889	0.98989899	4.191919192	5.747474747	0	0	2.181818182	0.282828283	0.424242424	1.676767677	0.676767677	3.838383838	2.212121212	8.121212121	6.191919192	1.717171717	1.474747475	3.131313131	10.78787879	0.101010101	6	1.888888889	0.515151515	4.707070707	0	5.393939394	0.131313131	0.585858586	0.212121212	0.04040404	0.171717172	1.080808081	0.313131313	0.262626263	1.848484848	0.070707071	0.505050505	0	0.464646465	1.949494949	1	25.64646465	1.090909091	0.343434343	0.050505051	0.151515152	2.383838384	0.686868687	0	0.606060606	63.13131313	1.191919192	0.272727273	1.171717172	0.292929293	0.171717172	10.08080808	0.383838384	0	8.161616162	0.101010101	0.232323232	0.686868687	0.060606061	0.050505051	0.535353535	3	3.292929293	2.676767677	0.242424242	0.909090909	1.141414141	0.545454545	2.090909091	1.171717172	0	0.262626263	0.222222222	21.26262626	0	2.323232323	0.797979798	0.161616162	0.060606061	5.555555556	3.04040404	3.323232323	0.323232323	0.424242424	0	0.070707071	0.474747475	0	0.686868687	1.898989899	4.03030303	0	0.515151515	0.383838384	4.333333333	0	0.313131313
Necroptosis	545.6770833	776.6979167	1015.770833	1182.5	1677.645833	1056.03125	686.4895833	1143.427083	927.7604167	1270.53125	743.6041667	892.90625	857.9375	1154.09375	1354.333333	981.0625	1098.375	1092.989583	684.8333333	1126.760417	1039.78125	1281.989583	1121.25	1116.697917	1225.927083	1213.614583	723.7708333	1458.697917	1878.614583	1921.489583	1251.375	1467.25	1345.78125	1486.333333	816.2604167	764.4895833	641.1770833	580.09375	626.65625	1052.479167	615.8541667	958.4166667	688.6979167	861.8645833	850.4895833	580.8333333	673.5104167	688.7604167	1239.96875	1144.71875	1080.739583	1688.020833	1385.114583	1349.614583	960.7708333	1645.020833	1004.739583	929.9375	1071.822917	607.9895833	1273.041667	1737.03125	1119.270833	1256.989583	822.4479167	1242.197917	1260.645833	1928.885417	954.1354167	920.6875	1065.510417	959.1354167	717.65625	1085.104167	314.9583333	1133.6875	717.75	913.7604167	993.6458333	1122.979167	1470.1875	1045.822917	1356.71875	1696.71875	1662.322917	1411.177083	1406.697917	1242.375	1132.697917	1157.677083	1586.229167	1316.78125	1241.041667	973.4895833	1191.78125	1393.479167	830.2604167	1000.708333	1182.302083	1028.1875	1055.78125	1615.729167	1369.333333	1217.229167	1285.229167	1186.625	1383.479167	1125.270833	905.3854167	958.5520833	1129.645833	1130.9375	852.3333333	1687.260417	1415.427083	1079.0625	1077.677083	1668.447917	1120.177083	852.9166667	973.9791667	1063.34375	1108.885417	1137.416667	905.6666667	1264.8125	1012.739583	830.46875	846.2604167	781.3958333	1765.21875	1243.572917	1086.71875	1109.5	1617.822917	832.3020833	744.9270833	912.96875	969.21875	1243.885417	739.15625	765.3541667	1614.041667	2179.770833	1264.520833	1122.114583	1576.09375	978.2291667	1886.833333	1057.458333	991.3645833	1079.21875	811.1979167	1234.260417	1247.927083	705.5416667	1113.479167	1094.270833	878.1354167	1165.65625	1692.34375	863.3020833	906.6458333	896.9479167	1053.541667	439.8229167	705	734.6458333	961	1212.104167	792.8229167
p53 signaling pathway	0.075757576	0.090909091	0	0.151515152	2.621212121	0.515151515	0.196969697	3.181818182	0	0	0	0.272727273	0.196969697	0.560606061	0.045454545	0.393939394	2.424242424	4.924242424	0.803030303	0.348484848	0.03030303	0.666666667	0	0	2.727272727	0.045454545	0.060606061	0.954545455	0	1.712121212	6.939393939	0.075757576	0.651515152	0.409090909	0.712121212	0	0	0.090909091	0	0.424242424	0.303030303	0	0	0	0	0.242424242	0	0	0.227272727	0.393939394	0.515151515	0	0.409090909	0	0.106060606	0	0.075757576	0.196969697	0.090909091	0	0.303030303	12.98484848	0.060606061	0	0	0.045454545	0.181818182	0	0.303030303	0.090909091	0.257575758	0.196969697	1.742424242	0	0.03030303	0.090909091	0.060606061	0	0	0.196969697	1.075757576	0.106060606	2.257575758	2.151515152	1.560606061	0	1.893939394	2.909090909	0.181818182	0.03030303	0.363636364	0	0.636363636	0	3.803030303	0.090909091	0.106060606	0	0.257575758	0.257575758	0	0	0.212121212	0.454545455	0.106060606	0.757575758	0	0.318181818	0	0.151515152	0.060606061	0	0	0.075757576	0	0	0	0	0.090909091	0	0	0	0.5	0.075757576	0.106060606	0	0	0	0	0.075757576	0	0.318181818	0	0	0	0.257575758	0.090909091	0.060606061	0.090909091	0	0.181818182	0.106060606	0.287878788	1.015151515	0	0	0	0	0	0	0.727272727	0	0	0	2.590909091	0.242424242	0	0.348484848	0	0	0	0.045454545	0	0.106060606	3.348484848	0	0.196969697	0.136363636	1.53030303	0	0.181818182
Bacterial chemotaxis	2866.692308	2981.576923	893.5	4284	2039.5	6474.923077	3030.038462	3786.076923	6373.884615	3933.692308	1176.461538	5232.769231	2290.461538	4493	5472.615385	1486.923077	1981.615385	6660.961538	139.7307692	3394.423077	3173.807692	6240.115385	5358	7015.038462	8219.653846	11913.73077	2262.538462	5464.653846	14131.80769	8714.653846	3747.153846	3434.038462	12212.23077	11499.34615	3747.115385	2670.153846	2752.384615	664.5769231	2035.653846	4274	1749.846154	658.2307692	2577.192308	1746	4682	2242	1343.884615	547.1538462	5044.5	6320.653846	3683.538462	11597.34615	4087.846154	2665.192308	6639.423077	1313.692308	3163	3619.346154	4038.538462	711.2692308	10313.38462	9037.384615	6440.115385	874.1923077	2837.653846	5133.5	3472.807692	13259.5	1904.5	4295.076923	4518.076923	9379.384615	2034.923077	3586.846154	133.7692308	5217.384615	1421.538462	2558.653846	1054.192308	1547.461538	2993.538462	3167	9343.730769	4584.961538	7043.038462	3404.038462	11635.92308	10742.38462	4588.461538	8977.692308	5149.807692	5012.153846	7759.807692	2389.576923	5254.384615	6388.192308	7029.846154	3207.615385	1223.461538	69.88461538	6398.5	11486.5	9509.730769	4484.423077	3733.538462	13324.61538	7433.307692	4663.961538	3531.115385	3789.384615	8224.730769	8256.461538	1683	17799.38462	3557.269231	12416.76923	8954.653846	13193.03846	9183.076923	4000.076923	3047.384615	4200	7664.730769	8025.346154	2344.192308	6778.384615	3295.653846	7039.346154	2111.153846	4858.730769	3765.076923	5869.269231	12207.69231	2255.692308	14844.84615	4512.923077	4583.076923	2992.538462	2460.961538	18201.03846	3077.576923	3817.153846	11117.84615	5460.076923	10005.11538	4548.884615	7388.038462	4225.423077	7017.346154	3740.076923	2201.653846	6731	11322.38462	5748.807692	5497.346154	5730.615385	9781.5	4964.153846	5714.384615	18379.46154	6569.115385	3086.961538	1915.307692	4821.692308	7773.038462	467.2307692	3285.615385	2836.384615	3009.615385	5212.538462	5926.115385
