function	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88	Description
map00010	2602.58252427184	6002.01941747573	4271.7572815534	5661.38834951456	6384.83495145631	5692.26213592233	3016.49514563107	6745.53398058252	7066.84466019418	7983.05825242718	4401.50485436893	4672.41747572816	4879.41747572816	6802.60194174757	9565.74757281553	5445.07766990291	7068.22330097087	6387.76699029126	9865.00970873786	6476.11650485437	6576.71844660194	7595.04854368932	5804.05825242718	7715.06796116505	7029.32038834951	8574.93203883495	3295.58252427184	8261.1067961165	14874.6504854369	15044.8640776699	6116	6262.98058252427	9899.99029126214	9271.63106796117	4065.67961165049	3748.57281553398	2849.64077669903	3629.87378640777	3817.55339805825	5554.74757281553	3557.65048543689	3695.40776699029	4231.97087378641	3254.84466019417	5170.1359223301	3951.72815533981	3811.20388349515	3687.19417475728	7036.72815533981	5630.61165048544	6724.31067961165	15261.6893203884	6861.63106796117	5388.67961165049	4234.4854368932	9382.15533980583	5350.6213592233	4133.06796116505	4461.80582524272	5000.56310679612	9170.42718446602	8439.52427184466	6539.25242718447	6084.17475728155	5208.41747572816	5483.98058252427	7894.20388349515	11612.854368932	5592.78640776699	3992.06796116505	4289.16504854369	5623.71844660194	4884.41747572816	9802.34951456311	4646.42718446602	5273.98058252427	4150.12621359223	7455.38834951456	5440.2427184466	6739.53398058252	7352.53398058252	6351.82524271845	9082.59223300971	12715.0873786408	13612.0388349515	6404.80582524272	6448.61165048544	8031.84466019418	6610.87378640777	7720.59223300971	7746.25242718447	7754.39805825243	9829.34951456311	7054.26213592233	8441.67961165048	10898.9902912621	9225.03883495146	7481.54368932039	8423.82524271845	5852.09708737864	4683.61165048544	9837.77669902913	5646.66990291262	6312.04854368932	4685.49514563107	5398.53398058252	6813.80582524272	4774.18446601942	4172.58252427184	4401.72815533981	4905.02912621359	5497.22330097087	3768.6213592233	11120.3203883495	8244.63106796117	5205.52427184466	5686.66990291262	10941.213592233	5994.43689320388	4301.6213592233	3729.04854368932	4916.64077669903	6912.66019417476	4741.83495145631	3817.61165048544	9117.3786407767	3902.21359223301	3395.43689320388	3662.42718446602	4167.1067961165	7284.31067961165	6746.16504854369	4433.19417475728	5636.63106796117	11611.3300970874	3973.47572815534	4429.33009708738	4094.23300970874	4226.05825242718	9896.59223300971	3389.85436893204	3215.95145631068	10596.5533980583	8457.31067961165	6475.3786407767	4840.05825242718	9128.78640776699	5875.47572815534	13602.8932038835	4554.54368932039	6134.94174757282	4446.83495145631	4032.46601941748	9058.60194174757	6083.00970873786	4421.95145631068	7467.88349514563	4425.71844660194	3743.71844660194	8332.73786407767	13433.2233009709	4291.22330097087	4020.58252427184	3649.8640776699	7102.49514563107	4496.28155339806	3001.81553398058	2962.65048543689	5348.29126213592	5238.39805825243	3912.38834951456	Metabolism;Carbohydrate metabolism; Glycolysis / Gluconeogenesis
map00020	2065.44827586207	6150.68965517241	2850.94827586207	4913.93103448276	4213.29310344828	4558.12068965517	2216.20689655172	4363.31034482759	5540.79310344828	7951.89655172414	4886.37931034483	3635.15517241379	4546.81034482759	5665.10344827586	8716.81034482759	5588.1724137931	3247.93103448276	6910.81034482759	4338.79310344828	6925.74137931035	6312.13793103448	8179.08620689655	5339.68965517241	7748.94827586207	6323.27586206897	6933.3275862069	2462.08620689655	7286.13793103448	13946.3793103448	13782.4655172414	5791.94827586207	4331.62068965517	8288.75862068966	10925.5172413793	3506.6724137931	3428.13793103448	1797.70689655172	2853.13793103448	2515.70689655172	3812.12068965517	2124.18965517241	2374.77586206897	3251.75862068966	2445.5	4626.13793103448	4984.70689655172	2703.58620689655	2237.55172413793	4865.94827586207	3889.86206896552	4545.53448275862	15650.6551724138	5265.62068965517	3760.55172413793	3022.48275862069	5716.79310344828	4678.96551724138	2901.62068965517	3136.68965517241	3568.53448275862	7944.79310344828	6567.91379310345	6335.3275862069	3814.55172413793	4749.8275862069	3560.08620689655	5756.93103448276	10732.6206896552	4435.51724137931	2717.51724137931	3352.53448275862	6156.89655172414	5273.56896551724	10547.3620689655	1735.10344827586	4309.18965517241	3099.48275862069	8716.46551724138	4289.65517241379	5941.43103448276	4866.91379310345	6050.58620689655	9575.55172413793	12972.0344827586	14237.7068965517	4664.65517241379	3983.48275862069	5945.75862068965	5644.53448275862	7920.43103448276	5710.3275862069	5224.43103448276	7629.1724137931	9832.87931034483	10454.4310344828	10718.2586206897	6434.86206896552	6637.79310344828	10676.1379310345	3475.86206896552	3210.79310344828	10670.2931034483	4353.74137931035	6098.84482758621	3553.5	3963.18965517241	5618.87931034483	3903.63793103448	3027.65517241379	4108.12068965517	3637.91379310345	4482.3275862069	3333.39655172414	12849.3448275862	6028.91379310345	3851.56896551724	5444.10344827586	13119.8275862069	4392.05172413793	3715.53448275862	2533.56896551724	4067.51724137931	7402.58620689655	3405.63793103448	2915.96551724138	8644.91379310345	3068.56896551724	2300.65517241379	2653.8275862069	3714.79310344828	4807.86206896552	5926.72413793103	2900.79310344828	4635.79310344828	14092.1206896552	3320.3275862069	4120.72413793103	3277.13793103448	3283.65517241379	9513.39655172414	2724.89655172414	2555.44827586207	13057.1379310345	6536.39655172414	5317.81034482759	3716.72413793103	7726.63793103448	6057.94827586207	13597.9137931034	3532.41379310345	4754.56896551724	3346.70689655172	3025.01724137931	7155.44827586207	4689.08620689655	2680.89655172414	7559.29310344828	3411.10344827586	2753	4359.72413793103	12651.5172413793	3224.3275862069	2966.70689655172	2860.05172413793	7586.01724137931	2374.62068965517	2467.65517241379	2065.94827586207	3223.94827586207	4143.5	2852.89655172414	Metabolism;Carbohydrate metabolism; Citrate cycle (TCA cycle)
map00030	2393.40243902439	4886.79268292683	3779.30487804878	5215.56097560976	5908.62195121951	5227.81707317073	2689.15853658537	6031.75609756098	6520.32926829268	7318.76829268293	4068.07317073171	4296.20731707317	4240.08536585366	6665.0243902439	8503.5487804878	4280.5243902439	6220.26829268293	6304.9756097561	7835.71951219512	5402.25609756098	6283.14634146341	7030.20731707317	5207.74390243902	7304.90243902439	5927.93902439024	7364.91463414634	3004.32926829268	7535.10975609756	13391.6829268293	13039.1829268293	4991.89024390244	5802.5243902439	8815.01219512195	9307.29268292683	3623.80487804878	3533.90243902439	2549.18292682927	2954.42682926829	3660.4756097561	5017.98780487805	3294.62195121951	3399.06097560976	3696.35365853659	2912.13414634146	4771.31707317073	3194.58536585366	3427.98780487805	3518.31707317073	6556.85365853659	5705.81707317073	5660.4512195122	14661.8170731707	5517.93902439024	4976.03658536585	3953.59756097561	8513.46341463415	4484	3859.07317073171	4056.5487804878	3757.24390243902	7983.86585365854	6893.67073170732	6057.9512195122	5781.24390243902	4192.59756097561	4998.08536585366	6864.60975609756	11564.6097560976	5063.59756097561	3559.56097560976	3895.63414634146	5187.53658536585	3593.81707317073	7515.20731707317	3011.39024390244	4780.30487804878	3483.74390243902	5591.67073170732	4729.92682926829	5542.28048780488	6713.51219512195	5892.39024390244	7724.56097560976	9916.84146341463	10822.6097560976	5974.9756097561	6775.53658536585	8839.51219512195	6205.23170731707	7389.76829268293	7315.87804878049	6919.24390243902	8985.30487804878	4731.20731707317	6223.5487804878	9407.5487804878	7623.30487804878	6298.20731707317	5442.0243902439	5530.4512195122	3983.74390243902	9506.58536585366	4876.93902439024	5603.13414634146	4172.40243902439	5002.96341463415	6094.30487804878	4310.62195121951	3581.29268292683	3701.65853658537	4540.10975609756	5359.78048780488	3336.57317073171	11007.1707317073	7136.42682926829	4620.64634146341	5419.96341463415	10931.9146341463	5253.24390243902	4341.56097560976	3409.9756097561	4481.34146341463	7114.69512195122	4413.9756097561	3489.20731707317	7592.96341463415	3498.07317073171	3100.5	3232.98780487805	3657.5	6671.9512195122	5897.08536585366	4013.32926829268	5022.14634146341	11507.2682926829	3586.53658536585	4066.06097560976	3642.0487804878	3913.30487804878	8549.12195121951	3101.60975609756	2904.37804878049	10915.2195121951	7546.40243902439	6921.69512195122	4411.09756097561	7982.19512195122	5473.39024390244	11898.1097560976	4071.0487804878	5833.09756097561	3843.9512195122	3818.34146341463	7741.56097560976	5481.60975609756	3856.65853658537	7058.89024390244	4190.10975609756	3261.57317073171	6381.18292682927	11550.256097561	3832.86585365854	3289.84146341463	3231.62195121951	6829.35365853659	3469.28048780488	2705.68292682927	2868.64634146341	4879.71951219512	4816.21951219512	3383.82926829268	Metabolism;Carbohydrate metabolism; Pentose phosphate pathway
map00040	911.513157894737	3713.93421052632	1425.89473684211	2708.21052631579	2123.36842105263	2801.69736842105	999.776315789474	2475.38157894737	4026.01315789474	5033.97368421053	3032.39473684211	1913.98684210526	3411.14473684211	3965.72368421053	5854.31578947368	2253.60526315789	2465.42105263158	4005.86842105263	4646.8947368421	4062.73684210526	3456.75	5054.38157894737	2803.60526315789	5010.93421052632	2943.77631578947	4605.52631578947	1472.44736842105	3929.27631578947	9417.93421052631	9294.8552631579	2251.65789473684	2308.98684210526	6543.22368421053	5890.32894736842	2047.59210526316	1985.13157894737	977.421052631579	1397.73684210526	1990.78947368421	2537.13157894737	1541.71052631579	1216.01315789474	1989.38157894737	1014.40789473684	3271.23684210526	1945.43421052632	1658.77631578947	1310.61842105263	3173.67105263158	2450.46052631579	2461.81578947368	11442.9473684211	2417.94736842105	2066.48684210526	1396.78947368421	4438.61842105263	2033.90789473684	1622.21052631579	1546.32894736842	2519.44736842105	5121.86842105263	2660.5	3258.28947368421	2655.67105263158	1762.09210526316	1950.78947368421	3190.32894736842	9289.6447368421	2792.39473684211	1237.76315789474	1487.85526315789	3277.48684210526	2103.80263157895	5512.22368421053	755.565789473684	2220.96052631579	1552.39473684211	3720.01315789474	2767.77631578947	2949.26315789474	2837.72368421053	4175.46052631579	3264.68421052632	6555.22368421053	8838.1447368421	2599.46052631579	3584.26315789474	6148.77631578947	3345.86842105263	5126.75	3995.26315789474	3016.93421052632	4824.96052631579	2882.88157894737	3734.75	6594.52631578947	4254.07894736842	3302.63157894737	3271.01315789474	2706.68421052632	1381.34210526316	6478.43421052632	1810.01315789474	3238.19736842105	1360.59210526316	2263.5	3134.17105263158	1864.26315789474	1142.81578947368	1874.94736842105	1599.88157894737	2525.73684210526	1974.80263157895	7581.68421052632	4501.88157894737	1789.14473684211	3161.55263157895	7591.26315789474	2731.51315789474	2257.11842105263	1150.01315789474	2076.14473684211	4599.55263157895	1785.80263157895	1443.38157894737	5643.23684210526	1266.17105263158	1053.47368421053	1066.90789473684	1351.05263157895	2551.52631578947	3262.21052631579	1237.40789473684	3126.26315789474	8434.80263157895	1748.27631578947	2720.18421052632	1597.57894736842	1960.76315789474	7326.90789473684	1580.21052631579	1104.81578947368	7254.47368421053	2767.93421052632	4069.59210526316	1816.23684210526	4706.09210526316	4290.44736842105	9615.48684210526	1593.80263157895	2099.38157894737	1417.51315789474	1623.61842105263	4955.48684210526	2097.03947368421	1530.63157894737	4534.5	1712.05263157895	1255.60526315789	3036.01315789474	8429.28947368421	1933.55263157895	1208.31578947368	1348.25	4668.31578947368	1211.93421052632	1284.18421052632	1143.65789473684	1923.78947368421	2186.06578947368	1541.43421052632	Metabolism;Carbohydrate metabolism; Pentose and glucuronate interconversions
map00051	1617.91743119266	4491.92660550459	1737.42201834862	3537.43119266055	3143.8623853211	3409.84403669725	1579.45871559633	3592.8623853211	5059.74311926606	5139.4495412844	3511.12844036697	2968.00917431193	3470.88073394495	3796.66972477064	7143.73394495413	3142.24770642202	4568.6880733945	4699.3119266055	9584.60550458716	4220.01834862385	3968.3119266055	5656.6880733945	3505.23853211009	5897.32110091743	4411.39449541284	5462.40366972477	1942.66972477064	4541.93577981651	11880.2018348624	11481.8440366972	3485.40366972477	3549.32110091743	7007.65137614679	7426.42201834862	2668.66055045872	2581.11009174312	1382.25688073394	1453.79816513761	1864.44036697248	3338.46788990826	1982.87155963303	1613.21100917431	2000.4128440367	1756.90825688073	3158.81651376147	2730.34862385321	1387.96330275229	1302.3119266055	3279.09174311927	3048.7247706422	3984.61467889908	12849.2110091743	3786.33944954128	2949.43119266055	2448.64220183486	2637.6880733945	2971.34862385321	2139.21100917431	2358.96330275229	3193.18348623853	6554.46788990826	4770.37614678899	4642.15596330275	2261.71559633028	3162.74311926606	2895.5871559633	3269.05504587156	8559.11926605505	2327.97247706422	2272.44036697248	2366.66055045872	3911.14678899083	2814.37614678899	7405.70642201835	1626.14678899083	3185.8623853211	1915.54128440367	5373.80733944954	2324.32110091743	3765.4495412844	4692.6880733945	4338.70642201835	4899.43119266055	8881.49541284404	10388.5504587156	4092.91743119266	4213.56880733945	6148.08256880734	4410.53211009174	5840.49541284404	4971.63302752294	3546.12844036697	6787.18348623853	4645.62385321101	5605.34862385321	8425.44036697248	7395.54128440367	4401.08256880734	5148.73394495413	1867.63302752294	2560.87155963303	7663.32110091743	2971.11926605505	4332.02752293578	2498.06422018349	3122.69724770642	4032.70642201835	2679.82568807339	2260.67889908257	2538.47706422018	2654.1376146789	3594.22935779816	2330.63302752294	9229.33944954128	5224.45871559633	2935	3935.73394495413	9251.34862385321	3771.51376146789	2734.91743119266	1983.36697247706	2835.01834862385	5311.7247706422	2590.48623853211	1980.99082568807	6569.38532110092	2104.33027522936	1825.3119266055	2042.66055045872	2267.12844036697	3402.66972477064	4501.20183486239	2317.37614678899	3818.07339449541	9907.02752293578	2418.80733944954	3130.88990825688	2269.8623853211	2702.21100917431	7720.06422018349	2063.90825688073	1719.4495412844	9107.80733944954	4563.47706422018	4247.28440366973	2699.28440366972	6131.33027522936	4530.00917431193	10999.5137614679	2366.11009174312	2672.83486238532	2426.25688073394	2444.10091743119	6737.85321100917	3680.61467889908	3022.99082568807	5669.22935779817	2368.8623853211	2001.73394495413	4576.35779816514	10283.0917431193	2438.39449541284	2017.83486238532	2024.11926605505	5406.92660550459	2685.29357798165	1715.32110091743	1648.35779816514	3240.11009174312	3201.1376146789	2159.80733944954	Metabolism;Carbohydrate metabolism; Fructose and mannose metabolism
map00052	2494.15384615385	4771.4358974359	3571.79487179487	4914.84615384615	5479.01282051282	4781.70512820513	2562.35897435897	6139.53846153846	6473.91025641026	8873.38461538462	6002.84615384615	4233.57692307692	5959.17948717949	6947.53846153846	7936.48717948718	5817.44871794872	7242.61538461538	5553.33333333333	7969.39743589744	7092.19230769231	5278.83333333333	7664.42307692308	6035.37179487179	6527.19230769231	6210.51282051282	7215.66666666667	3482.21794871795	7688.28205128205	10311.358974359	10538.9487179487	4659.79487179487	5442.11538461538	8045.70512820513	8082.73076923077	3639.84615384615	3572.21794871795	2966.44871794872	3707.34615384615	4061.15384615385	5786.41025641026	3811.92307692308	3329.20512820513	4177.66666666667	2615.39743589744	5324.9358974359	4185.58974358974	3767.34615384615	4230.96153846154	7011.61538461538	6666.53846153846	6626.52564102564	10752.9358974359	5962.0641025641	5286.79487179487	4316.53846153846	10054.3333333333	5307.08974358974	4114.62820512821	4003.30769230769	4727.57692307692	6923.74358974359	7262.91025641026	6166.14102564103	6400.33333333333	5157.73076923077	4947.15384615385	7162.9358974359	13144.1666666667	5732.55128205128	3748.84615384615	3443.15384615385	4699.21794871795	5523.44871794872	7996.10256410256	3808.44871794872	5239.17948717949	4211	7176.29487179487	5944.97435897436	6375.03846153846	6565.98717948718	7453.4358974359	6229.62820512821	10801.8846153846	8798.65384615385	6655.87179487179	6786.41025641026	8468.94871794872	6156.53846153846	6931.42307692308	7514.47435897436	7535.05128205128	8600.21794871795	7965.82051282051	8677.21794871795	8363.85897435897	8805.67948717949	6467.51282051282	9443.65384615385	6303.05128205128	4127.80769230769	9173.41025641026	4935.42307692308	5213.23076923077	3705	5175.64102564103	5285.32051282051	4008.88461538462	3367.05128205128	4417.34615384615	5073.94871794872	5353.61538461538	3924.23076923077	10932.0128205128	8767.28205128205	5481.79487179487	5561.98717948718	9985.25641025641	4968.84615384615	4795.69230769231	3269.11538461538	4513.87179487179	6255.35897435897	4566.89743589744	3776.28205128205	6457.51282051282	3199.97435897436	3200.35897435897	3023.47435897436	3741.78205128205	6777.9358974359	4878.55128205128	4908.44871794872	6209.16666666667	10367.7051282051	3684.78205128205	4284.88461538462	3790.94871794872	4066.5	6110.23076923077	3424.4358974359	2781.0641025641	9632.82051282051	6477.14102564103	6498.02564102564	4451.52564102564	7505.11538461538	7368	7837.14102564103	3958.48717948718	4825.34615384615	4153.20512820513	4739.73076923077	6960.01282051282	5385.07692307692	3940.26923076923	6537.73076923077	4027.30769230769	3909.26923076923	7017.35897435897	8949.5	3961.80769230769	3353.75641025641	3159.57692307692	6720.75641025641	4256.62820512821	2746.46153846154	2947.85897435897	5356.71794871795	4611.53846153846	3566.28205128205	Metabolism;Carbohydrate metabolism; Galactose metabolism
map00053	455	3644.73913043478	600.95652173913	1846.08695652174	1458.84782608696	1609.97826086957	486.347826086957	1524.65217391304	2933.28260869565	2510.39130434783	891.717391304348	1346.41304347826	1442.67391304348	2232.89130434783	5333.65217391304	932.369565217391	2211.04347826087	3049.71739130435	4274.0652173913	1467.5	3308.60869565217	3016.82608695652	1217.86956521739	3857.97826086957	1833.60869565217	3575.19565217391	521.891304347826	2296.10869565217	10521.9130434783	9981.17391304348	1095.95652173913	1677.47826086957	5551.21739130435	4846.23913043478	1001.78260869565	1160.10869565217	386.45652173913	544.478260869565	1004.13043478261	900.54347826087	760.065217391304	714.891304347826	832.347826086957	441.413043478261	2284.63043478261	1303.08695652174	616.826086956522	701.434782608696	1401.86956521739	545.45652173913	1608.47826086957	14050.0217391304	748.065217391304	1080.26086956522	521.173913043478	1725.60869565217	860.195652173913	574.413043478261	871.282608695652	851.152173913043	4709.32608695652	927.54347826087	2361.10869565217	1130.39130434783	673.782608695652	858.978260869565	750.391304347826	4695.78260869565	1272.67391304348	518.739130434783	773.717391304348	1945.82608695652	661.391304347826	6038.65217391304	73.2608695652174	887.739130434783	381.521739130435	3188.47826086957	647.304347826087	1248.67391304348	2178.04347826087	1338.0652173913	2025.63043478261	6078.5652173913	9659.34782608696	1473.73913043478	1801.91304347826	2849.34782608696	2418.69565217391	4100.02173913043	2249.82608695652	1020.39130434783	3448.60869565217	1729.30434782609	2495.36956521739	6285.0652173913	3150.15217391304	2230.13043478261	1409.71739130435	1063.4347826087	592.152173913043	5531.21739130435	588.065217391304	2657.65217391304	545.521739130435	1072.84782608696	2917.30434782609	733.04347826087	560.891304347826	703.869565217391	558.695652173913	1474.95652173913	691.717391304348	6545.89130434783	1496.23913043478	631.586956521739	2432.63043478261	6587.36956521739	2019.76086956522	1229.82608695652	538.5	944.304347826087	3515.10869565217	805.608695652174	633.282608695652	5050.02173913043	529.934782608696	280.586956521739	529.260869565217	420.347826086957	1380.9347826087	2993.97826086957	381.304347826087	1151.30434782609	7569.17391304348	728.282608695652	1966.54347826087	795.739130434783	707.521739130435	7346.60869565217	517.217391304348	415.173913043478	6159.58695652174	1577.80434782609	1263.47826086957	1080.71739130435	4403.60869565217	1982.63043478261	10770.8695652174	676.913043478261	862.45652173913	663.217391304348	822.630434782609	5559.67391304348	978.434782608696	971.826086956522	4092.0652173913	660.04347826087	444.45652173913	2963.69565217391	9278.21739130435	855.869565217391	292.304347826087	584.304347826087	3782.34782608696	287.586956521739	430.652173913043	463.847826086957	863.891304347826	1360.36956521739	956.891304347826	Metabolism;Carbohydrate metabolism; Ascorbate and aldarate metabolism
map00061	3681.72727272727	5664.21212121212	6605.87878787879	7944.30303030303	10100.9090909091	7022.90909090909	4672.63636363636	7531.78787878788	7028.66666666667	10533.2727272727	6823.93939393939	6100.15151515152	6557.90909090909	7461.60606060606	9736.36363636364	7241.27272727273	7634.63636363636	7979.78787878788	9371.63636363636	8288.90909090909	7992.72727272727	10000.2727272727	8620	8517.36363636364	8531.60606060606	9685.45454545455	4897.45454545455	9714.54545454545	14845.1212121212	14827.4242424242	8812.09090909091	9109.39393939394	10422.7272727273	11800.2727272727	5979.63636363636	5497.45454545455	3965.30303030303	4095.45454545455	3952.75757575758	7024.09090909091	3875.84848484848	5568.48484848485	4475.54545454545	5874.27272727273	5678.9696969697	4218.57575757576	4195.84848484848	4291.33333333333	7989	7188.51515151515	7694.69696969697	15093.2121212121	10500.6363636364	8250.0303030303	6170.0303030303	8309.45454545455	6755.06060606061	5864.06060606061	6749.90909090909	5744.06060606061	10389.6060606061	13141.7878787879	8167.21212121212	7030.60606060606	6802.66666666667	8166.15151515152	7169.48484848485	11191.5757575758	5625.66666666667	6177.69696969697	7090.54545454545	7089.42424242424	6020.30303030303	8039.60606060606	5843.87878787879	8034.48484848485	4021.36363636364	6659.57575757576	5890.93939393939	8292.93939393939	9171.63636363636	8657.27272727273	9314.48484848485	12965.0303030303	12450.4545454545	8446.45454545455	7821.48484848485	8269.30303030303	7900.12121212121	8344.21212121212	9893.69696969697	7139.42424242424	9717.18181818182	7022.18181818182	8717.78787878788	11372.4242424242	7204.39393939394	8896.36363636364	8863.21212121212	5753.45454545455	7201.18181818182	11903.1212121212	9026.81818181818	8796.9696969697	8645.57575757576	7817.42424242424	10309.2727272727	8002.45454545455	6782	7099.69696969697	7270.84848484848	7376.27272727273	6072.63636363636	13077.9090909091	10261.3333333333	7047.57575757576	7420.69696969697	13274.3939393939	7832.75757575758	5379.87878787879	6233.66666666667	7441.93939393939	8437.24242424242	7334.60606060606	6052.06060606061	9445.09090909091	6970.51515151515	5379	6204.81818181818	5999.78787878788	10435.696969697	9101.15151515152	6541.9696969697	8429.36363636364	13016.8484848485	6334.18181818182	5772.54545454545	6048.87878787879	6341.36363636364	9803.33333333333	5116.48484848485	5228.09090909091	13298.6363636364	14227.1818181818	9259.39393939394	7237.24242424242	10815	8515.90909090909	12740.6363636364	7391.69696969697	7961.06060606061	7095.33333333333	5098.21212121212	9550.12121212121	9026.24242424242	5317.72727272727	8556.48484848485	7085.39393939394	5792.12121212121	8862.12121212121	13505.2424242424	5994.12121212121	6299.15151515152	5941.48484848485	7946.57575757576	6188.24242424242	4805.15151515152	4637.36363636364	6169.18181818182	8254.24242424242	5650.51515151515	Metabolism;Lipid metabolism; Fatty acid biosynthesis
map00071	618.771929824561	2273.49122807018	1671.73684210526	1741	1678.14035087719	1835.01754385965	689.614035087719	1971.45614035088	1830.89473684211	3307.33333333333	1280.01754385965	1331.28070175439	1171.75438596491	2714.14035087719	3636.12280701754	1298.45614035088	1879.54385964912	2448.49122807018	2098.01754385965	1549.77192982456	2281.49122807018	2702.26315789474	1710.59649122807	2986.78947368421	1797.98245614035	3684.26315789474	1088.24561403509	3379.57894736842	6753.01754385965	6636.59649122807	1558.42105263158	1642.24561403509	3727.05263157895	3599.14035087719	1261.85964912281	1119.17543859649	880.631578947368	1160.9298245614	1566.17543859649	1553.59649122807	981.929824561404	1063.28070175439	1467.9298245614	958.210526315789	2419.54385964912	1158.71929824561	1489.59649122807	1657.98245614035	2523.98245614035	2002.08771929825	2075.42105263158	6320.84210526316	1403.71929824561	1277.08771929825	1092.98245614035	4826.29824561404	1610.17543859649	1231.47368421053	1146.12280701754	1263.89473684211	3513	1743.52631578947	1983.52631578947	2494.87719298246	1364.08771929825	1550.14035087719	3188.56140350877	3381.89473684211	2262.77192982456	995.035087719298	1256.59649122807	1800.98245614035	1214.12280701754	3653.57894736842	736.175438596491	1567.57894736842	1630.80701754386	2228.21052631579	2671.98245614035	2070.68421052632	1707.85964912281	1818.0350877193	2367.31578947368	4638.75438596491	5765.21052631579	1547.0701754386	1730.87719298246	2332.50877192982	2342.91228070175	2984.49122807018	2255.12280701754	2900.33333333333	2248.54385964912	1617.38596491228	2237.73684210526	4077.36842105263	2511.38596491228	2196.35087719298	1643.31578947368	2899.52631578947	1207.94736842105	4245.68421052632	1284.05263157895	2451.26315789474	1402.71929824561	1643.42105263158	2554.64912280702	1279.14035087719	1073.73684210526	1171.42105263158	1456.05263157895	1703.52631578947	1029.91228070175	4811.63157894737	2475.70175438596	1301.31578947368	2048.17543859649	4753.15789473684	1844.47368421053	1848.0701754386	1009.98245614035	1437.21052631579	2582.26315789474	1307.61403508772	1066.50877192982	4297.43859649123	1079.15789473684	899.263157894737	1059.56140350877	978.122807017544	2235.38596491228	2641.17543859649	1203.9649122807	1422.17543859649	5367.36842105263	1142.33333333333	1386.98245614035	1138.50877192982	1254.33333333333	4790.22807017544	925.859649122807	861.80701754386	4279.45614035088	2757.0701754386	2235.57894736842	1282.80701754386	3285.38596491228	2045.64912280702	7191.64912280702	1207.9649122807	2037.98245614035	1288.59649122807	1209.80701754386	3696.57894736842	1288.08771929825	970.719298245614	2900.57894736842	1094.94736842105	988.017543859649	2584.05263157895	6203.73684210526	1422.59649122807	1056.40350877193	995.035087719298	3200.05263157895	1325.9298245614	737.087719298246	755.456140350877	1959.17543859649	1581.52631578947	1082.50877192982	Metabolism;Lipid metabolism; Fatty acid degradation
map00072	898.75	4132.375	1571	1414.125	769.125	2279.5	974.875	1377.875	1294.75	603.25	683.375	1423.875	515.875	413.625	6574.5	229.375	794.125	1916.125	6624.25	1326.25	3917.625	1432.75	970.125	3866.875	2217.625	5794.25	649.75	1146.125	14864.125	15012.25	1187	842	5721.375	896.5	1834.875	458.25	522.625	342.25	942.375	979.25	300.25	87.375	664	1311.625	883.375	127.375	492.875	231.125	1354.125	1141.375	881.75	9391.25	1038.375	447.25	1402	366.875	854.5	587.625	811	1643.875	6049.25	2464.125	853.875	327.125	1426	1118.5	1453.25	1289.875	297.375	1398.5	2177	1451.125	352.25	4814.125	3676.5	1808.625	494.75	3450.875	515	1041.375	1882.375	1436.875	4290.375	9082.875	11489	653.5	2192	4447.125	467.375	2847.25	1864.75	975	977.125	437.75	1268.5	7533.875	4452.5	1766.5	1226.125	479.125	2157	1505.625	1938	3326.125	2259.125	2676.875	4904.75	1629.75	2187.875	1189.625	1896.75	1706.375	921.375	1988.875	1010.75	2315.5	1280.75	1186.875	2888.5	1290	1246.75	1546.75	1438.875	1841.375	615.5	6717.375	1550	1763.375	1718.75	1029.125	838.125	5065	2155.25	860.625	1763.75	1654.125	1704.375	1066.125	1066	7349.625	1058.25	1332.625	765.75	3895.875	3339.5	1199.125	4758.625	980.875	18050.75	1102.375	1721.625	2195.125	1609.25	7285.875	1638.875	1254.375	2048.75	1384.375	1054.875	5158.75	14454.25	983.875	849.75	1416.5	884.25	2773.625	985.25	630.25	1041.125	1590.75	1706.875	Metabolism;Lipid metabolism; Synthesis and degradation of ketone bodies
