pathway	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88	Description
1CMET2-PWY	9694.1483	14708.9939	16397.164	18914.515	10698.6084	19430.0685	9669.3627	22188.4696	18879.9869	27809.8571	16209.7143	15592.3289	16089.1455	23857.0667	23762.1334	19530.8987	25343.6848	21875.5248	14965.6344	21522.719	23111.9672	25023.3577	20170.636	22240.9321	25067.1018	24577.8452	12150.062	29071.2047	32950.3648	33314.7669	20347.1596	16798.3682	26008.8839	30613.0586	14414.8965	13950.5351	9876.9376	14069.4037	13555.6921	19103.406	13408.9522	7470.3787	15625.2894	13866.5976	16974.974	14936.9332	14540.2651	16124.4127	24862.1156	21744.9607	23792.5193	28947.9812	22887.8111	13418.8967	15659.5401	39072.5521	20580.341	13955.5081	13435.8601	14583.7626	24556.3933	26428.0434	22866.6443	21737.1531	21484.3512	17096.2569	27812.8311	29220.9614	22220.3314	15110.8784	17362.861	20474.1241	18140.6221	24750.9838	3602.7328	20524.9519	15962.7318	24260.1833	21423.8539	22646.9833	22488.3112	22076.0748	24796.9416	36498.0051	28396.4026	19443.733	21841.8402	24597.0112	22440.0427	23303.2647	25123.255	26251.6549	26510.7466	28570.9872	31323.1036	25493.6742	21438.2394	22175.0597	32797.264	24333.222	18853.593	30729.9152	21940.2142	20477.0859	20885.6508	20614.7687	23422.7429	18955.5518	16296.5535	16962.875	20571.6772	20809.941	13924.1689	34242.4236	27954.4638	20874.8679	19628.2078	34052.3334	18995.0934	14708.2621	13811.7498	17679.7235	22231.4402	18325.6627	13260.1155	22092.7145	16529.5933	14857.6355	14680.216	16841.2607	19729.1042	21514.0522	19231.7736	20439.3131	33051.5156	15991.3149	14664.5359	13864.3781	15797.0328	22168.9997	13097.0616	12840.1667	34014.9462	34380.2192	24974.7267	16596.278	26207.018	20426.74	28424.6348	16753.58	23561.5234	18334.7961	15649.3348	21947.7	22261.2599	14792.0976	21360.886	15536.0188	14765.9122	22180.6604	27610.346	16688.493	14232.6909	14737.0821	22127.3392	10215.5889	11826.2724	9547.7422	19278.2057	20215.9452	13682.0151	N10-formyl-tetrahydrofolate biosynthesis
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	265.5022	7490.925	15.1293	1837.2834	832.0105	2985.5415	29.1185	716.8044	1719.2118	1064.1734	168.2975	1326.9998	0.0	36.3766	12014.4675	111.4616	96.8084	913.7024	18.3588	12.0455	4387.5143	1985.7359	403.9249	6349.6287	2710.6255	11139.2742	0.0	420.2323	27444.1913	24946.7558	115.1477	1405.5196	11793.3146	131.3591	417.3481	0.0	0.0	0.0	664.7466	0.0	12.5669	79.182	144.9852	0.0	3464.5115	88.7255	0.0	0.0	556.4197	0.0	511.5789	28619.322	0.0	12.21	0.0	725.2739	265.3795	77.5479	64.0185	116.0272	10794.0909	88.442	33.9361	108.457	0.0	96.1834	212.6664	1514.868	15.1256	58.6196	851.0846	1179.7421	12.5544	13580.926	9.2833	29.4028	202.4355	6949.9858	344.8464	111.0883	1744.9056	0.0	245.6323	14549.8137	20313.543	612.321	1028.8573	1310.292	888.6989	4424.7121	3155.6439	26.0304	0.0	36.7324	1846.9334	13889.0158	1989.9045	114.7514	1062.3363	26.2579	564.9749	6007.5541	48.1678	4023.2648	0.0	2626.3818	6088.3063	40.2097	29.9871	144.0925	80.0829	268.658	83.6644	4198.5125	52.6554	123.243	2484.428	3430.6557	3308.2062	1135.7073	0.0	762.3734	2283.7179	1070.2934	14.9916	14530.7504	27.7053	0.0	39.4207	0.0	803.4222	7368.4248	61.1957	92.63	6411.3997	669.3301	2875.9113	761.7753	59.0743	20671.8366	59.6911	122.5221	686.2377	1708.5768	180.2483	1004.5807	9219.7054	1718.4715	28747.2869	32.4806	203.1799	775.0639	417.4206	10867.1825	220.8858	48.031	1864.2924	29.1672	0.0	4935.0087	24258.6827	162.2135	0.0	292.7612	3262.9668	40.5936	56.8952	0.0	0.0	256.8927	1428.7661	4-hydroxyphenylacetate degradation
AEROBACTINSYN-PWY	204.0	0.0	0.0	109.0	132.0	754.0	0.0	46.0	327.0	0.0	18.0	129.0	0.0	0.0	101.0	0.0	0.0	10.0	9.0	8.0	0.0	156.0	72.0	462.0	57.0	7849.0	0.0	47.0	2906.0	521.0	37.0	73.0	4950.0	26.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	29.0	0.0	0.0	1783.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	1967.0	6.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	128.0	0.0	9.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	20.0	0.0	0.0	15.0	0.0	203.0	476.0	479.0	0.0	94.0	560.0	83.0	445.0	0.0	0.0	19.0	0.0	0.0	0.0	36.0	7.0	0.0	2380.0	3402.0	9.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	761.0	0.0	1070.0	92.0	0.0	27.0	0.0	801.0	11.0	856.0	0.0	0.0	0.0	0.0	0.0	1475.0	0.0	26.0	401.0	33.0	34.0	36.0	26.0	10427.0	0.0	0.0	55.0	114.0	0.0	16.0	823.0	189.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	853.0	0.0	0.0	4228.0	29.0	10.0	0.0	0.0	8.0	18.0	38.0	0.0	0.0	36.0	1086.0	aerobactin biosynthesis
ALL-CHORISMATE-PWY	1294.6739	11156.5847	54.4839	7285.481	1653.852	5416.8345	599.4663	2755.8045	11256.2408	13882.6744	1420.0461	5412.3685	815.7681	10118.1732	15887.6259	2101.7111	1764.24	14268.458	233.5928	1731.116	12480.9026	15244.8074	4715.6934	16086.4555	7976.7842	15227.8087	0.0	13021.0536	30285.4929	29444.1751	3572.8131	3725.9932	16838.0513	25382.2448	3959.0051	6042.9023	310.9535	0.0	2102.2676	1392.5246	157.017	566.712	1859.2234	138.7159	9986.4103	11106.7513	395.3367	43.0913	2372.3753	227.1247	5917.0962	31782.9424	902.2758	540.8401	938.5439	1675.5194	5368.2901	877.3973	1076.7335	850.8199	16631.1464	739.4955	12972.5835	712.311	1727.4249	490.8717	2906.3244	16981.0262	5324.454	516.6496	1795.2483	11344.9689	264.4037	21930.1635	84.3569	2004.9609	1185.1059	17157.3306	1982.889	2779.7353	3493.0165	420.9056	7733.2865	28328.1835	24530.3721	4025.9858	1697.984	4804.9219	11676.5058	16786.4472	6268.1137	1277.6673	14716.283	16209.7109	19805.5217	21611.9898	13506.2521	11845.5931	5143.1548	336.4068	1430.5513	25580.5389	1196.3477	10481.0401	111.8681	4407.7923	9082.1592	265.4492	232.6328	963.3593	2157.0389	6916.8189	961.7817	30911.084	1871.3907	698.8383	11358.2267	31897.8748	6864.0124	5976.0545	0.0	2969.6109	17235.991	2490.3257	470.3302	14853.7452	552.9955	0.0	836.2821	995.6666	1988.7885	10761.5029	1145.5038	427.2181	34764.8052	2119.9826	5845.8247	2018.1438	726.3845	22736.6511	1015.8853	688.4618	30701.4556	3037.5276	1453.2849	3295.3832	14083.6481	8925.4842	30232.7794	492.7013	1385.2134	1885.5082	3909.9343	14718.7733	2008.9432	495.5659	18534.3855	393.6883	780.6348	8414.4451	26294.5512	1123.2071	48.6792	1100.0736	18543.4094	144.5694	582.9802	194.1249	368.5786	5503.0852	2938.9064	superpathway of chorismate metabolism
ANAEROFRUCAT-PWY	9996.869	16434.8176	19240.3283	16621.8542	7291.9816	21446.743	9244.6198	28364.4423	22213.1512	30695.2328	16323.8332	14403.43	16856.7417	29902.5318	28148.1574	18241.0341	29742.0164	23082.4853	33154.558	19970.5142	24970.7279	22928.2687	22132.1661	25948.4784	22470.7271	30924.2436	14307.7206	36630.7149	39949.9428	42545.8153	17602.7367	11201.8789	32527.6071	34665.4284	11626.3281	12360.0956	12560.5942	11176.4763	13921.8364	23350.111	15061.8357	15083.5294	15593.4959	7618.8352	21476.654	12110.7295	13468.5369	8698.0216	28221.6206	24929.8312	29711.5538	38569.987	25535.1783	3730.1506	11946.6584	13983.9144	22583.382	18889.5917	10608.4259	19217.9503	28795.2662	16078.2122	26121.7542	24669.1948	19026.576	18707.935	27114.4205	40437.1575	20271.4128	10239.1765	6645.9569	20244.9294	17162.9737	25448.4356	17105.4061	18948.3192	13740.7151	19322.8488	17495.0238	27785.511	18256.8666	22313.8748	29480.195	40887.4693	34159.0281	12794.3312	19713.1694	19320.9676	28475.7178	25933.0805	26742.9041	27996.5195	30429.5187	16331.2647	23862.0528	32619.0349	33375.3879	32545.6023	20801.9651	10917.4128	11842.4379	34460.3583	6974.7657	16640.1117	5777.7764	13743.0143	18782.5733	12181.8485	14984.5524	13863.273	20324.7526	18441.4314	11478.4434	40141.2763	31032.6416	18706.8649	19342.093	39796.0634	17737.6588	19144.8328	4141.0545	17177.4167	24736.7396	11761.5291	16024.9934	28552.3187	8749.177	8468.5117	13899.0943	17375.0567	30892.4081	18710.2076	7010.7811	19831.5312	41057.5745	13844.8208	15204.5674	13755.6912	16904.9807	28721.4218	13199.0497	7961.9056	39403.187	23298.7336	26814.8552	12365.6884	26796.2329	19035.6138	36472.6199	15150.3008	29699.2348	9947.1984	11605.8606	25250.9581	13538.2888	8971.8554	25294.1755	7768.1554	11973.9702	26154.5203	33457.7277	18577.1296	15821.4937	5191.074	25450.4828	16570.9579	8051.8109	6225.3749	21595.9115	13964.0528	10918.5471	homolactic fermentation
ANAGLYCOLYSIS-PWY	13103.6946	18938.1633	20990.9813	26036.2944	32118.7651	25232.2186	15086.3679	30130.1074	25935.4011	33629.8082	17513.7932	21446.9159	20174.0887	31012.6951	32082.209	25630.0658	31417.687	26142.2752	31681.55	27565.7403	24971.3367	31437.9449	27053.622	28853.2733	31509.9407	31603.6464	15764.4254	37236.5348	43940.6776	45956.6029	28932.4456	30348.1091	35204.2896	38218.6238	18209.7206	17468.2859	13934.916	16921.5316	17189.3312	25596.368	16736.6178	18581.642	20025.821	16802.5828	21519.6532	18357.8246	17733.0761	18774.9913	32965.3148	29071.9541	29350.7757	39035.5229	32150.6902	27712.351	22074.3767	42788.6597	25431.849	20694.1334	22828.5626	20879.3197	33827.886	40797.1281	29514.5044	29426.0182	25382.3817	26382.6711	34984.9612	41076.5498	26115.4632	19952.3087	21642.6369	25252.0765	23851.2623	30683.7009	15910.6604	25705.0182	19343.6081	29799.0762	22583.3218	31120.9925	34676.0748	26367.476	35984.3673	46812.6438	35382.021	31595.1639	30564.7601	33173.9982	28110.2302	28690.747	35761.8112	36081.4758	36783.0831	33919.6259	38788.32	37926.5965	33481.1176	33467.8641	40205.8071	25905.0652	23093.7917	38871.2038	29304.2467	24903.3893	24510.737	26613.3607	30450.666	23866.2317	20627.8867	21866.1312	25247.5856	26337.1734	18050.4045	43205.6208	35457.7626	26688.0363	25672.8198	41451.9944	26816.3021	20851.7566	19326.4677	23710.5866	28088.521	24200.6226	19548.0532	28497.4237	20481.5596	17893.4671	18041.5608	21172.9138	35695.2994	27042.1269	23489.2707	25181.1825	40542.4577	19500.1688	18205.1497	19815.8071	20431.7318	30672.6657	16229.5875	16506.954	41679.5203	42155.7464	29668.0563	24106.9786	36218.2851	24532.0173	37138.7961	23207.4144	30518.5752	22359.7597	20327.6591	31601.0322	29468.4069	20841.6463	30131.8964	22960.0088	18982.0802	31815.0814	35996.6268	20812.6488	19112.4458	18851.3736	27591.8192	17874.1099	15076.3161	15259.2844	24908.8734	25910.0156	18651.8147	glycolysis III (from glucose)
ARG+POLYAMINE-SYN	2128.3156	11450.0866	858.1586	12652.4539	3717.7996	10251.7635	1979.223	4432.2315	15317.2548	12798.1706	5914.5059	9549.5435	2048.3927	12075.8424	17002.4273	2092.7561	4377.5975	18946.1704	216.8884	2341.0311	15831.2213	15863.1527	8415.1677	17665.8928	10810.279	16443.0975	841.2866	16402.8669	30207.3533	28717.8252	6733.781	8156.4537	18587.1969	28201.7735	4655.6495	8931.8447	943.539	412.3537	2645.8958	2718.1317	401.3837	1276.4387	2811.4921	3442.0469	12288.2663	7980.3205	975.1613	99.492	4240.0923	1640.8697	9020.5486	29020.2638	7072.8774	1368.6625	1781.7748	3052.7468	6399.5757	5155.1481	4414.2673	1056.0489	20015.2795	2957.3142	15467.4029	2606.5816	2825.4939	2049.8033	5911.2184	24231.0797	5004.9599	1549.5763	4994.2123	15106.4782	5255.8495	18227.2892	369.2029	4863.5365	1278.9109	10888.6326	2484.8311	4812.3685	8738.9716	5971.6004	15341.1881	22679.1658	26563.1539	8218.5167	4725.49	7838.1059	14901.5659	19969.8387	11629.9843	2114.564	20347.7033	9582.7776	14552.2177	19370.8699	15752.7805	10956.8543	3597.4241	610.6147	3468.8931	28299.7405	3924.4046	13834.6514	249.6441	7881.5	14812.8764	3477.7983	4434.7612	1359.1415	5497.7078	11525.0178	2295.0084	32876.8421	5422.4355	7633.1996	15350.5419	33191.8569	11169.8517	9006.2498	413.5772	8232.8325	19889.9462	5925.7282	4609.8984	20802.0085	4984.2383	2317.5415	4272.0347	3270.7621	5726.8062	15126.2565	3093.8479	839.1407	33686.2446	8720.3599	7802.6631	5355.6709	3404.0652	21978.9367	3011.0378	4622.0918	31806.6196	8672.3204	9320.2826	7717.5569	19549.7652	9633.2087	27759.0559	8798.5306	6457.1014	4396.4233	8828.3679	18351.1347	5653.04	1787.8416	20380.1484	1537.2652	1595.3269	12444.1752	25428.9311	3777.1214	716.2158	2748.593	19335.4281	202.981	1881.7363	1665.8521	2259.1071	11190.7986	5355.4977	superpathway of arginine and polyamine biosynthesis
ARGDEG-PWY	391.9451	8824.9096	21.7533	5816.089	1029.6339	3670.2079	309.8538	996.8468	9698.4087	8210.8951	510.3726	4391.0225	193.5105	6842.0872	13044.9181	259.7233	800.413	12592.8488	49.087	235.8642	6239.2362	11113.1806	2333.3157	13060.919	3638.8257	11384.974	0.0	8685.5966	27543.7172	26353.6841	1218.5466	2914.7631	11832.3341	23376.6029	1167.0498	3919.3524	183.1606	0.0	1333.3229	530.4344	18.9006	281.3001	404.2014	14.7543	7961.8018	5237.6169	78.2434	17.6384	1005.6699	27.6343	3945.2498	28415.6204	134.561	154.7185	323.0116	1057.9148	1901.3653	426.6911	655.3648	293.0386	12946.4941	56.933	8958.6744	427.2906	366.7555	240.7839	1253.2388	15632.1844	1965.9862	230.5462	1218.5479	8270.6602	0.0	15517.4691	30.04	696.3668	271.0863	7955.6059	869.997	1402.7306	2264.5292	27.5914	5098.8622	16728.4101	23702.6085	2276.8277	1143.7297	2361.7847	9312.0421	15665.6293	3963.2139	268.2928	10869.2504	4910.9247	8347.4305	17794.1802	11851.8204	7840.5873	1342.4599	195.3346	831.5986	24552.8743	465.8278	8288.7308	15.3833	2155.1716	8115.8524	49.9892	45.9498	223.9868	1036.4536	5601.3539	384.8115	29074.061	578.5863	224.9943	10064.8062	31007.8754	4198.4822	4480.3353	0.0	1444.1489	14021.5804	1272.2753	89.0049	16731.9297	84.1818	0.0	336.6173	225.7803	1362.1387	8529.4852	781.2498	156.5315	35297.3901	1020.0421	3879.3531	1072.1916	240.9028	17924.2236	430.7944	256.6339	26902.5758	2093.9362	338.2428	2151.3242	12177.0836	5151.5364	29034.355	108.7163	585.3255	1161.5223	3012.5553	13328.223	419.9209	156.4433	16874.2463	59.607	264.8617	6107.3803	25121.3516	442.7768	15.9944	475.869	16391.4769	67.3087	216.2856	34.0244	79.4915	3773.3669	2181.5443	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation
ARGORNPROST-PWY	843.0107	77.8835	415.6552	596.2326	606.7007	1712.6586	1565.1502	7428.878	2139.325	650.6352	502.5334	1942.0855	1908.4821	1598.4421	1552.6742	792.1132	5374.7394	1444.2006	24139.6988	1792.6379	382.7458	1635.9897	1430.0729	2296.1238	3450.4079	2628.6937	448.9552	4140.142	911.0872	3051.9739	1379.898	922.8959	3562.2849	1220.1534	546.301	559.4583	449.9921	533.8224	996.6195	2451.4042	390.4557	39.8833	1530.3854	485.108	310.2874	88.7339	948.5595	867.8596	3038.1875	608.5464	1088.8045	432.4759	2173.429	1322.5544	660.3831	238.9768	780.9607	434.8519	1206.8871	336.1733	4395.3934	4472.3869	1628.2464	995.6243	979.3639	2528.9517	1847.9622	3156.5373	886.5251	1067.7214	535.8312	1233.6754	1166.896	147.5573	592.5918	1766.4782	914.1654	617.705	1155.0923	2340.7754	3724.7912	1606.2347	10311.7077	2194.9057	1557.4879	1189.1104	1618.6602	2506.9524	1317.109	2245.9592	3116.4703	5661.5195	3562.2315	288.5811	2939.0887	2639.9466	4262.4564	439.1631	1520.7627	242.4479	540.508	160.2866	852.6587	533.3949	789.0393	690.8042	662.4586	1286.233	2186.4493	514.3793	548.7758	1085.9783	615.9844	280.1828	1631.8631	1473.895	828.718	358.517	3069.5472	308.3437	316.1153	814.5945	1630.0284	738.4435	877.8497	820.7847	465.7022	58.9254	1918.3398	416.4823	466.1548	635.0002	279.4824	3521.1643	1092.9937	850.2994	2454.542	691.5388	2069.9921	683.249	1439.5711	809.7099	2130.8172	561.9104	165.7689	710.0195	3128.9275	1202.1161	220.8638	715.087	1472.0762	301.1571	39.8729	7583.4929	4525.9938	2866.829	4761.5549	903.2483	234.0603	6521.8527	445.8852	1164.8988	1020.3488	872.2738	1599.7008	1750.4057	647.2404	794.9156	2753.7149	642.7981	1140.6257	arginine, ornithine and proline interconversion
ARGSYN-PWY	10330.1052	13348.6848	20973.4962	15901.0026	6867.1562	19264.2269	9152.9522	23405.078	18078.8489	22474.8451	11605.0402	14369.3397	11490.4906	24665.0161	19196.9657	14220.102	25253.4189	19268.0266	8587.8356	17473.4947	21558.4811	20884.5368	18066.4724	20526.8876	24515.6048	25049.3989	12266.1245	30887.8101	31198.4627	30388.5519	17505.4261	11727.11	24491.873	29078.5614	14389.8281	11311.7635	9236.4226	14456.5178	14313.2933	20564.9062	13799.6	5544.0631	16654.0621	15155.0464	16375.2801	15219.3296	16285.3979	16739.27	27683.7435	24982.0483	24762.8314	29005.1247	24836.7904	11666.5836	17252.0918	39946.4953	20870.4274	14030.601	13349.2321	10334.6972	23426.2305	32616.8859	22629.8669	21790.7056	19251.4494	16645.4375	31084.7555	33522.6523	22770.8414	15873.771	18678.4668	19255.2051	16796.3402	22598.7558	4028.503	19748.7674	17326.5993	23434.2526	20528.2594	17888.1523	20035.3861	15398.4254	33117.5666	34452.6093	26193.6432	18009.4965	18703.3702	20479.5705	22262.3364	22605.8431	20345.7579	29434.008	24486.6834	29614.7493	31833.6017	21426.1259	16595.8896	16162.6573	31387.2639	25084.7021	20115.4717	25804.919	24771.3971	21372.8015	23675.8771	22479.7569	25319.9638	20282.1999	17564.4751	17374.3995	22726.4232	21746.8056	13226.1631	33057.8175	24676.1153	21426.7135	16711.4409	32966.3676	19226.9427	15616.6826	14566.7894	15825.5437	20828.8149	18611.9351	12432.6356	22988.8134	17729.8489	16577.7478	15806.4862	17871.5399	16284.0002	23041.1222	20688.6476	17159.0413	31342.7826	15326.6247	13079.9513	12308.9704	16255.6025	23128.0777	13003.4888	13183.6881	34145.1442	38475.3265	26029.2931	15482.1777	21207.0634	14254.7577	27180.7658	14720.0322	24169.3257	19514.5807	14912.5805	19213.4737	23974.3829	14218.5855	21128.6674	15569.4219	15012.6672	23523.6231	26019.106	18145.2698	17343.2239	15190.2924	21522.3673	9236.2632	11809.9515	9451.4793	19874.962	20098.3535	14213.0251	L-arginine biosynthesis I (via L-ornithine)
