	AD	C	MeanDecreaseAccuracy	MeanDecreaseGini
Lachnospira	7.49934498586662	5.56968104137762	8.0468937317314	1.90952226389018
Bifidobacterium	5.5621329458131	6.5702345005884	7.39129769159421	2.06203989058862
Faecalibacterium	2.74139429278561	5.17673182412472	5.13383970299001	1.75751713150981
Halomonas	3.54632102187911	3.93991106608716	4.83876430069433	0.754973442976318
Sellimonas	2.78646366555411	4.85740923993057	4.4801671389103	0.732506329992721
Erysipelatoclostridium	1.88955343393106	4.35209991535011	4.23809389773778	0.838064247899782
Haemophilus	4.37838648915279	2.46830775363226	4.20483637581172	0.424228014959567
Lachnospiraceae_NK4A136_group	2.3536616502237	2.90155695736804	3.8136936895203	1.00448775580449
Monoglobus	2.94716006463812	3.2056100749344	3.66934785817177	1.08946166557966
[Ruminococcus]_gnavus_group	0.720099302113345	3.9498476150258	3.57214117618583	0.838584923561256
CAG_56	3.05667615406169	1.43972403122055	3.19060694254843	0.376400169457807
Parasutterella	3.31562571867326	2.06960044650082	3.02907286762085	0.338338334285587
Agathobacter	2.06522220624239	2.08286661797226	2.94291042160008	0.829408260295385
Lactobacillus	1.82718944502533	2.49271186074129	2.89774551165412	0.649524397725472
Bilophila	2.6826580021162	1.05765373134172	2.65545923549987	0.4605882497034
Incertae_Sedis	0.0249150813544321	3.78159991754098	2.59797066970272	0.975303341384452
Dialister	2.64959008877351	1.26647519572651	2.52068043932666	0.665809636076507
Eggerthella	1.93769691201466	2.05192821072675	2.35857261611618	0.443690295533563
Enterococcus	1.99439178778904	1.33747680752012	2.30073589021318	0.242263321273093
Roseburia	1.39038967085117	2.36870927857591	2.21503525625682	0.744055366737681
Coprobacillus	1.00100150250438	2.08650762103781	2.16118785988758	0.0326605182797435
Escherichia.Shigella	1.86460045683314	1.13846595343571	2.08295925413539	0.73560899360152
Turicibacter	2.25681433823154	0.176232317350882	1.9125173207576	0.188519375718462
Akkermansia	1.48787294803008	1.44271930109182	1.88141651684148	0.897441577746346
X.Eubacterium._xylanophilum_group	1.91556720853997	0.46610043961915	1.84753943872934	0.0939240522760637
Butyricicoccus	2.52217106730897	0.367207808945998	1.7702649246644	0.618622293804737
Collinsella	0.885096262022388	2.08615983632968	1.76363561040935	0.555985682263459
Hungatella	0.683276464696336	2.19223810948353	1.74868008925345	0.48836683853542
X.Eubacterium._ruminantium_group	1.60557740460532	1.27364052246008	1.71774875128379	0.405575428521558
Cloacibacillus	1.72300386905937	1.00100150250438	1.64969715330614	0.0594687096109456
Allisonella	0.0970489665706335	2.10187422371654	1.56717690921841	0.170119435578071
UCG.003	0.504690551623738	1.85624519182279	1.54587158230075	0.315629206177518
Clostridia_UCG.014	1.81434658009049	-0.421819631547706	1.54345136661507	0.2362870478205
Eubacterium	-0.319737567378098	2.64247530326223	1.42114920670463	0.285479597411237
Defluviitaleaceae_UCG.011	1.73429056068394	0.0830460525871121	1.33790604427802	0.100091936707547
Phascolarctobacterium	1.26063436248989	0.984417227361787	1.23472315452941	0.133039240361491
UBA1819	0.0302278218797438	1.16115054455322	1.1804848716402	0.37943576089488
Tyzzerella	1.39299551123722	-0.349446717421324	1.13896722785756	0.127652714864408
X.Ruminococcus._gauvreauii_group	1.39272458994864	-0.168576103625973	1.12232638215018	0.181735523536385
Family_XIII_AD3011_group	-0.804005982871241	2.83402086504536	1.11998420001125	0.571501717501351
Gordonibacter	0.00875027458436077	1.1951225006002	1.11295870905241	0.210756433274506
Megasphaera	1.99113499125995	-0.989798941462835	1.11189190525722	0.207661251120676
Paraprevotella	0.661415088610891	0.730034828372585	1.10996105010435	0.156842528907166
X.Eubacterium._eligens_group	1.95199480406923	-0.513037877579676	1.09134408645249	0.291144253096142
Abiotrophia	1.00100150250438	0	1.00100150250438	0.0203547594109892
Coprobacter	0	1.00100150250438	1.00100150250438	0.0115
Christensenellaceae	1.00100150250438	0	1.00100150250438	0.00695959595959596
Morganella	0	1.00100150250438	1.00100150250438	0.00735072724546409
Lachnospiraceae_UCG.001	1.63387813141008	0.242088590421557	1.00020584129708	0.304617938224968
Senegalimassilia	-0.613048707671889	1.49162998289931	0.972781818225867	0.0515778041778042
