	AD	C	MeanDecreaseAccuracy	MeanDecreaseGini
Lachnospira	7.49934498586662	5.56968104137762	8.0468937317314	1.90952226389018
Bifidobacterium	5.5621329458131	6.5702345005884	7.39129769159421	2.06203989058862
Faecalibacterium	2.74139429278561	5.17673182412472	5.13383970299001	1.75751713150981
Halomonas	3.54632102187911	3.93991106608716	4.83876430069433	0.754973442976318
Sellimonas	2.78646366555411	4.85740923993057	4.4801671389103	0.732506329992721
Erysipelatoclostridium	1.88955343393106	4.35209991535011	4.23809389773778	0.838064247899782
Haemophilus	4.37838648915279	2.46830775363226	4.20483637581172	0.424228014959567
Lachnospiraceae_NK4A136_group	2.3536616502237	2.90155695736804	3.8136936895203	1.00448775580449
Monoglobus	2.94716006463812	3.2056100749344	3.66934785817177	1.08946166557966
[Ruminococcus]_gnavus_group	0.720099302113345	3.9498476150258	3.57214117618583	0.838584923561256
CAG-56	3.05667615406169	1.43972403122055	3.19060694254843	0.376400169457807
Parasutterella	3.31562571867326	2.06960044650082	3.02907286762085	0.338338334285587
Agathobacter	2.06522220624239	2.08286661797226	2.94291042160008	0.829408260295385
Lactobacillus	1.82718944502533	2.49271186074129	2.89774551165412	0.649524397725472
Bilophila	2.6826580021162	1.05765373134172	2.65545923549987	0.4605882497034
