"OTUID"	"Taxonomy"	"SUM_Abundance"
"d756caaf2ce1221e28ae9d0a09f962e3"	"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium"	51
"7972da1d49da88e5a80b268611a166bb"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R_7_group"	36
"3a96d8d1ae79ede0f666c30f0976ac6d"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea"	54
"7e87401db896fdf263855331029ba78e"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae"	42
"16c2db3944f0997465c732e95ec4f0cd"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales_Tissierellales;f__Peptostreptococcales_Tissierellales;g__Tepidimicrobium;s__Clostridium_sp."	470
"6343c15ef6a0b28bb8d019ebbcd0a55a"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella"	24
"f9dc9ccd6ae2665f7e382538e5cc925b"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae"	43
"f02bfb5cc30612432fba6bbd80d77f54"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia"	163
"971b21a4116398b8dddba2578fcc3fa0"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales_Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group"	385
"e7f9434212ef9be4f431db7719c0b612"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae"	35
"d290f23a30825ebe5e4db36df3801666"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae"	806
"49da570377f5ea2907f55a29aa6a1f14"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Anaeroglobus;s__Anaeroglobus_geminatus"	98
"b05d4a2ca4de197f32c7ca7a428f5396"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerofilum"	31
"e2f1763cc76bbd845827dbf809f00b83"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae"	563
"1b1a1ed0ac39a69399f69bccbe0aaed0"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae"	88
"b90a8fba314a922434f5422d052761ce"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus_sp."	135
"82c06c4872b0276ade262c511653e68b"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae"	173
"e061f2a3bc1cebf79fcf479a050ef39b"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor"	71
"fb526e0f48a13e7b6ff18e9d17dd5bad"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus"	46
"36db9609ce31c11afc6137bddeba871b"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Entomoplasmatales;f__Entomoplasmatales_Incertae_Sedis;g__Candidatus_Hepatoplasma"	23
"d789d429719808266bf41e97baf09e57"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas_timonensis"	61
