"OTUID"	"Taxonomy"	"SUM_Abundance"
"d90b6ccee1ae7cf66abdac29e35e48a5"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella"	69
"cc850e8209ed33d424af5983de5aa26c"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia"	140
"f3dc239b6d6c09c017eecdf80ee003d6"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus"	65
"405d2a1d773ab7c68adb8217f12e869c"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum"	76
"d6ea62a0445b591f413737047c7c37f3"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter"	322
"2d337f6b186cb1e00af2b20748c1ba3c"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R_7_group"	31
"e152769037b92278c1031bea3dbd75aa"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae"	22
"552875105b96c443a53b7f82ebf3e75b"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium"	2818
"152a0321c73dbe1ea07690cfe5b13deb"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia_Shigella"	755
"6c20f1b2c627ffe458a8e9d6d7a9c93c"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae"	329
"540f7fd75c1a93d0a9070cfb4a111f8f"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella"	228
"d50b9c5bf40397a411c56e54a33ea23c"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Veillonella"	350
"69512dc260f6c18c39b2f5985bbf0db3"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalobacter;s__Oxalobacter_formigenes"	35
"cd023f18ae93a6f34daa3fcc48a27017"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides"	60
"6c9be80bbc8bf577e37e5e26a21ab66b"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_clarus"	22
"9e7d1e513825b537bff868d9765f3ac0"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum"	68
"102841afb62a7f62b21d9df6aae9d908"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutturella_timonensis"	35
"78212713c0abb09ae8d63c4ed4da7bcd"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella"	54
"424a44bbcea712f7b8206e9f02966005"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium"	1321
"2012b8c5a263bd48a6ba1d171109ad4d"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium"	55
"f80284e32ada9ec302c94ea31db1f8e6"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae"	53
"d21a6953c570cdadf948cba94fbcc4b1"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus"	194
"1803a26063b0564834ca1637a9805b61"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia_Shigella"	164
"5a4cf65c99d21c116e443a3bafaf5e63"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas"	28
"ed321a58e66196d720b115a968f4aeaa"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides"	969
"3354a629d9ccdfa079c827382f9280e6"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium"	1623
"7a2b980b7743728a8e2650e822570f44"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales_Tissierellales;f__Peptostreptococcaceae;g__Romboutsia"	260
"9fbfb54c984ffe746d723b008223cebc"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae"	258
"e0e562a1f160ebed0b359e973000ecf4"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_nordii"	38
"6f45d8685d66fad0b084508867386899"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Dialister;s__Dialister_invisus"	474
"069f5df9b69c9682b614768cc03b4539"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG_014;f__Clostridia_UCG_014;g__Clostridia_UCG_014"	137
"b3506945df477c39fe8f933fa6939ff7"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia_Shigella"	621
"61ae66823b40ef06237988ed7d55456f"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1"	101
"75c89a2e06b90f434a03eb9cd7459581"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia_Shigella"	116
"34bf30cbaef8da32007d57be55c2418d"	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_lingnae"	57
"5354b5f62e45014a1b54b8ad68cfa269"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Veillonella"	97
"abba8a1a36d823a4492f14792e3f7bce"	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Schaalia_odontolytica"	134
"4ff570a2e381a0eaf367e4968094085a"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella"	160
"05802ef75bc259f9146ef4dbd37a03fc"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae"	1683
"ac6861c32beb7882a8daa068cee0ca58"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella"	58
"4180621b8850c85abf4260cbd937382a"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Allisonella"	81
"450cb35e3089c2f11844d96c402a68ac"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium"	158
"8deb6aa116ae70804d1f36c20c18c38f"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_anginosus"	42
"2378f8c1e9a8cf9ad8b39bce9ccbe8cb"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella"	304
"8e5b84dcbc738d004995e37ef8fb41c0"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas_virosa"	215
"423b062712b041c4b963a34e5f0efbc6"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Dialister"	1118
"cb6506c42d97648eb12918af2c5c1746"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Dialister"	426
"ee012a9e0340fa0eaab317ffc41e05fe"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__Paraprevotella_xylaniphila"	333
"3c809bf0895415ef03c4682507f51885"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae"	68
"0baa3bb28b17063f2917700c44aae254"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus"	79
"0a911e58de62cf2cf95458123527d54c"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium"	1143
"6e32e79113e02ccb3214963d4a7fa72f"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Veillonella"	144
"203767195ef5511af688563ccbc18837"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella"	267
"853a438e9feedfd343d0aeedbbf59574"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f___Eubacterium__coprostanoligenes_group;g___Eubacterium__coprostanoligenes_group"	188
"b54896055132eedc8843254f882b36b8"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum"	67
"e89b6f3ff4ccdf3938a1dccaec64b6fb"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum"	826
"ba00582107a390b13a161166b351a6ef"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia"	74
"1dedf6168635e26c1f3aa0c35fa96e79"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera_micronuciformis"	23
"0947e5811b9fc992339fd9912011b45f"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus"	501
"86ea504d27d70c803d87ee6f04bcbaaf"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae"	70
"cc177cccacb4658c5b5ecbef4d3797a7"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides"	359
"8ff4b703b883458daeacfb28a62eb141"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus"	190
"e63eb1425d8eb15d70973bfb7a34b9b5"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_delbrueckii"	281
"f329209d1a0b4597a4532f68300b12b5"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f___Eubacterium__coprostanoligenes_group;g___Eubacterium__coprostanoligenes_group"	361
"18f557ed1fb6026bb8a6398984d19dd4"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG_001;s__Lachnospiraceae_bacterium"	48
"5285eef6223a3920cbac25d25bccef65"	"d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium"	1775
"3849a087df9ee1a30d05d6464cae2049"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum"	206
"4aed5958d27bc4f7652c817ff3dd9aee"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium"	119
"59332d9fd3e73badac05445fc5e0e49d"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter"	2727
"05ae38c09d6d407ade7b6021ef6d7db8"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Selenomonadaceae;g__Mitsuokella"	22
"62d615d4097d32a1939a404af1ee1796"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1"	202
"7f84738512349722a1f8fab01ef974df"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1"	83
"406d14db70a4b70fb9747074442e72af"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella"	155
"632ba4e5b51d28b08dc6efde01bd726d"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella"	145
"7ff2b55e82c3c34405ac8d8958811b1f"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus"	70
"b4d26d14dbb5f391c6767aea723a367e"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g___Eubacterium__hallii_group"	135
"b53391f82c52856fc03bee3534552f26"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Coprobacter"	58
"043725553161aec1ef32356926336851"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales_Tissierellales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia_hominis"	104
"469fe18dca9635faa3ec894cd361a3fc"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Absiella_dolichum"	23
"41a232d0353bbf26378d54ee41e194b3"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus"	40
"1aa2c2a75a7f0e9890e45d4968e71744"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae"	124
"3adb7a038feb0079904019955eb0dde2"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium"	57
"9177723de5f0f3a51baebd285fe41b6f"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella"	38
"5ed00b594cf36be006872306dad750ff"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae"	41
"6195cec62f08308643e4fb7dae960a2e"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium"	23
"dff9f0932d191febd06bd0d7cb93adf0"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Megasphaera"	23
"5b3c7521c5d34321888987920cf67d95"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter"	576
"6af296968782de06fe253680c50c5df6"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia"	357
"089a1f1f72e5358297250366530029ed"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella"	51
"693b91e6468b31d60c8365f2a1ee9a6c"	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Schaalia_odontolytica"	35
"9e853c417d84ab965afb5b7b73591048"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania"	28
"b3d8bb945e0850460f74ac71cebc3ecd"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium"	340
"9e2de673e74530af73fad78185ddeab5"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Dialister"	532
"4a612c244e1ef01e7c887f5b5c8e96a8"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae"	50
"05e567801314601fd887506a29785f4f"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1"	1183
"5bf7943f5b2345fc046c55b8ca6da298"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG_003"	27
"0c0661047bb1b209895a3a922875e6da"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum"	40
"dc3650fd46287f03f1b870db2bc2946b"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia_Shigella"	2545
"a2cc4cefea8d1128da1d9d8abb7715e5"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella"	632
"d9bf29a53686e8a75ca976b55687fc93"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae"	52
"c7ac4c6b6488e3c2fd3d4fa27566aef9"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus"	24
"5b5f11100dc97bddf8af7b5f254b13f9"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus"	242
"5ea6503cea1792a03591c3eb152bbf69"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus"	40
"25f5bee172c08809e3cd4cdb3dc46479"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia_Shigella"	698
"ab54a58c906747f6344aee13b2b9c514"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus_bicirculans"	275
"eec71958dfd3f223bb7bfb1532f00d35"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Absiella_argi"	53
"27cf0e8e13806b9693b8179fdcc741ec"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae"	36
"c9a5b56c4a99b9e7fec1d98ec41de81e"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella"	58
"c4cd95330363180ff529e5a92537e87d"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae"	80
"950f0cf78308e1ca7c11882b70deb924"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG_352"	1638
"b17daa1f10ec612f3bdc662e7d051930"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella"	96
"2ecb0248f64fbb94ffb30b0a5d1e0714"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia_Shigella"	121
"3e3538ac6cfac6a58a5b6b597d9fe60b"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG_010;g__UCG_010"	37
"7af90b1e8cbdf0350b7da534a8777b5e"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella"	120
"5550ac000426ae0ab2edfff801a7560f"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium"	813
"3e8379736f1e8466c77b91217ef15d39"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae"	180
