name	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88	taxonomy
Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003686635944700461	0.0001141422212076247	0.05678427242408285	0.0	0.0005476912706437479	0.0	0.0	0.006433677521842733	0.0	0.0	0.00012846865364850977	0.0	0.0	0.0	0.0	0.0	0.002749210874656349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004287786115139669	0.0	0.0	0.0	0.00935177044201103	0.00018617813523979745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016585666898094576	0.0012196266066235107	0.0	0.08165456267761288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005159216813972174	0.0	0.0	0.2966924422870689	0.0	0.007376453488372093	0.013585789576420067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013603591348115902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018961477687571514	0.0	0.0	0.0	0.0	0.0	0.0005744079179922234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024489396091492384	0.0	0.0012752778283840408	0.0018973947310807853	0.0	0.0	0.0	0.0	0.007271957074272804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018759379689844922	0.0	0.0032141217284832406	0.0	0.0	0.0	0.0	0.0	0.0007441860465116279	0.0	0.0	0.0	0.009396288466055908	0.0	0.0	0.00374276964954066	k__Archaea;p__Euryarchaeota
Actinobacteria	0.1945926062166636	0.0030015007503751876	0.36581803005008345	0.00667419149040585	0.006700290836800059	0.09873095203096673	0.028400248988484283	0.5498290281382606	0.014197285479016412	0.3004922319643132	0.04560283195668772	0.02916987160523046	0.015706465067778938	0.4844167780748663	0.017839577930787803	0.02016854464539343	0.7613937925464406	0.0065898617511520735	0.24852566297606818	0.008601018079691065	0.15405864853378665	0.024309066397034042	0.05328490644108317	0.056491811061001665	0.06254964257347101	0.27749793559042113	0.20640352878545898	0.41061793422404935	0.012825162375127756	0.0484693059785222	0.01570484856038888	0.005889520714865963	0.09671540076865169	0.009469504123816311	0.002221450885109337	0.0134847409510291	0.20212055434964102	0.4679218053004461	0.6961189698948133	0.2505816207832493	0.5870996375471559	0.13980212622134824	0.5435689593515318	0.007985257985257985	0.39443793911007025	0.06306059568640876	0.6863610568131661	0.9259895709883859	0.5790607654104587	0.44263325511230306	0.5418032131724083	0.005585344057193923	0.07641614216956683	0.032552426077037816	0.0645143365192265	0.9434053860698043	0.2664960701882654	0.20414384915034156	0.028466771323914182	0.15089594467148695	0.0175509056588618	0.09667166946234661	0.19618070523320977	0.6213453675846641	0.0467679894924477	0.08850158442734268	0.5970634670034733	0.03991596638655462	0.5989105126740764	0.04543028290137002	0.00397451951870202	0.003923711135392868	0.10016642396505097	0.006399641978071157	0.014653465346534653	0.07297811607992388	0.6257139457401237	0.0015538980642869828	0.7007534983853606	0.32114010233856305	0.22343354665872897	0.09975609756097562	0.06423209346954901	0.11571533631272275	0.009265988372093024	0.1811438610189342	0.07905982905982906	0.02372775522947237	0.3835153748300215	0.023249389991252704	0.12463052344071539	0.5998065570489944	0.021223176807500688	0.002552105487026797	0.018414371565382268	0.0063862862904919965	0.012544727425805093	0.19117462179943845	0.0013170791472678265	0.9487106714239377	0.02556359660540428	0.005679499387838389	0.011711386515862511	0.006661324251227086	0.012732976563941687	0.004720320981826764	0.000645216792842395	0.004921787437259393	0.011887314769581502	0.00937176483408707	0.14222055443501103	0.0699025302746874	0.002851182197496523	0.002979978270991774	0.27345419706684354	0.07383351007423118	0.0006194507536650836	0.01649236990932356	0.03416970120217489	0.3934080501325621	0.012015125640400097	0.021908420724743017	0.0742665317759588	0.016351204043206818	0.11869401225836869	0.05335927898402294	0.00835315594401726	0.005619445896497648	0.05433971648843571	0.00995777071059903	0.17558272208638956	0.004269449715370019	0.010733911971650146	0.15800558358230887	0.016956860706860706	0.005829841501184187	0.053856819674523826	0.06167534196828471	0.14193548387096774	0.006137012369172217	0.06465014577259476	0.007554363174244564	0.015024359578815025	0.045715529674276854	0.11514596260358972	0.004993442953697165	0.01775147928994083	0.1151229442331387	0.005373495799591311	0.019524281466798812	0.31517273409310137	0.007805399625768511	0.0009460141271442987	0.03643332101957887	0.19067132698565747	0.05208854427213607	0.00675802515487141	0.01647875108412836	0.046368927125506075	0.07118086430730927	0.0035913969717993716	0.3445201306972365	0.1661824520627542	0.016372093023255815	0.2423521731020332	0.31293695477324757	0.008795562599049128	0.03492287213217446	0.49354131123568123	0.005928853754940711	0.0634229329703981	k__Bacteria;p__Actinobacteria
Bacteroidetes	0.024645944454662498	0.0569570499535482	0.012207846410684474	0.09280070667909898	0.009903177115929758	0.06952814934587682	0.015172735760971055	0.02232933712355292	0.03963882105741382	0.34348561759729274	0.6340667730964115	0.02769066919117212	0.5256777893639207	0.000250668449197861	0.146114638290262	0.36061925953981633	0.016653205645936694	0.08	0.0	0.5605581885202738	0.027624309392265192	0.34989046174587124	0.3258241000413774	0.1555661049133634	0.07589356632247815	0.0004541701073492981	0.1061677694121226	0.02672147995889003	0.008044574857406613	0.008334669017470748	0.31363995180522664	0.0057676685621445975	0.03451008360077658	0.04860333299392458	0.2635890315862548	0.18757984386089424	0.0003339455668725998	0.0	0.003627130939426913	0.02854788677782086	0.002958798727716547	0.0	0.03200619859339612	0.06579306579306579	0.006147540983606557	0.0	0.0051075099312693105	0.0	0.013328951212386796	0.002011397921555481	0.0011989449284629525	0.0	0.13091447611995558	0.040800210581732034	0.010280062236052457	0.0	0.06155181868031438	0.04872127815728561	0.004290947148090005	0.4888923818505711	0.12309731314510623	0.0367852623524911	0.0483231313044228	0.011262824963357248	0.0	0.0047532820280669985	0.005557309756867698	0.004201680672268907	0.0019768923252646837	0.010972065713777356	0.028202754940926663	0.12292639316578921	0.26685042646141044	0.0	0.0038943894389438945	0.1841103710751665	0.011185149928605425	0.00013319126265316994	0.1750362708850096	0.40719753034211525	0.013208810834945676	0.5417560975609756	0.03050742224981656	0.0013011257566329128	0.02114825581395349	0.003669724770642202	0.008463214345567287	0.1546764194282146	0.0004386542088871343	0.03526541135306846	0.101507838515359	0.014074642297301805	0.11545251265152406	0.0008507018290089324	0.002474531606517338	0.24629217259779002	0.0	0.2733101454134015	0.14006983582455282	0.009284787544599417	0.020253032748477118	0.0009182424159978234	0.054666506236714395	0.13978763898627666	0.05277726517807713	0.024923294784045313	0.005333792154163799	0.16690219774864773	0.05645117516148293	0.1981147496322127	0.02443829447910315	0.012011420695087132	0.3208623087621697	0.008288064566195871	0.2862406957034417	0.09530752916224815	0.031798472021474296	0.0017377018103693406	0.021549359006335114	0.0042781393106772715	0.001890705050012198	0.19681237670023882	0.027499310217971123	0.030373600237835696	0.07237152286657238	0.0022531749283080703	0.0809315705039553	0.011957658128593831	0.01448644615767222	0.021375319326416765	0.019201303993480034	0.03861480075901328	0.011504288428945611	0.41886663074888575	0.0007796257796257797	0.22693872593672193	0.25636721885718455	0.13811887180728724	0.17235868600177567	0.0	0.16822157434402332	0.1116210110138379	0.04617318874744617	0.015156875017007266	0.14404697455544913	0.016947442751941894	0.0018206645425580337	0.4378314672952269	0.018050404904260957	0.1639246778989098	0.034225286699296205	0.07324244854317027	0.007252774974772957	0.0017085334318433692	0.035354144068137076	0.001375687843921961	0.001314060446780552	0.061374419672465694	0.11873734817813765	0.00013338075760270317	0.00020405664612496428	0.18585590075870853	0.005926786751888437	0.12303875968992248	0.009559783622458497	0.0006805667264740457	0.19025356576862124	0.013389711064129669	0.02500609310260785	0.058018068887634104	0.022728819326301462	k__Bacteria;p__Bacteroidetes
Firmicutes	0.6806143093617804	0.2176088044022011	0.6207742070116862	0.703145703489228	0.9501895961418105	0.708118967122348	0.9161998132586368	0.3909693898570428	0.5322846271792834	0.09829257037378865	0.29208023877281875	0.7613158984675463	0.40758602711157454	0.25062667112299464	0.4036036841634624	0.35744721143831076	0.19726164378293143	0.4780184331797235	0.74675645854735	0.31257679480428296	0.6278793030174246	0.2682844624199528	0.5521585214472898	0.2900071208165203	0.6104447974583003	0.30714285714285716	0.684995056658301	0.30206192189105857	0.20803798094358908	0.2582785702836993	0.5782126386638414	0.9006092607636068	0.4308411585245057	0.28388147846451484	0.6302672683096148	0.5937544357700497	0.7881115378193354	0.312450800314878	0.23953572723975336	0.7037126793330748	0.30912049707818623	0.8341424445400356	0.24883776373822863	0.9243106743106743	0.21832552693208432	0.08551865799383773	0.2509615990919982	0.0734771272813463	0.3839468302658487	0.5474773717733825	0.32631284469666694	0.028820375335120642	0.7760459089226213	0.9219970167587962	0.8831962658368526	0.036639583013950636	0.4199415097788339	0.7304239823858183	0.9288330716902146	0.3505710992350414	0.46013896140407246	0.8179276654601101	0.36089318044659024	0.35585898326004783	0.2837508209025237	0.8958352195563604	0.26296179349542154	0.45390509144834407	0.1623687563150727	0.9348199988138307	0.9207273915173954	0.49637429224197877	0.20834200124817973	0.029044528977399866	0.9742574257425742	0.7219790675547098	0.20389100428367443	0.05514118273841236	0.09130902794028174	0.22539857064321056	0.6987646971275487	0.3499512195121951	0.5069142631371	0.12886802059172936	0.09654796511627907	0.710482139371462	0.8786659963130551	0.7475134918157085	0.28100188621309824	0.3891165231803324	0.6708571856175403	0.37037654670980225	0.5121023106194343	0.029703672196228555	0.14953240993669056	0.16881643628418974	0.6183961271311302	0.29003059129195824	0.09418647390345504	0.03628770677911126	0.91903993335763	0.31567133723302954	0.9112822363935347	0.5501352298908144	0.9307529064403026	0.8540004720320982	0.7433327598072953	0.8236928024950051	0.9182000759919665	0.6632703100310576	0.8006473099113467	0.7078861868662006	0.6574408901251738	0.208629520409747	0.4058884221386985	0.8153941322021916	0.5667458187074128	0.15790970269501753	0.7529306130593106	0.3983489997589781	0.9859721883386192	0.7323746236112553	0.38710567460682427	0.8975324546625706	0.7915487977369166	0.38519049569848424	0.8994855341041101	0.9773261892315734	0.9018900770952499	0.7183671341431626	0.7775713121434393	0.6536053130929791	0.9500282471367675	0.41842582161923886	0.01848362785862786	0.7202890629744337	0.4920090491133328	0.761287979663479	0.6750517904705534	0.13320647002854424	0.7408163265306122	0.8620446201637956	0.1788778877887789	0.8999156439631011	0.6903760463082497	0.8738525168970039	0.643225610681232	0.24176353993678684	0.07099069098615	0.8092666005946482	0.5902611553713694	0.8801390002673082	0.8245459132189707	0.5344939046915405	0.7509139849744888	0.8077163581790896	0.36376009010700205	0.9069945410948421	0.8242029352226721	0.7258136226213765	0.16773456311472065	0.4535637149028078	0.8264381173736199	0.8311937984496124	0.09046819623204626	0.6827321660582812	0.7894611727416799	0.9381411009317986	0.45712893005118205	0.8091003199698852	0.8220483157536577	k__Bacteria;p__Firmicutes
Fusobacteria	0.0	0.0	0.0	0.0	0.0002577034937230792	0.0	0.0	0.0	0.01135782838321313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001274968125796855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016970437497878694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048130322102924843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015428527347064721	0.24936673233886855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005412948788429822	0.0	0.0	0.0	0.0	0.00014534883720930232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046079682404650505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024365284342868282	0.0	0.0	0.00014071954594493174	0.0	0.0	0.0	0.00011054609772275039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018030340711265853	0.0	0.0	0.0029886148007590135	0.0	0.0	0.0	0.0	0.0	0.0	0.0009470257472625037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017678255745433118	0.0	0.0	0.0	0.0	0.015136226034308779	0.0	0.0	0.11080540270135067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002797985450475658	0.0	0.00023771790808240888	0.0	0.0	0.0	0.0	k__Bacteria;p__Fusobacteria
Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015885623510722796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036753749875831927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Lentisphaerae
Proteobacteria	0.021151370240941696	0.5569927821053384	0.0007303839732888147	0.1973793983412671	0.032433825424290394	0.12303395560782007	0.02661064425770308	0.03526552136118321	0.4025214379010733	0.2561144439317028	0.027347817033386547	0.1811135435773031	0.006843065693430657	0.22898562834224598	0.43203970312080836	0.008427232269671433	0.024460597669320412	0.43423963133640553	0.004337404405889739	0.008820431806213797	0.18988525286867827	0.354566902595214	0.06841064778630868	0.4874910989793496	0.09702144559173947	0.41176713459950454	0.002433645144117423	0.20921120246659816	0.770663677425736	0.6820964898220869	0.0898250862104782	0.08013809910641755	0.4195094892824597	0.6535315480433086	0.10315862547726484	0.20518097941802696	0.008766071130405744	0.0010495932826029913	0.060355458832063835	0.017157813105854982	0.0022190990457874103	0.01142997603392122	0.0174037429967815	0.0006825006825006825	0.3804449648711944	0.29044847654912703	0.0026483384828803833	0.000533301730267836	0.023188723342097574	0.002430439155212873	0.12081368395811685	0.9654081024724457	0.015623843021103295	0.004167763446521014	0.011224716603689708	0.019955030916245082	0.05940413087186986	0.01620278891209846	0.036316064887493456	0.009640574242900555	0.39664243543917427	0.04614343309496483	0.29480989740494873	0.008948545861297539	0.019701660568533633	0.007741059302851969	0.028291758762235553	0.5018124897017631	0.06330448534903133	0.008599727181068738	0.04709533402297599	0.31732392967120293	0.026211774495527355	0.572074289550235	0.006996699669966997	0.020599429115128447	0.009281294621608758	0.2477357485348961	0.031075958253381383	0.035141878462384236	0.0645929453787766	0.008341463414634147	0.10075069142631371	0.35291621881540985	0.8262354651162791	0.06371266835838375	0.033810960281548515	0.07189688238704786	0.3187700135982805	0.5520464067031905	0.1027425449919557	0.005369709502051162	0.344396061354988	0.1527364242166454	0.20786065494745637	0.5666568631570102	0.34851610187328985	0.244017935716381	0.02432001960303847	0.005595199481024975	0.026709012339251315	0.6775948850496532	0.01411783579994385	0.30341580687168185	0.001061081380328474	0.1162615057823932	0.2495698554714384	0.004239559475659081	0.013352874124735386	0.010897400969868687	0.03166189783760964	0.20955990942207345	0.018636995827538246	0.7753220549433494	0.03393765200088437	0.014757864969954047	0.40021680776378277	0.8236074689583267	0.19095126452835837	0.20378404434803568	0.00012198097096852891	0.04630879451770325	0.5111284833992459	0.05539589733425825	0.0033592644978783595	0.5588385907414993	0.005144658958898048	0.0004573967590172504	0.025242476995772197	0.01193889786768156	0.027644661776691115	0.30052182163187857	0.027630835601664013	0.00421217612773669	0.9637798856548857	0.04518127163417745	0.19368021601109245	0.038675705120445464	0.009707013909440662	0.8595147478591817	0.02587463556851312	0.011366845523863316	0.759075907590759	0.03915752809600261	0.05005621954774497	0.06935337435690507	0.33037475345167655	0.20351422296030428	0.9055854083099977	0.007284440039643211	0.059912114608266946	0.03881315156375301	0.15211907164480323	0.4219615810860731	0.01996705636575469	0.01844672336168084	0.62760465552844	0.003112086118055201	0.01069078947368421	0.20193846701049262	0.8283883606089051	0.016060253641247163	0.0009877977919814061	0.028651162790697675	0.6508580488714792	0.0032790942275567653	0.011014263074484944	0.003288700963119568	0.017060687301974166	0.12695275738754	0.08737665872745833	k__Bacteria;p__Proteobacteria
Synergistetes	0.0025749494206363803	0.0	0.0	0.0	0.0	0.0	0.013460939931528167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007834101382488479	0.0	0.0	0.0	0.0018115942028985507	0.0	0.0	0.0007545671167593328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013576349998302957	0.0006247830614370011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018916703449145596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00041125936757448363	0.0	0.00047095761381475666	0.0	0.0	0.0	0.00025864298646435037	0.0	0.002204709635050192	0.0	0.00025260498894853176	0.0	0.0	0.0	0.0	0.0	0.005980861244019139	0.0	0.0	0.0	0.0	0.0	0.0018252445359666777	0.0	0.0	0.0	0.0	0.0009899869887424336	0.003197674418604651	0.00027327737653718527	0.0	0.0	0.0	0.0	0.0	0.0024013607711036253	0.00035306578792515005	0.0	0.0	0.0	0.0	0.0	9.188924283263906e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002086230876216968	0.0	0.0	0.0	0.0001548626884162709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004858201250986822	0.0021893016127855214	0.0	0.0	0.0	0.0	0.0	0.00012572685840012572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039151201941899614	0.0	0.0	0.0	k__Bacteria;p__Synergistetes
TM7	0.0007356998344675372	0.0002858572143214464	0.0	0.0	0.00040496263299341016	0.0004409819197412906	0.0001556178026766262	0.00032958431178675896	0.0	0.0	0.0	0.0004733447724986687	0.00019551616266944735	0.004094251336898396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005898213683855747	0.00032182428394096825	0.009399477806788513	0.006671961874503574	0.001445086705202312	0.0	0.0033080678314491266	0.00023078698361412417	0.0024683442859432603	0.001994266483858906	0.0011779041429731925	0.018423867823606322	0.00023758612497030174	0.00013884068031933357	0.0	0.0	0.0	0.0003627130939426913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003783340689829119	0.0	0.00014607069821793748	0.00041904123365739187	0.0	0.0	0.000518326545723806	0.0	0.0	0.0	0.00013708645585816122	0.0	0.0009942438513867084	0.0	0.0022892485641993654	0.0	0.0	0.0	0.0003283610094755606	0.0029425079221367134	0.0	0.0	0.0	0.00017792538995314633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002537319744576479	0.0	0.0	0.0	0.0007071335633874527	0.0	0.00015615850087839157	0.0	0.0017394407029124482	0.0	0.0	0.0	0.0	0.006355184182652701	0.0	0.00022495741877430342	0.0	0.0	0.0014667057788207685	0.0	0.00012163477132662991	0.0	0.0	0.0003609673926122007	0.0	0.0	0.0	0.0	0.0	0.00010855995223362102	0.00021794801939737372	0.0005159716684647498	0.0006399527419513636	0.0	0.0	0.000368486992409168	0.0001325556733828208	0.0003097253768325418	0.0	0.0003990622038210206	0.0	0.0	0.0	0.0	0.00034684372212862946	0.0	0.0	0.0006638269624384577	0.0	0.002238249191743347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001141769743101808	0.0	0.0001412030499858797	0.00034574886060034576	0.0	0.0003747969849664765	0.00015131645314233835	0.0010999848277954787	0.0	0.0	0.0	0.00042870922796613197	0.0	0.0	0.005402659770964167	0.0030934876059619944	0.009379689844922462	0.0005631687629059508	0.0	0.0	0.0009336653032189223	0.0	0.0	0.00046484601975595586	0.0	0.006481999626935273	0.00037121821444038855	0.0	0.0	0.007262978308554716	0.0	0.0006805035726437564	k__Bacteria;p__TM7
Tenericutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.692011845698243e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025645135438371534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026164311878597594	0.0	0.0	0.00023542567905594303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Tenericutes
