#OTU ID	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88
d__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	1294.0	0.0	13.0	0.0	0.0	162.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	234.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	26.0	0.0	2586.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	10513.0	0.0	203.0	348.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	348.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	21.0	26.0	0.0	0.0	0.0	0.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	120.0	0.0	0.0	55.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria	625.0	29.0	6705.0	10.0	59.0	1805.0	163.0	7094.0	45.0	7764.0	621.0	124.0	187.0	11336.0	337.0	358.0	7519.0	12.0	6532.0	82.0	3611.0	518.0	1036.0	934.0	256.0	4912.0	2605.0	11425.0	149.0	1200.0	127.0	26.0	1831.0	117.0	12.0	85.0	2223.0	7028.0	8845.0	4243.0	4154.0	2223.0	7222.0	46.0	6657.0	886.0	9818.0	13639.0	13153.0	10455.0	6534.0	150.0	1553.0	10.0	826.0	36923.0	4379.0	3464.0	475.0	2552.0	171.0	379.0	1559.0	15356.0	56.0	1878.0	17864.0	60.0	13372.0	379.0	9.0	4.0	1588.0	127.0	210.0	1038.0	9110.0	15.0	14719.0	6905.0	185.0	1914.0	1320.0	2754.0	57.0	113.0	1690.0	417.0	4886.0	297.0	1661.0	17244.0	199.0	0.0	134.0	28.0	136.0	4536.0	22.0	21295.0	84.0	126.0	6.0	98.0	9.0	10.0	0.0	20.0	186.0	0.0	2628.0	781.0	4.0	0.0	7195.0	1365.0	0.0	0.0	21.0	6428.0	160.0	383.0	1037.0	94.0	1601.0	1039.0	39.0	86.0	822.0	20.0	4962.0	38.0	128.0	7.0	522.0	46.0	181.0	733.0	1516.0	98.0	787.0	47.0	64.0	1633.0	2749.0	40.0	236.0	2131.0	69.0	344.0	7680.0	120.0	15.0	545.0	197.0	330.0	40.0	42.0	592.0	1407.0	47.0	5337.0	2401.0	65.0	4052.0	5028.0	0.0	289.0	8599.0	16.0	294.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	1554.0	13.0	307.0	126.0	123.0	210.0	202.0	6252.0	205.0	50.0	36.0	369.0	54.0	259.0	62.0	68.0	12278.0	131.0	0.0	114.0	14.0	71.0	123.0	256.0	1319.0	1809.0	109.0	1360.0	240.0	312.0	265.0	119.0	610.0	162.0	20.0	105.0	198.0	105.0	751.0	927.0	3783.0	52.0	1898.0	71.0	80.0	35.0	1067.0	1988.0	2704.0	108.0	7049.0	0.0	551.0	732.0	335.0	0.0	1484.0	152.0	69.0	328.0	266.0	2906.0	2992.0	753.0	941.0	77.0	1045.0	909.0	261.0	387.0	64.0	79.0	338.0	16.0	12.0	496.0	1407.0	20.0	254.0	689.0	5820.0	131.0	1061.0	1337.0	198.0	4527.0	197.0	115.0	3857.0	208.0	1670.0	740.0	342.0	72.0	439.0	124.0	162.0	26.0	21.0	2104.0	407.0	41.0	318.0	35.0	267.0	90.0	15.0	81.0	33.0	176.0	404.0	639.0	37.0	96.0	226.0	306.0	12.0	540.0	664.0	101.0	37.0	39.0	578.0	236.0	413.0	3.0	112.0	0.0	52.0	171.0	424.0	52.0	81.0	3219.0	0.0	50.0	557.0	286.0	882.0	31.0	116.0	60.0	414.0	47.0	16.0	59.0	232.0	18.0	73.0	50.0	1142.0	26.0	0.0	244.0	4591.0	503.0	104.0	281.0	141.0	194.0	41.0	884.0	459.0	199.0	1145.0	30.0	111.0	157.0	1526.0	110.0	645.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia	268.0	797.0	234.0	1891.0	269.0	1419.0	195.0	542.0	698.0	8932.0	9135.0	468.0	8066.0	6.0	3268.0	7617.0	433.0	1736.0	0.0	12774.0	650.0	8305.0	7087.0	3277.0	1911.0	11.0	1396.0	832.0	244.0	260.0	7549.0	142.0	871.0	1432.0	3797.0	2643.0	4.0	0.0	50.0	589.0	40.0	0.0	537.0	964.0	105.0	0.0	81.0	0.0	365.0	48.0	30.0	0.0	3536.0	930.0	185.0	0.0	1347.0	863.0	82.0	9331.0	3065.0	1250.0	1121.0	292.0	0.0	105.0	176.0	102.0	45.0	185.0	518.0	2475.0	5131.0	0.0	59.0	3870.0	188.0	3.0	3740.0	9629.0	355.0	11106.0	1081.0	46.0	582.0	94.0	202.0	3468.0	10.0	766.0	2713.0	422.0	2943.0	24.0	77.0	5862.0	0.0	6522.0	4573.0	229.0	389.0	27.0	1363.0	2791.0	1144.0	528.0	124.0	3425.0	1040.0	3636.0	521.0	244.0	4614.0	267.0	7768.0	2157.0	616.0	55.0	432.0	71.0	31.0	3791.0	598.0	613.0	1228.0	44.0	1463.0	183.0	233.0	410.0	589.0	814.0	224.0	8552.0	24.0	3737.0	3513.0	2282.0	2912.0	0.0	2308.0	1581.0	1469.0	557.0	3459.0	336.0	48.0	8173.0	477.0	3308.0	958.0	1370.0	115.0	37.0	880.0	22.0	28.0	1203.0	1877.0	3.0	5.0	3356.0	102.0	1984.0	205.0	11.0	2401.0	171.0	513.0	1233.0	334.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	5.0	6.0	0.0	10.0	15.0	0.0	184.0	17.0	0.0	99.0	0.0	18.0	0.0	0.0	10.0	25.0	0.0	199.0	0.0	0.0	0.0	66.0	0.0	0.0	39.0	0.0	4.0	24.0	0.0	18.0	1371.0	5.0	0.0	232.0	47.0	0.0	0.0	0.0	0.0	13.0	20.0	9.0	71.0	0.0	0.0	10.0	0.0	0.0	0.0	10.0	11.0	0.0	112.0	0.0	5.0	0.0	35.0	25.0	310.0	0.0	12.0	0.0	4.0	0.0	209.0	0.0	75.0	0.0	3.0	6.0	98.0	210.0	490.0	0.0	0.0	4.0	0.0	0.0	156.0	30.0	339.0	116.0	136.0	142.0	97.0	33.0	119.0	174.0	10.0	290.0	68.0	3.0	3.0	0.0	340.0	6.0	0.0	0.0	0.0	17.0	0.0	0.0	14.0	30.0	7.0	50.0	0.0	19.0	7.0	81.0	24.0	108.0	34.0	5.0	0.0	204.0	68.0	0.0	48.0	0.0	2.0	19.0	33.0	22.0	7.0	0.0	8.0	0.0	4.0	5.0	8.0	25.0	0.0	3.0	0.0	159.0	85.0	19.0	6.0	0.0	113.0	7.0	0.0	67.0	0.0	26.0	8.0	0.0	0.0	46.0	0.0	16.0	0.0	0.0	82.0	11.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	180.0	221.0	0.0	22.0	14.0	89.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli	240.0	69.0	656.0	151.0	38.0	301.0	1166.0	984.0	3725.0	47.0	34.0	1496.0	174.0	624.0	435.0	234.0	1076.0	204.0	19621.0	86.0	390.0	109.0	325.0	262.0	819.0	2292.0	150.0	334.0	131.0	1709.0	506.0	572.0	2284.0	695.0	77.0	660.0	430.0	1625.0	691.0	1014.0	86.0	5.0	226.0	59.0	75.0	356.0	277.0	1089.0	1275.0	302.0	1608.0	188.0	1511.0	299.0	415.0	267.0	516.0	179.0	509.0	6207.0	1096.0	131.0	418.0	259.0	53.0	797.0	1957.0	368.0	213.0	1396.0	36.0	254.0	132.0	102.0	14039.0	365.0	555.0	125.0	62.0	2136.0	489.0	47.0	1299.0	1956.0	233.0	318.0	595.0	238.0	140.0	631.0	127.0	1074.0	7108.0	157.0	631.0	1661.0	10900.0	5863.0	1434.0	816.0	1898.0	43.0	128.0	175.0	70.0	52.0	36.0	339.0	2780.0	69.0	165.0	36.0	19.0	41.0	3399.0	991.0	79.0	93.0	28.0	71.0	187.0	119.0	158.0	27.0	45.0	747.0	254.0	222.0	2670.0	43.0	116.0	303.0	41.0	162.0	77.0	29.0	54.0	59.0	34.0	1365.0	474.0	61.0	260.0	169.0	215.0	96.0	262.0	135.0	90.0	13.0	152.0	65.0	14.0	1219.0	1804.0	1870.0	146.0	119.0	52.0	338.0	237.0	694.0	418.0	130.0	385.0	10889.0	8.0	94.0	1118.0	140.0	184.0
d__Bacteria;p__Firmicutes;c__Clostridia	7039.0	2872.0	11218.0	14002.0	25711.0	12492.0	10495.0	8736.0	5271.0	2289.0	1320.0	11366.0	5675.0	5369.0	8443.0	7300.0	3993.0	5417.0	6.0	6712.0	4066.0	6152.0	11505.0	3793.0	14432.0	5115.0	8724.0	9121.0	6160.0	6077.0	13152.0	21593.0	8345.0	7350.0	8728.0	7245.0	8965.0	3036.0	2611.0	13416.0	4068.0	13551.0	3768.0	13001.0	3654.0	893.0	3550.0	140.0	8789.0	12224.0	5395.0	394.0	18859.0	20694.0	15440.0	779.0	8690.0	12125.0	16663.0	153.0	8392.0	27672.0	7808.0	8490.0	5907.0	18907.0	6356.0	10579.0	3445.0	14146.0	16746.0	9504.0	2571.0	513.0	105.0	14766.0	2855.0	1117.0	1436.0	2497.0	16137.0	4591.0	16503.0	2461.0	2390.0	17866.0	20368.0	16069.0	6260.0	5525.0	17734.0	9825.0	5282.0	391.0	3909.0	2220.0	3783.0	768.0	1298.0	26.0	15747.0	9230.0	22537.0	10419.0	20080.0	17985.0	17176.0	15892.0	12066.0	12139.0	15661.0	14030.0	9360.0	6666.0	7327.0	13640.0	10867.0	4896.0	15006.0	6547.0	15909.0	13351.0	5590.0	17723.0	12395.0	6651.0	15289.0	14226.0	10965.0	9900.0	23736.0	12563.0	18414.0	8368.0	438.0	10200.0	6518.0	12364.0	10815.0	1412.0	9422.0	11733.0	4195.0	31724.0	14600.0	16829.0	16669.0	3286.0	1696.0	14675.0	4767.0	16358.0	12114.0	10356.0	15760.0	10852.0	7590.0	17640.0	12963.0	15987.0	3867.0	6909.0	13805.0	13226.0	1519.0	96.0	9932.0	11765.0	8218.0	17014.0	11953.0
d__Bacteria;p__Firmicutes;c__Incertae_Sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes	156.0	104.0	25.0	197.0	61.0	1659.0	121.0	38.0	377.0	231.0	2858.0	5.0	415.0	6.0	149.0	29.0	62.0	4752.0	0.0	379.0	10318.0	119.0	180.0	2054.0	221.0	32.0	133.0	0.0	19.0	279.0	270.0	8.0	245.0	335.0	274.0	461.0	45.0	102.0	0.0	89.0	29.0	18.0	188.0	483.0	0.0	0.0	157.0	11.0	461.0	539.0	1168.0	192.0	591.0	29.0	39.0	388.0	23.0	634.0	583.0	331.0	1969.0	3.0	146.0	477.0	89.0	85.0	15.0	72.0	38.0	220.0	189.0	274.0	1303.0	34.0	616.0	45.0	21.0	0.0	453.0	697.0	2154.0	2536.0	192.0	139.0	222.0	15.0	9.0	453.0	6.0	2304.0	82.0	206.0	664.0	290.0	113.0	137.0	7.0	290.0	343.0	53.0	13.0	9.0	80.0	390.0	25.0	55.0	69.0	679.0	2070.0	5.0	1243.0	316.0	78.0	14.0	289.0	3823.0	43.0	9.0	60.0	0.0	70.0	637.0	2670.0	364.0	991.0	124.0	717.0	519.0	871.0	3836.0	0.0	912.0	43.0	13.0	54.0	1655.0	203.0	171.0	556.0	23.0	289.0	426.0	1236.0	1178.0	1763.0	400.0	27.0	1092.0	90.0	1670.0	11603.0	40.0	946.0	0.0	1127.0	195.0	15.0	33.0	14.0	0.0	6.0	587.0	0.0	47.0	36.0	50.0	23.0	122.0	42.0	41.0	23.0
