#OTU ID	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	1294.0	0.0	13.0	0.0	0.0	162.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	234.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	26.0	0.0	2586.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	10513.0	0.0	203.0	348.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	348.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	21.0	26.0	0.0	0.0	0.0	0.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	120.0	0.0	0.0	55.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0.0	0.0	0.0	0.0	7.0	0.0	0.0	520.0	0.0	0.0	4.0	44.0	0.0	103.0	0.0	12.0	115.0	0.0	0.0	0.0	31.0	24.0	29.0	179.0	61.0	102.0	0.0	57.0	13.0	136.0	37.0	16.0	171.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0	7.0	14.0	0.0	0.0	0.0	8.0	105.0	0.0	0.0	10.0	0.0	0.0	17.0	0.0	44.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	9.0	10.0	17.0	11.0	0.0	641.0	0.0	13.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	165.0	0.0	0.0	7.0	30.0	21.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	6.0	0.0	13.0	0.0	0.0	0.0	6.0	0.0	49.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	42.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	58.0	0.0	6.0	545.0	197.0	238.0	32.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	329.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	625.0	29.0	6705.0	10.0	52.0	1789.0	163.0	6515.0	15.0	7764.0	617.0	63.0	187.0	11221.0	250.0	346.0	7356.0	7.0	0.0	79.0	3575.0	491.0	1007.0	755.0	195.0	4800.0	2605.0	11368.0	136.0	1060.0	30.0	5.0	1591.0	117.0	12.0	85.0	2223.0	7014.0	8845.0	4238.0	4154.0	2223.0	7217.0	46.0	6657.0	881.0	9811.0	13622.0	13149.0	10455.0	6534.0	142.0	1448.0	10.0	826.0	36913.0	4379.0	3464.0	458.0	2552.0	121.0	264.0	1559.0	15356.0	56.0	1842.0	17855.0	60.0	13372.0	379.0	9.0	4.0	1572.0	127.0	210.0	1038.0	9110.0	6.0	14709.0	6885.0	158.0	1908.0	671.0	2332.0	36.0	113.0	1677.0	384.0	4886.0	297.0	1658.0	17244.0	32.0	0.0	116.0	21.0	103.0	4515.0	22.0	21295.0	59.0	126.0	6.0	98.0	9.0	10.0	0.0	20.0	135.0	0.0	2628.0	781.0	4.0	0.0	7180.0	1358.0	0.0	0.0	21.0	6428.0	160.0	383.0	1016.0	94.0	1601.0	1039.0	33.0	86.0	686.0	20.0	4962.0	38.0	122.0	7.0	473.0	46.0	181.0	733.0	1516.0	8.0	787.0	47.0	20.0	1630.0	2749.0	40.0	222.0	2126.0	69.0	344.0	7608.0	120.0	9.0	0.0	0.0	35.0	8.0	42.0	592.0	1400.0	47.0	5337.0	2401.0	65.0	3874.0	5028.0	0.0	289.0	8266.0	16.0	292.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	0.0	0.0	0.0	0.0	0.0	9.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	8.0	87.0	0.0	39.0	0.0	6518.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	6.0	8.0	0.0	8.0	0.0	13.0	14.0	0.0	0.0	3.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	0.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	30.0	0.0	0.0	17.0	0.0	4.0	0.0	0.0	5.0	5.0	9.0	3.0	5.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	4.0	60.0	5.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	422.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	0.0	2.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;__	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	40.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae	984.0	13.0	0.0	0.0	0.0	0.0	49.0	17.0	0.0	0.0	0.0	39.0	0.0	4.0	0.0	0.0	57.0	0.0	0.0	0.0	14.0	0.0	40.0	42.0	23.0	36.0	0.0	115.0	0.0	28.0	0.0	0.0	310.0	8.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	10.0	0.0	0.0	69.0	0.0	0.0	0.0	172.0	0.0	6.0	2.0	23.0	0.0	36.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0	8.0	20.0	40.0	5.0	0.0	2059.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	3.0	11.0	7.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	14.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0	0.0	0.0	0.0	36.0	59.0	27.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	8.0	46.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	332.0	0.0	305.0	101.0	67.0	182.0	89.0	5667.0	198.0	50.0	26.0	293.0	10.0	0.0	14.0	36.0	12042.0	83.0	0.0	58.0	0.0	59.0	59.0	21.0	624.0	1629.0	109.0	1133.0	84.0	26.0	8.0	57.0	5.0	45.0	0.0	95.0	160.0	0.0	749.0	716.0	3544.0	52.0	1728.0	0.0	31.0	12.0	736.0	1988.0	2066.0	4.0	6548.0	0.0	376.0	413.0	259.0	0.0	1146.0	146.0	26.0	268.0	95.0	2828.0	2913.0	750.0	800.0	0.0	720.0	905.0	246.0	339.0	7.0	35.0	327.0	16.0	0.0	382.0	1200.0	9.0	171.0	662.0	5555.0	12.0	631.0	1318.0	150.0	4017.0	167.0	18.0	3737.0	0.0	1595.0	6.0	74.0	0.0	313.0	0.0	4.0	0.0	0.0	45.0	351.0	38.0	278.0	0.0	213.0	75.0	0.0	20.0	16.0	62.0	374.0	615.0	0.0	23.0	226.0	213.0	0.0	308.0	586.0	69.0	0.0	0.0	494.0	42.0	340.0	0.0	92.0	0.0	41.0	106.0	416.0	20.0	51.0	3146.0	0.0	32.0	497.0	206.0	843.0	0.0	17.0	25.0	0.0	39.0	0.0	0.0	3.0	0.0	67.0	36.0	1056.0	14.0	0.0	208.0	2509.0	329.0	93.0	99.0	114.0	165.0	3.0	837.0	179.0	66.0	1090.0	30.0	47.0	19.0	1353.0	62.0	269.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis	70.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	38.0	0.0	0.0	7.0	0.0	0.0	3.0	0.0	28.0	0.0	0.0	34.0	6.0	0.0	32.0	3.0	0.0	30.0	5.0	0.0	0.0	0.0	0.0	97.0	92.0	0.0	27.0	2.0	0.0	19.0	7.0	0.0	392.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	23.0	0.0	0.0	0.0	6.0	5.0	3.0	0.0	0.0	17.0	157.0	0.0	0.0	0.0	27.0	10.0	44.0	0.0	25.0	19.0	5.0	0.0	0.0	0.0	14.0	94.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	13.0	0.0	0.0	12.0	0.0	0.0	0.0	12.0	7.0	9.0	0.0	29.0	0.0	0.0	6.0	6.0	0.0	15.0	7.0	5.0	5.0	0.0	2.0	0.0	0.0	27.0	0.0	0.0	0.0	19.0	0.0	4.0	3.0	33.0	7.0	7.0	0.0	4.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	324.0	0.0	0.0	10.0	0.0	3.0	0.0	29.0	0.0	0.0	0.0	0.0	19.0	30.0	8.0	7.0	33.0
