#OTU ID	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003686635944700461	0.0001141422212076247	0.05665003064530251	0.0	0.0005471380471380471	0.0	0.0	0.006424747174301011	0.0	0.0	0.00012826268197268004	0.0	0.0	0.0	0.0	0.0	0.0027477187150174703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004286704910798714	0.0	0.0	0.0	0.009339825975892073	0.00018617813523979745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016585666898094576	0.0012196266066235107	0.0	0.08165456267761288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005159216813972174	0.0	0.0	0.295549745579264	0.0	0.007326403926663779	0.013585789576420067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013603591348115902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01891612762950481	0.0	0.0	0.0	0.0	0.0	0.0005744079179922234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024489396091492384	0.0	0.0012734990903577926	0.001892147587511826	0.0	0.0	0.0	0.0	0.007266826583885989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018759379689844922	0.0	0.003211827682895743	0.0	0.0	0.0	0.0	0.0	0.0007441860465116279	0.0	0.0	0.0	0.009396288466055908	0.0	0.0	0.0037207414422946827
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.0	0.0	0.0	0.0	0.0002577034937230792	0.0	0.0	0.021179537308569567	0.0	0.0	0.0002775657483866491	0.002603396248742678	0.0	0.004303141711229946	0.0	0.00056777856635912	0.0044229068112764894	0.0	0.0	0.0	0.001317467063323417	0.00101010101010101	0.0013332720334697256	0.008497507714217896	0.0024191949236565535	0.0042113955408753095	0.0	0.0018277432181106907	0.0004286043981405163	0.004359673024523161	0.0015356520295509255	0.0006498781478472786	0.006775228812552003	0.0	0.0	0.0	0.0	0.0009183941222776174	0.0	0.0	0.0	0.0	0.0002978850163836759	0.0	0.0	0.00034234851078397807	0.0004412784466998676	0.0008295804693055226	0.0	0.0	0.0	0.0002978850163836759	0.0038817005545286505	0.0	0.0	0.0002555061576984005	0.0	0.0	0.0008895866038723182	0.0	0.001767139242539861	0.0	0.0	0.0	0.0	0.0016296966953372567	0.0	0.0	0.0	0.0	0.0	0.0	0.0008321198252548367	0.0	0.0	0.0	0.0	0.00039957378795950983	0.00046801141947863526	0.0007189072609633358	0.0004092870962940914	0.0	0.01802029743330241	0.0	0.00046917857658437996	0.0	0.0	0.0008474198296240132	0.0	0.0	0.0	0.0	0.006472872778627751	0.0	0.0	0.00029410528969371034	0.0012628920227320563	0.0008800234672924611	0.0	0.0	0.0013012023109353042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000552730488613752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009656948404304239	0.0	0.0	0.0	0.00033191348121922883	0.0	0.0008082566525739865	0.0	0.0	0.0	0.00030815058291818603	0.0	0.0015917359667359668	0.0	0.0	0.0	0.0	0.0024738344433872504	0.0	0.0	0.0013201320132013201	0.0	0.0	0.0	0.0005310271582460932	0.0	0.0	0.0	0.0020720946018363043	0.0	0.00037840565085771945	0.025166235685260437	0.007901175149400393	0.014882441220610306	0.0015017833677492022	0.0	0.0	0.0003112217677396408	0.0	0.0	0.0	0.0	0.007927625443014364	0.0	0.0	0.0	0.016037046063855715	0.0	0.0
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018617813523979745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045671755402376625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003058883507519755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.05623917600947954	0.0020724648038304865	0.34980175292153587	0.0004902201088288642	0.001840739240879137	0.0876574060463521	0.012675946807683334	0.26535516454871294	0.0008518371287409847	0.298443205842783	0.04246755950315731	0.003727590083427016	0.01217923668099518	0.4687917780748663	0.011177680407761782	0.016370948663354624	0.28218145455944005	0.0003225806451612903	0.0	0.0034585412836003852	0.15193370165745856	0.020664983164983164	0.045836973012735045	0.035841443152148114	0.007733491969066032	0.1981833195706028	0.198113925013309	0.3645225421663567	0.004483861395931555	0.03397980445584228	0.0	0.0	0.062126074725623044	0.003968927032803013	0.0008330440819160013	0.00603264726756565	0.18559024878944733	0.4601154552610863	0.641639463184621	0.2054090732842187	0.3071803593877098	0.13660664905057457	0.4299672326481978	0.0031395031395031396	0.3897540983606557	0.06032180760013694	0.6184832629389144	0.8071817966342735	0.47997809819310094	0.4381076097888032	0.2607966791729863	0.00510128090557045	0.05245841035120148	0.0004385964912280702	0.04589908868637475	0.9431498799121059	0.19946251252619113	0.19556258115508385	0.023966509680795396	0.13371057319501206	0.004859632916984618	0.007768132999852876	0.06720406931632038	0.5923011648538147	0.0026268880758044846	0.08338614757808964	0.5637827597095043	0.002471576866040534	0.5874445371875412	0.02247790759741415	0.0004884137407065719	0.0001981080679510673	0.08175577283128771	0.005683598120384874	0.013861386138613862	0.04938154138915319	0.5418748512966929	0.0002663825253063399	0.6883979969111246	0.2865902651499133	0.005878851019496949	0.09073170731707317	0.018863681088527172	0.06596141879278158	0.00129926375054136	0.004411477649814562	0.07026143790849673	0.01712680076713795	0.2143264464622538	0.013668369460168438	0.06200448765893792	0.5751259046793182	0.0012553450237338668	0.0	0.0035671819262782403	0.000882315869081131	0.004335929278046727	0.18920504546787914	0.0006738544474393531	0.8634041518001946	0.003070837453807318	0.0042851312746565095	0.0002402210033230572	0.004908344185114695	0.0004152057575198376	0.0004720320981826764	0.0	0.0009742790335151987	0.0073277967757694185	0.0	0.12327032224776022	0.03844260681236464	0.00027810609747618714	0.0	0.2645736605497826	0.06000353481795687	0.0	0.0	0.0010475382850301791	0.3871589471782208	0.00945352525006099	0.01988370885681653	0.046721236089395754	0.004657615697155881	0.09435407826496936	0.05320565342072921	0.0018255241467057587	0.005615776413739062	0.04265108182044267	0.0010426985037276472	0.161760391198044	0.0018026565464895636	0.006265728519336449	0.0003428515452808934	0.01536512474012474	0.0027895694360218315	0.013172258205370789	0.0443221671302455	0.08973068955312223	0.00038058991436726926	0.057207239950570615	0.003315930577113024	0.0006286342920006286	0.04435494843397099	0.1144796568525382	0.002017552708564511	0.008420573509330906	0.11389082337815395	0.002611064860364792	0.017023803632404612	0.2718016505305277	0.006415396952686447	0.0005676084762865792	0.0	0.0	0.0014382191095547775	0.00037544584193730055	0.0018353301045118532	0.03744939271255061	0.06224435354792815	0.0019181324735746644	0.2955640471839176	0.13951191167925625	0.004031007751937985	0.18065659391904496	0.3110808637010456	0.0	0.022629394722417977	0.402924689251767	0.0007528703180877094	0.0197537545663645
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	0.0007291951508522468	0.0	0.0	0.0	7.362956963516548e-05	0.0	0.0	0.0	0.0	0.0	0.00034695718548331133	0.0	0.0	0.0	0.0	0.0	0.000730741125341333	0.0	0.0	0.0	0.0	0.0	0.00045974897705852605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001245123267203453	0.00020308692120227456	0.0009112880858988074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010720887245841036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023414634146341463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001606838705530739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003049524274213223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007503751875937969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0.0	0.0	0.0	0.0	0.0	0.0004409819197412906	0.0	0.0021586836102965136	0.0	0.0	0.0	0.0	0.0	0.00033422459893048126	0.0038898327819011	0.0	0.0014999423099111573	0.0	0.24799299927709925	0.0	0.0	0.00012626262626262626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001460120459937945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002841806125670982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005953266855186784	0.0002926829268292683	0.00022490230805993647	0.0	0.00028872527789807997	0.0	0.0005446623093681918	0.0006244146113019045	0.0	0.0	0.00011219147344801796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.145153799435533e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Lawsonella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031696976900828084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000578461933991066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|__	0.0	0.0	0.0	0.0	0.0	0.00014699397324709687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015384023691396485	0.0	0.00019023703534604117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002409735330736174	0.0013829630719435044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.286342920006286e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002858061519774213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Nesterenkonia	0.0	0.0	0.0	0.0	0.0	0.0001959919643294625	0.0	0.00024437927663734115	0.0	0.0	0.0	0.0	0.0	0.00016711229946524063	0.0	0.0	0.00019230029614245606	0.0002304147465437788	0.0003424266636228741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002423419930205506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002000882742386347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.845906398336668e-05	0.0	0.0	0.0	0.00012628920227320564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.163487441835153e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00014290307598871066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019497928345113332	0.0	0.0
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017036742574819694	0.0	0.0	0.001005857641559671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001313370107696349	0.00021249468763280918	0.0	0.0	0.0	0.0	0.00041288191577208916	0.0	0.0	0.0	0.00012822567719185767	0.002490246534406906	0.00020308692120227456	0.0024168944886881413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000177767243422612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012686598722882396	0.0	0.0	0.0	0.0119364145499802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002768278781957336	0.0	0.0	0.0	0.0	0.0	0.0	0.00030929657122658185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007647351405123104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001807802093244529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026785235977928965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035642821410705352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037306472673008767	0.0	0.0	0.0	0.0	0.0	0.00013529968881071573
d__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|__|__	0.005742411812961444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000505050505050505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005810575246949448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010377584417657858	0.0	0.0014787430683918669	0.0	0.0	0.0	0.001412043363396192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001981080679510673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002951842793286666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012811786843896385	0.0	0.0	0.0	0.0	0.0	0.0	0.00021742675436212425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000568379172061006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011630442683724649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016845144988569367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004735489108375051
d__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004072987943955686	0.0	0.0	0.0	0.00230755576593101	0.0	0.00016711229946524063	0.0	0.0	0.002192223376023999	0.0	0.0	0.0	0.0005949851253718657	0.0	0.0018389959082341042	0.0019938286256824117	0.0	0.0011973575557390585	0.0	0.002629384980439941	0.0	0.0005129027087674307	0.0	0.0	0.00792424422520702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021072088724584104	0.0	0.0	0.0	0.0	0.0	0.0003139717425431711	0.0	0.0009237318767822001	0.0	0.0	0.0	0.0	0.0004979628791308285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021144331204803993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015691812796673336	0.0	0.0	0.0	0.001178699221216586	0.00020952939697439551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005058401545111745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009990485252140819	0.0	0.0	0.00044004400440044003	0.0	0.0	0.0	0.0002655135791230466	0.0	0.0	0.0	0.0	0.0	0.0	0.0010620613224972294	0.0	0.001063031515757879	0.0	0.0	0.0	0.0003112217677396408	0.0	0.0	0.0	0.0	0.0007927625443014363	0.0	0.0	0.0	0.0018523031927857665	0.0	0.0
