#OTU ID	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88
d__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	1294.0	0.0	13.0	0.0	0.0	162.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	234.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	26.0	0.0	2586.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	10513.0	0.0	203.0	348.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	348.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	21.0	26.0	0.0	0.0	0.0	0.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	120.0	0.0	0.0	55.0
d__Bacteria;p__Actinobacteriota	2179.0	42.0	7012.0	136.0	182.0	2015.0	365.0	13346.0	250.0	7814.0	657.0	493.0	241.0	11595.0	399.0	426.0	19797.0	143.0	6532.0	196.0	3625.0	589.0	1159.0	1190.0	1575.0	6721.0	2714.0	12785.0	389.0	1512.0	392.0	145.0	2441.0	279.0	32.0	190.0	2421.0	7133.0	9596.0	5170.0	7937.0	2275.0	9120.0	117.0	6737.0	921.0	10885.0	15627.0	15857.0	10563.0	13583.0	150.0	2104.0	742.0	1161.0	36923.0	5863.0	3616.0	544.0	2880.0	437.0	3285.0	4551.0	16109.0	997.0	1955.0	18909.0	969.0	13633.0	766.0	73.0	83.0	1926.0	143.0	222.0	1534.0	10517.0	35.0	14973.0	7594.0	6005.0	2045.0	2381.0	4091.0	255.0	4640.0	1887.0	532.0	8743.0	505.0	3331.0	17984.0	541.0	72.0	573.0	152.0	298.0	4562.0	43.0	23399.0	491.0	167.0	324.0	133.0	276.0	100.0	15.0	101.0	219.0	176.0	3032.0	1420.0	41.0	96.0	7421.0	1671.0	12.0	540.0	685.0	6529.0	197.0	422.0	1615.0	330.0	2014.0	1042.0	151.0	86.0	874.0	191.0	5386.0	90.0	209.0	3226.0	522.0	96.0	738.0	1019.0	2398.0	129.0	903.0	107.0	478.0	1680.0	2765.0	99.0	468.0	2149.0	142.0	394.0	8822.0	146.0	15.0	789.0	4788.0	833.0	144.0	323.0	733.0	1601.0	88.0	6221.0	2860.0	264.0	5197.0	5058.0	111.0	446.0	10125.0	126.0	939.0
d__Bacteria;p__Bacteroidota	268.0	797.0	234.0	1891.0	269.0	1419.0	195.0	542.0	698.0	8932.0	9135.0	468.0	8066.0	6.0	3268.0	7617.0	433.0	1736.0	0.0	12774.0	650.0	8305.0	7087.0	3277.0	1911.0	11.0	1396.0	832.0	244.0	260.0	7549.0	142.0	871.0	1432.0	3797.0	2643.0	4.0	0.0	50.0	589.0	40.0	0.0	537.0	964.0	105.0	0.0	81.0	0.0	365.0	48.0	30.0	0.0	3536.0	930.0	185.0	0.0	1347.0	863.0	82.0	9331.0	3065.0	1250.0	1121.0	292.0	0.0	105.0	176.0	102.0	45.0	185.0	518.0	2475.0	5131.0	0.0	59.0	3870.0	188.0	3.0	3740.0	9629.0	355.0	11106.0	1081.0	46.0	582.0	94.0	202.0	3468.0	10.0	766.0	2713.0	422.0	2943.0	24.0	77.0	5862.0	0.0	6522.0	4573.0	229.0	389.0	27.0	1363.0	2791.0	1144.0	528.0	124.0	3425.0	1040.0	3636.0	521.0	244.0	4614.0	267.0	7768.0	2157.0	616.0	55.0	432.0	71.0	31.0	3791.0	598.0	613.0	1228.0	44.0	1463.0	183.0	233.0	410.0	589.0	814.0	224.0	8552.0	24.0	3737.0	3513.0	2282.0	2912.0	0.0	2308.0	1581.0	1469.0	557.0	3459.0	336.0	48.0	8173.0	477.0	3308.0	958.0	1370.0	115.0	37.0	880.0	22.0	28.0	1203.0	1877.0	3.0	5.0	3356.0	102.0	1984.0	205.0	11.0	2401.0	171.0	513.0	1233.0	334.0
d__Bacteria;p__Campilobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Desulfobacterota	5.0	6.0	0.0	10.0	15.0	0.0	184.0	17.0	0.0	99.0	0.0	18.0	0.0	0.0	10.0	25.0	0.0	199.0	0.0	0.0	0.0	66.0	0.0	0.0	39.0	0.0	4.0	24.0	0.0	18.0	1371.0	5.0	0.0	232.0	47.0	0.0	0.0	0.0	0.0	13.0	20.0	9.0	71.0	0.0	0.0	10.0	0.0	0.0	0.0	10.0	11.0	0.0	112.0	0.0	5.0	0.0	35.0	25.0	310.0	0.0	12.0	0.0	4.0	0.0	209.0	0.0	75.0	0.0	3.0	6.0	98.0	210.0	490.0	0.0	0.0	4.0	0.0	0.0	156.0	30.0	339.0	116.0	136.0	142.0	97.0	33.0	119.0	174.0	10.0	290.0	68.0	3.0	3.0	0.0	340.0	6.0	0.0	0.0	0.0	17.0	0.0	0.0	14.0	30.0	7.0	50.0	0.0	19.0	7.0	81.0	24.0	108.0	34.0	5.0	0.0	204.0	68.0	0.0	48.0	0.0	2.0	19.0	33.0	22.0	7.0	0.0	8.0	0.0	4.0	5.0	8.0	25.0	0.0	3.0	0.0	159.0	85.0	19.0	6.0	0.0	113.0	7.0	0.0	67.0	0.0	26.0	8.0	0.0	0.0	46.0	0.0	16.0	0.0	0.0	82.0	11.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	180.0	221.0	0.0	22.0	14.0	89.0	0.0	0.0
d__Bacteria;p__Firmicutes	7435.0	3045.0	11899.0	14350.0	25810.0	14452.0	11782.0	9769.0	9373.0	2567.0	4212.0	12867.0	6264.0	5999.0	9027.0	7563.0	5131.0	10373.0	19627.0	7177.0	14774.0	6380.0	12010.0	6109.0	15472.0	7439.0	9007.0	9455.0	6310.0	8065.0	13928.0	22173.0	10874.0	8380.0	9079.0	8366.0	9440.0	4763.0	3302.0	14519.0	4183.0	13574.0	4182.0	13543.0	3729.0	1249.0	3984.0	1240.0	10525.0	13065.0	8171.0	774.0	20961.0	21022.0	15894.0	1434.0	9229.0	12938.0	17755.0	6691.0	11457.0	27806.0	8372.0	9226.0	6049.0	19789.0	8328.0	11019.0	3696.0	15762.0	16971.0	10047.0	4006.0	649.0	14760.0	15176.0	3431.0	1242.0	1951.0	5330.0	18780.0	7174.0	17994.0	4556.0	2845.0	18199.0	20972.0	16760.0	6406.0	8460.0	17943.0	11105.0	13054.0	838.0	4653.0	4018.0	14690.0	6921.0	3075.0	895.0	17658.0	9282.0	22745.0	10984.0	20175.0	18092.0	17281.0	16910.0	16916.0	12213.0	17069.0	14382.0	9457.0	6721.0	11015.0	18454.0	10989.0	4998.0	15094.0	6618.0	16166.0	14107.0	8418.0	18114.0	13431.0	7522.0	16260.0	14967.0	14506.0	13779.0	23852.0	13778.0	18498.0	8543.0	569.0	11884.0	6780.0	12594.0	11405.0	2800.0	10185.0	12220.0	5691.0	33071.0	16578.0	17325.0	16958.0	4513.0	1876.0	16358.0	16522.0	16463.0	13074.0	11575.0	18691.0	12917.0	7751.0	17792.0	13029.0	16325.0	4110.0	8190.0	14223.0	13403.0	1940.0	11035.0	9963.0	11981.0	9378.0	17195.0	12160.0
d__Bacteria;p__Fusobacteriota	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5316.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	240.0	0.0	0.0	1772.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Patescibacteria	8.0	4.0	0.0	0.0	11.0	9.0	2.0	8.0	0.0	0.0	0.0	8.0	3.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	7.0	198.0	168.0	35.0	0.0	103.0	7.0	77.0	48.0	29.0	465.0	7.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	4.0	10.0	0.0	0.0	14.0	0.0	0.0	0.0	3.0	0.0	19.0	0.0	57.0	0.0	0.0	0.0	7.0	65.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	25.0	0.0	4.0	0.0	39.0	0.0	0.0	0.0	0.0	162.0	0.0	7.0	0.0	0.0	35.0	0.0	3.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	11.0	13.0	0.0	0.0	10.0	3.0	6.0	0.0	8.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	12.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	2.0	11.0	0.0	9.0	3.0	29.0	0.0	0.0	0.0	12.0	0.0	0.0	117.0	77.0	150.0	12.0	0.0	0.0	21.0	0.0	0.0	8.0	0.0	139.0	6.0	0.0	0.0	149.0	0.0	10.0
d__Bacteria;p__Proteobacteria	225.0	7788.0	14.0	4012.0	866.0	2511.0	158.0	835.0	7088.0	6561.0	394.0	3043.0	105.0	5481.0	9653.0	153.0	632.0	9224.0	114.0	201.0	4468.0	8350.0	1488.0	10269.0	2402.0	9973.0	28.0	6490.0	23375.0	21240.0	791.0	1968.0	10584.0	19023.0	1439.0	2891.0	105.0	16.0	832.0	341.0	10.0	177.0	221.0	10.0	6498.0	4232.0	42.0	9.0	635.0	48.0	3012.0	25927.0	310.0	95.0	197.0	781.0	1265.0	262.0	384.0	184.0	9864.0	1543.0	6835.0	232.0	211.0	171.0	821.0	12182.0	1438.0	139.0	767.0	6179.0	14.0	12783.0	106.0	429.0	156.0	5580.0	508.0	801.0	1397.0	55.0	3434.0	12335.0	22641.0	1599.0	688.0	1438.0	7257.0	11701.0	2678.0	158.0	8776.0	4309.0	6128.0	13481.0	8279.0	5823.0	794.0	121.0	513.0	19924.0	338.0	6028.0	16.0	2413.0	5802.0	68.0	239.0	119.0	651.0	4149.0	234.0	24972.0	921.0	130.0	7685.0	26068.0	3780.0	3382.0	0.0	873.0	11082.0	1096.0	50.0	10913.0	85.0	7.0	402.0	224.0	840.0	6310.0	538.0	83.0	29669.0	585.0	2569.0	620.0	158.0	18067.0	242.0	154.0	24150.0	1372.0	1202.0	1349.0	8702.0	3799.0	23931.0	101.0	1677.0	710.0	2412.0	9138.0	415.0	284.0	13373.0	38.0	169.0	4542.0	20298.0	290.0	17.0	282.0	13736.0	53.0	117.0	28.0	261.0	2698.0	1284.0
d__Bacteria;p__Synergistota	28.0	0.0	0.0	0.0	0.0	0.0	173.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	43.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	9.0	0.0	0.0	0.0	6.0	0.0	47.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	115.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	35.0	88.0	7.0	0.0	0.0	0.0	0.0	0.0	72.0	9.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	30.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
