OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
ffc36e27c82042664a16bcd4d380b286	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Escherichia-Shigella
c6fdf631c16099e62a83c66db8a7a6f1	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Subdoligranulum
38b7580c13cf081c9f279006c2dc70b9	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	 Bifidobacterium_longum
c29919216bd6a6713038fd18691cc505	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium
b6a1cfc87c3ffa7f96227d4a372d8dd7	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Subdoligranulum	 uncultured_bacterium
4516aa60a483dd8c7bbc57098c45f1a5	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Faecalibacterium
b264ac8ff5f9aff74f0b9aa084d9a9f0	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Agathobacter
dfa833b266bd2993b86feab3617b34c3	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Akkermansiaceae	 Akkermansia
df5c1ef25ab497ab767dcbb6be082f83	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Akkermansiaceae	 Akkermansia	 uncultured_bacterium
15e05255b2aa8ee3524ca61eb207bb18	Bacteria	 Actinobacteriota	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Collinsella
bbae6ed124f4d6b48435a964a95c8418	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Faecalibacterium
c728ad6f5d183cb36fa06b6a3a47758b	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Faecalibacterium
d6dffb454cbb0b0c87367b03432c2b05	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Klebsiella
