	AD	C
Clostridia	0.375781637910905	0.594494423694965
Gammaproteobacteria	0.166718093618166	0.189073891790099
Actinobacteria	0.16291149203493	0.0527063263216389
Bacteroidia	0.0907840660492194	0.0754879047017717
Bacilli	0.056331170275666	0.0293511311753319
Verrucomicrobiae	0.072374512712951	0.00621485416852277
Coriobacteriia	0.0399768080837082	0.0172235534794154
Negativicutes	0.0232578829121643	0.0306246948302764
Methanobacteria	0.00486947323971706	0.000669923607300072
Fusobacteriia	0.00267932358316867	0.00189380958851447
Desulfovibrionia	0.00274230865956584	0.00151284056408609
Saccharimonadia	0.000732132796166744	0.000628298596446855
Alphaproteobacteria	0.000381733249292162	6.32366999124131e-05
Synergistia	0.000389906089726746	4.99857882542607e-05
Lentisphaeria	3.82363498979354e-05	0
Campylobacteria	1.93130954677411e-05	0
Incertae_Sedis	1.19093392865163e-05	5.12499346563333e-06
