id	clr	W
d__Archaea;p__Euryarchaeota;c__Methanobacteria	-0.16939406526413725	1
d__Bacteria;p__Actinobacteriota;c__Actinobacteria	1.1715829295778017	10
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	0.3430862260002241	2
d__Bacteria;p__Bacteroidota;c__Bacteroidia	-0.7707351117276833	3
d__Bacteria;p__Campilobacterota;c__Campylobacteria	-0.24740343268233156	5
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	-0.2154694837223684	1
d__Bacteria;p__Firmicutes;c__Bacilli	0.6089003278408152	7
d__Bacteria;p__Firmicutes;c__Clostridia	-1.0435957183390627	10
d__Bacteria;p__Firmicutes;c__Incertae_Sedis	-0.34235997784157446	5
d__Bacteria;p__Firmicutes;c__Negativicutes	-0.38680529037846867	2
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	-0.5346155336944918	4
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	-0.32579265637049026	3
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.38057921243341175	7
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	-0.19603611321172876	1
d__Bacteria;p__Synergistota;c__Synergistia	0.09091227619281383	2
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria	-0.3104296224397807	5
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	1.9475760336270502	15
