Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	AD	AD	AD	AD	AD	C	C	C	C	C
d__Archaea;p__Euryarchaeota;c__Methanobacteria	1.0	1.0	1.0	1.0	10514.0	1.0	1.0	1.0	1.0	349.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria	1.0	133.25	1038.0	5318.0	36924.0	1.0	40.5	161.0	1039.0	8600.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	1.0	80.75	248.0	931.5	12279.0	1.0	45.0	117.0	411.0	4592.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia	1.0	82.75	528.5	2661.5	12775.0	1.0	178.0	599.0	2071.5	8553.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria	1.0	1.0	1.0	1.0	26.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	1.0	1.0	7.0	52.75	1372.0	1.0	1.0	8.0	29.0	222.0
d__Bacteria;p__Firmicutes;c__Bacilli	6.0	170.75	403.5	1080.25	19622.0	9.0	57.5	136.0	321.5	10890.0
d__Bacteria;p__Firmicutes;c__Clostridia	7.0	3343.75	6535.0	12150.75	27673.0	97.0	7905.0	12067.0	15705.0	31725.0
d__Bacteria;p__Firmicutes;c__Incertae_Sedis	1.0	1.0	1.0	1.0	16.0	1.0	1.0	1.0	1.0	6.0
d__Bacteria;p__Firmicutes;c__Negativicutes	1.0	34.5	157.5	395.75	10319.0	1.0	27.0	91.0	699.0	11604.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	1.0	1.0	1.0	1.0	5317.0	1.0	1.0	1.0	1.0	1773.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	1.0	1.0	1.0	8.0	466.0	1.0	1.0	1.0	10.0	151.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	1.0	1.0	1.0	7.0	416.0	1.0	1.0	1.0	1.0	45.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	10.0	194.25	1197.5	6472.75	25928.0	1.0	197.5	841.0	5173.0	29670.0
d__Bacteria;p__Synergistota;c__Synergistia	1.0	1.0	1.0	1.0	174.0	1.0	1.0	1.0	1.0	31.0
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria	1.0	1.0	1.0	1.0	75.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	1.0	4.0	12.0	774.75	24161.0	1.0	1.0	1.0	7.5	4573.0
