Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	AD	AD	AD	AD	AD	C	C	C	C	C
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	1.0	1.0	1.0	1.0	10514.0	1.0	1.0	1.0	1.0	349.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales	1.0	1.0	1.0	17.0	642.0	1.0	1.0	1.0	7.0	546.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales	1.0	111.5	854.5	4822.5	36914.0	1.0	21.0	121.0	1028.5	8267.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales	1.0	1.0	1.0	1.0	6519.0	1.0	1.0	1.0	1.0	3.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales	1.0	1.0	1.0	1.0	423.0	1.0	1.0	1.0	1.0	124.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	1.0	80.75	248.0	931.5	12279.0	1.0	45.0	117.0	411.0	4592.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	1.0	82.75	528.5	2661.5	12775.0	1.0	178.0	599.0	2071.5	8553.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales	1.0	1.0	1.0	1.0	26.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales	1.0	1.0	7.0	52.75	1372.0	1.0	1.0	8.0	29.0	222.0
d__Bacteria;p__Firmicutes;c__Bacilli;__	1.0	1.0	1.0	1.0	1058.0	1.0	1.0	1.0	1.0	6.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Entomoplasmatales	1.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	1.0	26.75	117.5	287.5	6917.0	1.0	30.0	53.0	112.0	1657.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	1.0	32.75	190.0	625.75	19622.0	1.0	7.5	33.0	166.5	10865.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	1.0	1.0	1.0	1.0	51.0	1.0	1.0	1.0	1.0	81.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	1.0	1.0	1.0	1.0	234.0	1.0	1.0	1.0	1.0	298.0
d__Bacteria;p__Firmicutes;c__Clostridia;__	1.0	1.0	1.0	1.0	17.0	1.0	1.0	1.0	1.0	6.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales	1.0	1.0	30.0	156.0	6246.0	1.0	1.0	14.0	107.0	804.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia	1.0	1.0	1.0	1.0	54.0	1.0	1.0	1.0	1.0	27.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG_014	1.0	1.0	1.0	1.0	1917.0	1.0	1.0	1.0	65.5	1902.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group	1.0	1.0	1.0	1.0	22.0	1.0	1.0	1.0	1.0	16.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	1.0	1.0	6.5	75.5	2103.0	1.0	6.5	37.0	152.0	14275.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales	1.0	1.0	1.0	18.5	752.0	1.0	1.0	1.0	1.0	101.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales	1.0	924.25	2090.0	3561.25	10494.0	51.0	2150.5	3120.0	4422.5	10950.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales	1.0	1.0	6.0	58.25	1164.0	1.0	11.0	60.0	119.0	1423.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales	1.0	867.25	2767.0	6803.0	24766.0	9.0	3032.5	7371.0	9778.5	26625.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales	1.0	1.0	1.0	1.0	39.0	1.0	1.0	1.0	1.0	257.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales_Tissierellales	1.0	21.0	77.0	216.25	2646.0	1.0	29.0	93.0	209.5	3808.0
d__Bacteria;p__Firmicutes;c__Incertae_Sedis;o__DTU014	1.0	1.0	1.0	1.0	16.0	1.0	1.0	1.0	1.0	6.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales	1.0	1.0	7.0	88.5	3050.0	1.0	1.0	9.0	38.5	1070.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales	1.0	5.5	54.0	273.25	10174.0	1.0	14.0	64.0	520.5	11604.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales	1.0	1.0	1.0	1.0	5317.0	1.0	1.0	1.0	1.0	1773.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	1.0	1.0	1.0	8.0	466.0	1.0	1.0	1.0	10.0	151.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	1.0	1.0	1.0	1.0	78.0	1.0	1.0	1.0	1.0	10.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	1.0	1.0	1.0	6.25	339.0	1.0	1.0	1.0	1.0	36.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	1.0	1.0	1.0	1.0	65.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	1.0	1.0	1.0	1.0	20.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__	1.0	1.0	1.0	1.0	62.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	1.0	1.0	1.0	10.25	339.0	1.0	1.0	1.0	14.5	1741.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	1.0	165.0	1048.5	6299.0	25928.0	1.0	127.5	611.0	4973.5	29670.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	1.0	1.0	3.0	9.25	719.0	1.0	1.0	1.0	4.0	62.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	1.0	1.0	1.0	1.0	224.0	1.0	1.0	1.0	6.0	544.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	1.0	1.0	1.0	1.0	42.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	1.0	1.0	1.0	4.25	364.0	1.0	1.0	1.0	1.0	23.0
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales	1.0	1.0	1.0	1.0	174.0	1.0	1.0	1.0	1.0	31.0
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales	1.0	1.0	1.0	1.0	75.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	1.0	4.0	12.0	774.75	24161.0	1.0	1.0	1.0	7.5	4573.0
