id	clr	W
d__Archaea;p__Euryarchaeota	-0.12896299291385915	1
d__Bacteria;p__Actinobacteriota	0.7712556082257578	5
d__Bacteria;p__Bacteroidota	-0.7303040393774052	2
d__Bacteria;p__Campilobacterota	-0.20697236033205346	3
d__Bacteria;p__Desulfobacterota	-0.17503841137209042	1
d__Bacteria;p__Firmicutes	-0.728113684957493	4
d__Bacteria;p__Fusobacteriota	-0.49418446134421323	2
d__Bacteria;p__Patescibacteria	-0.28536158402021194	2
d__Bacteria;p__Proteobacteria	-0.14231767325646327	1
d__Bacteria;p__Synergistota	0.13134334854309238	2
d__Bacteria;p__Verrucomicrobiota	1.98865625080494	10
