"Sample","Rank1","Phylum","Class","Order","Family","Genus","Species"
"AD01",1,1,1,1,0.988606325767934,0.915322213107283,0.155683164706955
"AD04",1,1,1,1,1,0.647466590438076,0.0256556849853498
"AD05",1,1,1,0.999321786310518,0.999321786310518,0.997547996661102,0.34974958263773
"AD07",1,1,1,1,0.998039119564684,0.93852639835286,0.0586303250159322
"AD08",1,1,1,1,1,0.98232890328756,0.0093877701284836
"AD09",1,1,1,0.999902004017835,0.999020040178353,0.851536087020432,0.0714390709980891
"AD10",1,1,1,0.999533400731005,0.998989034917179,0.977992067812427,0.118127381600435
"AD100",1,1,1,0.997515477354187,0.992220593027045,0.960329097425872,0.222181492342783
"AD101",1,1,1,1,1,0.88250326537566,0.044125163268783
"AD102",1,1,1,1,1,0.988506630789929,0.189429175475687
"AD103",1,1,1,1,1,0.976962042883908,0.370133925473597
"AD104",1,1,1,1,0.999881663806875,0.89326075380155,0.0426010295248802
"AD105",1,1,1,1,1,0.970431158004429,0.119382571316921
"AD106",1,1,1,0.999832887700535,0.999832887700535,0.995822192513369,0.48596256684492
"AD107",1,1,1,1,0.9987033890727,0.737235088974336,0.0667083966735223
"AD108",1,1,1,1,0.999006387508871,0.985758220960492,0.142938254080908
"AD109",1,1,1,0.999307718933887,0.997615476327834,0.990269605015192,0.274681743009884
"AD11",1,1,1,1,0.998663594470046,0.986635944700461,0.190875576036866
"AD110",1,1,1,0.999923905185861,0.999923905185861,0.998782482973785,0.000456568884830499
"AD111",1,1,1,1,0.999299535942562,0.956352333420891,0.0932492776464408
"AD112",1,1,1,0.999915002124947,0.999915002124947,0.989035274118147,0.0281767955801105
"AD113",1,1,1,1,0.996843434343434,0.948106060606061,0.131607744107744
"AD114",1,1,1,1,1,0.974070157693899,0.10486874166705
"AD116",1,1,1,1,1,0.781913126038452,0.222691668644671
"AD118",1,1,1,0.999682728534602,0.993813206424747,0.964267301209597,0.102201070791196
"AD119",1,1,1,1,1,0.934929810074319,0.0391412056151941
"AD12",1,1,1,1,1,0.951783405582174,0.0841128602935585
"AD120",1,1,1,0.999935868659014,0.999711408965562,0.976944782915411,0.0772782658885397
"AD121",1,1,1,1,1,0.451650126932841,0.00959414460453002
"AD122",1,1,1,0.999070363840359,0.999070363840359,0.57496393652829,0.0426991505048886
"AD123",1,1,1,0.999501950693119,0.99883788495061,0.967834315597244,0.272474474973022
"AD125",1,1,1,1,1,0.970877335499594,0.0254670999187652
"AD126",1,1,1,0.999683030230992,0.999683030230992,0.760489718293118,0.108681009548714
"AD127",1,1,1,0.999830387733641,0.999084093761661,0.988059296448319,0.0368397842531972
"AD13",1,1,1,1,1,0.888024991322457,0.147032280458174
"AD14",1,1,1,1,1,0.990489709013485,0.0874378992193045
"AD16",1,1,1,0.990733010519285,0.989898146602104,0.967022875271331,0.0455000834863917
"AD17",1,1,1,1,1,0.860994489635266,0.486486486486486
"AD18",1,1,1,1,1,0.95734494015234,0.624882118244469
"AD19",1,1,1,1,1,0.84693679720822,0.228092283830942
"AD20",1,1,1,1,1,0.948532130444428,0.25696960733565
"AD21",1,1,1,1,1,0.994960978307626,0.0849874024457691
"AD22",1,1,1,1,0.999761691986893,0.974381888591004,0.510753649091451
"AD23",1,1,1,1,1,0.981777231777232,0.0268222768222768
"AD24",1,1,1,1,1,0.975234192037471,0.334074941451991
"AD25",1,1,1,1,1,0.992879150975693,0.0362889421431017
"AD26",1,1,1,1,1,0.913824623337326,0.442413162705667
"AD27",1,1,1,1,1,1,0.0557596586868926
"AD29",1,1,1,1,0.999379448804526,0.926738455922614,0.421682788830078
"AD30",1,1,1,1,1,0.945566543747905,0.444812269527322
"AD31",1,1,1,0.997525345254251,0.995888880019159,0.93925121737048,0.0904845533647322
"AD32",1,1,1,1,1,0.109025915996425,0.00904825737265416
"AD33",1,1,1,0.998447319778189,0.996968576709797,0.984658040665434,0.14358595194085
"AD34",1,1,1,1,1,0.988026315789474,0.0199122807017544
"AD35",1,1,1,1,0.999444320960213,0.955212269393198,0.0809068681929318
"AD36",1,1,1,1,1,1,0.945781593336399
"AD37",1,1,1,0.999134554067596,0.991709938963287,0.941559624669764,0.105538853967386
"AD40",1,1,1,1,0.994128606108508,0.967820245017784,0.159430926438209
"AD41",1,1,1,0.999686028257457,0.999686028257457,0.992307692307692,0.0420722135007849
"AD47",1,1,1,0.944619092528555,0.944619092528555,0.941265849313633,0.163942156554543
"AD50",1,1,1,0.999879513233463,0.994457608739307,0.798505964094944,0.036346841238604
"AD53",1,1,1,1,1,0.964454906576431,0.0860085331764013
"AD54",1,1,1,1,0.997327355806535,0.98693852918355,0.148202431244073
"AD55",1,1,1,1,1,0.995101442567307,0.502815706240839
"AD58",1,1,1,1,1,0.98006379585327,0.0138849798292523
"AD59",1,1,1,1,1,0.972430964237211,0.0499773653236759
"AD60",1,1,1,1,0.999052731291443,0.966024628986422,0.0809598989580044
"AD61",1,1,1,1,1,0.990566814961279,0.0158180919426594
"AD62",1,1,1,1,0.99969248341607,0.924658436937135,0.609893247814436
"AD63",1,1,1,1,1,0.985232192633889,0.0624518118735544
"AD64",1,1,1,1,1,0.950995821349107,0.0244749552287404
"AD65",1,1,1,0.999653310881086,0.996780743895795,0.976375612896835,0.331137635580209
"AD66",1,1,1,1,1,0.982161431246099,0.0888287913459538
"AD67",1,1,1,1,1,0.768941597672858,0.00241664801969121
"AD68",1,1,1,0.996237623762376,0.996237623762376,0.995775577557756,0.115181518151815
"AD69",1,1,1,1,1,0.949286393910561,0.103710751665081
"AD70",1,1,1,0.999405186771354,0.999107780157031,0.944147037830121,0.101237211515584
"AD71",1,1,1,1,1,0.8571301722607,0.00337417865388031
"AD74",1,1,1,1,1,0.992277811578603,0.107361819628399
"AD75",1,1,1,1,1,0.994079587262655,0.335264515583372
"AD76",1,1,1,0.999702336657241,0.999702336657241,0.943667212382795,0.0246316416133353
"AD77",1,1,1,1,1,0.94790243902439,0.457463414634146
"AD78",1,1,1,1,0.995586292204324,0.952826740884428,0.117539568749824
"AD79",1,1,1,1,0.999038298353793,0.795044407987781,0.0355263902245856
"AD80",1,1,1,0.999530821423416,0.995633030171792,0.753464703334777,0.022628843655262
"AD83",1,1,1,1,0.995432363849307,0.986882685926215,0.106500097599063
"AD84",1,1,1,1,0.999455337690632,0.699765376235964,0.0837523043405396
"AD85",1,1,1,1,0.997056331118148,0.892868293118059,0.13848624057803
"AD86",1,1,1,1,1,0.970127648374786,0.0383822432776242
"AD88",1,1,1,1,0.998757420958166,0.866215656495927,0.155460444567168
"AD89",1,1,1,1,0.999700822737472,0.913163799551234,0.0912864622288706
"AD90",1,1,1,0.999466364273088,0.999466364273088,0.967848447453557,0.630023680085382
"AD91",1,1,1,0.999607704680083,0.999607704680083,0.954022988505747,0.0767721941077243
"AD92",1,1,1,0.999220189990075,0.999220189990075,0.998121366794272,0.02190557209698
"AD93",1,1,1,0.99685059613716,0.996593501944275,0.977407847800238,0.0280554037985667
"AD94",1,1,1,1,1,0.740599134490147,0.0811310449140792
"AD96",1,1,1,0.999873710797727,0.999873710797727,0.981056619659019,0.0135971374447485
"AD97",1,1,1,0.995097012110799,0.995097012110799,0.994091271005322,0.288605791392532
"AD98",1,1,1,0.996355060034305,0.996355060034305,0.986124724332271,0.032835089438863
"AD99",1,1,1,1,1,1,0.634203697697048
"C01",1,1,1,1,1,0.955030448134076,0.091292354135221
"C02",1,1,1,1,1,0.996871173989933,0.0023126105291797
"C03",1,1,1,1,0.99871882131561,0.964607438843736,0.116146855106698
"C05",1,1,1,1,1,0.869327857357508,0.150305519382951
