id	Group	shannon
#q2:types	categorical	numeric
AD01	AD	5.85536103551734
AD04	AD	4.15918640370686
AD05	AD	2.23209759730413
AD07	AD	4.88055760498657
AD08	AD	2.12596309369035
AD09	AD	5.86624487132834
AD10	AD	4.94550861103438
AD100	AD	4.44739727975809
AD101	AD	3.92318771478689
AD102	AD	3.56052108595558
AD103	AD	3.63265027680165
AD104	AD	4.97547561995008
AD105	AD	5.15434411739094
AD106	AD	3.05952208842439
AD107	AD	5.47964197890565
AD108	AD	4.36771968799332
AD109	AD	3.15707889177773
AD11	AD	4.14786527987615
AD110	AD	0.909866911014097
AD111	AD	4.84668099047276
AD112	AD	4.2503236985708
AD113	AD	5.17276170563916
AD114	AD	5.52830433199206
AD116	AD	5.63948597188935
AD118	AD	5.85261907474207
AD119	AD	4.15840534720959
AD12	AD	4.40451029315679
AD120	AD	4.27375503416177
AD121	AD	4.70925269990955
AD122	AD	4.03732699614927
AD123	AD	4.5994846899982
AD125	AD	3.70559958193493
AD126	AD	5.20700360538737
AD127	AD	3.18139444360416
AD13	AD	5.11023891246672
AD14	AD	4.67224720509671
AD16	AD	3.55932682498933
AD17	AD	2.6997091739272
AD18	AD	3.58579136868497
AD19	AD	4.78404016773413
AD20	AD	4.08994527311379
AD21	AD	1.35924340688473
AD22	AD	3.46941069212736
AD23	AD	3.90234589353403
AD24	AD	3.21024710534459
AD25	AD	2.03876261489007
AD26	AD	3.95125401485845
AD27	AD	2.73420152233797
AD29	AD	4.62711277462301
AD30	AD	4.24080127240174
AD31	AD	4.01126417809986
AD32	AD	2.42774812346551
AD33	AD	4.87764688429983
AD34	AD	3.57674631385811
AD35	AD	4.38621577382266
AD36	AD	1.42226553319505
AD37	AD	4.90296659002645
AD40	AD	4.1956984773306
AD41	AD	4.30415516429644
AD47	AD	3.89683177323825
AD50	AD	5.85353828360398
AD53	AD	4.19125801726189
AD54	AD	4.77486860707134
AD55	AD	3.13889991881705
AD58	AD	3.1346521799618
AD59	AD	4.29618044104842
AD60	AD	3.40125925036931
AD61	AD	3.07576286965706
AD62	AD	2.89109043333825
AD63	AD	5.2698070631824
AD64	AD	5.05404105740995
AD65	AD	4.77965078397381
AD66	AD	3.92429050057728
AD67	AD	2.18147166175718
AD68	AD	1.84415348387226
AD69	AD	5.92446981879889
AD70	AD	3.40456086906523
AD71	AD	1.62957902180315
AD74	AD	2.95752807896054
AD75	AD	5.20112249185522
AD76	AD	3.75355326844215
AD77	AD	4.29271180902998
AD78	AD	4.66876200390632
AD79	AD	3.76460957420781
AD80	AD	3.34161274207937
AD83	AD	3.4095122054095
AD84	AD	3.86444242093168
AD85	AD	5.3764275340792
AD86	AD	3.53475211841966
AD88	AD	4.41484941988649
AD89	AD	3.58202738067185
AD90	AD	3.56452578046912
AD91	AD	4.0714459907847
AD92	AD	1.13716487694548
AD93	AD	2.87712438877962
AD94	AD	4.67237695884497
AD96	AD	3.19125727052969
AD97	AD	3.40792195281325
AD98	AD	2.40292947032288
AD99	AD	2.18384079977875
C01	C	4.6665991918447
C02	C	2.78091627250012
C03	C	5.6515117187431
C05	C	3.58776483559678
C07	C	3.44894036155099
C08	C	4.7912805097376
C09	C	4.0873925032072
C10	C	5.26768997684394
C11	C	4.57819987104128
C12	C	5.38591037463139
C13	C	4.86425153169678
C15	C	4.49046928199382
C16	C	5.07368233094474
C17	C	2.72482639234091
C18	C	4.57931154003729
C19	C	4.87479470767326
C20	C	4.23917639650954
C21	C	2.3777657263507
C22	C	5.14245530654993
C23	C	3.5608074150478
C24	C	3.82417570358531
C25	C	4.79990601824387
C26	C	4.12583411721452
C27	C	4.99404500802528
C28	C	4.39632274733221
C29	C	3.87960559461966
C30	C	5.15918928762097
C31	C	4.23794224052107
C32	C	4.8772904961082
C33	C	4.59674290233164
C34	C	2.4153538164846
C35	C	4.91313244997768
C36	C	3.04921391202294
C39	C	4.25619679660627
C40	C	1.96891365191509
C42	C	6.03967770445797
C43	C	6.37998819054534
C44	C	5.45232866023366
C46	C	5.05217930793764
C49	C	2.51671362506868
C50	C	5.99653749553302
C51	C	5.45314634194222
C52	C	2.96385797762896
C54	C	3.60134725099988
C55	C	4.71831418662946
C57	C	4.87989261114972
C58	C	4.35353681686947
C59	C	4.04486183984619
C60	C	1.62535225242307
C61	C	5.35285179516525
C62	C	4.47963268507423
C63	C	4.01178591015766
C64	C	3.34737966444906
C71	C	3.88746245719463
C72	C	6.19733095124245
C73	C	5.31677891794482
C74	C	2.74117213989701
C75	C	5.49266561638525
C76	C	4.33885377337904
C77	C	2.85013520650764
C78	C	2.94888498270225
C79	C	4.70157640783091
C80	C	4.18224633778937
C81	C	5.62590060732032
C82	C	2.81488018070598
C83	C	1.83839837879721
C84	C	5.87004138900231
C85	C	4.66398153524322
C86	C	4.49395845521272
C87	C	5.09926720907119
C88	C	5.71209668694844
