	SubjectID1	SubjectID2	Group1	Group2	Distance
0	AD04	AD01	AD	AD	0.41672818494112757
1	AD05	AD01	AD	AD	0.43132712368274295
2	AD05	AD04	AD	AD	0.5659581515509292
3	AD07	AD01	AD	AD	0.3601390036666783
4	AD07	AD04	AD	AD	0.4122840014023731
5	AD07	AD05	AD	AD	0.31889688722192905
6	AD08	AD01	AD	AD	0.5150798025723912
7	AD08	AD04	AD	AD	0.6406396695674161
8	AD08	AD05	AD	AD	0.42109724585538943
9	AD08	AD07	AD	AD	0.3210525014634806
10	AD09	AD01	AD	AD	0.23828630599542835
11	AD09	AD04	AD	AD	0.3773900480944465
12	AD09	AD05	AD	AD	0.391801069163375
13	AD09	AD07	AD	AD	0.2719676677374322
14	AD09	AD08	AD	AD	0.5022855619975486
15	AD10	AD01	AD	AD	0.31987472952713336
16	AD10	AD04	AD	AD	0.5377254192734043
17	AD10	AD05	AD	AD	0.34618729331276704
18	AD10	AD07	AD	AD	0.22439820844957253
19	AD10	AD08	AD	AD	0.3018038533435428
20	AD10	AD09	AD	AD	0.3322549945531252
21	AD100	AD01	AD	AD	0.43225777556465045
22	AD100	AD04	AD	AD	0.47127090851731773
23	AD100	AD05	AD	AD	0.46076783229320456
24	AD100	AD07	AD	AD	0.582930829414482
25	AD100	AD08	AD	AD	0.7245839750300743
26	AD100	AD09	AD	AD	0.4619717625948676
27	AD100	AD10	AD	AD	0.5934572447959806
28	AD101	AD01	AD	AD	0.4459018413342798
29	AD101	AD04	AD	AD	0.2880840617747401
30	AD101	AD05	AD	AD	0.5727184204261094
31	AD101	AD07	AD	AD	0.44924361951299163
32	AD101	AD08	AD	AD	0.6665771132234801
33	AD101	AD09	AD	AD	0.3715490945430076
34	AD101	AD10	AD	AD	0.5250954459545258
35	AD101	AD100	AD	AD	0.47594789703808477
36	AD102	AD01	AD	AD	0.6138881813145781
37	AD102	AD04	AD	AD	0.4365156749676032
38	AD102	AD05	AD	AD	0.5604352840387393
39	AD102	AD07	AD	AD	0.5646603174810185
40	AD102	AD08	AD	AD	0.8159509111489001
41	AD102	AD09	AD	AD	0.5158438719805171
42	AD102	AD10	AD	AD	0.7175364595599145
43	AD102	AD100	AD	AD	0.47624932509741325
44	AD102	AD101	AD	AD	0.45050137541553503
45	AD103	AD01	AD	AD	0.67447526104368
46	AD103	AD04	AD	AD	0.5812554558942468
47	AD103	AD05	AD	AD	0.7681251231170059
48	AD103	AD07	AD	AD	0.6645993637314694
49	AD103	AD08	AD	AD	0.8542065318214171
50	AD103	AD09	AD	AD	0.5972805547002527
51	AD103	AD10	AD	AD	0.7373638766258712
52	AD103	AD100	AD	AD	0.6893882264111196
53	AD103	AD101	AD	AD	0.5824063774243743
54	AD103	AD102	AD	AD	0.377496701786881
55	AD104	AD01	AD	AD	0.2696481080130788
56	AD104	AD04	AD	AD	0.4093510856484546
57	AD104	AD05	AD	AD	0.38393401310179726
58	AD104	AD07	AD	AD	0.2182877781112798
59	AD104	AD08	AD	AD	0.41589564158512005
60	AD104	AD09	AD	AD	0.22811389046069394
61	AD104	AD10	AD	AD	0.26495488922355076
62	AD104	AD100	AD	AD	0.49778107532357374
63	AD104	AD101	AD	AD	0.34857832150626616
64	AD104	AD102	AD	AD	0.5902233341697083
65	AD104	AD103	AD	AD	0.6839003418521656
66	AD105	AD01	AD	AD	0.5421193316836463
67	AD105	AD04	AD	AD	0.4993386206194617
68	AD105	AD05	AD	AD	0.7027667895949604
69	AD105	AD07	AD	AD	0.568797648389246
70	AD105	AD08	AD	AD	0.7740187971913818
71	AD105	AD09	AD	AD	0.5103989346068711
72	AD105	AD10	AD	AD	0.6349123592119073
73	AD105	AD100	AD	AD	0.6393320710889074
74	AD105	AD101	AD	AD	0.47665391687738634
75	AD105	AD102	AD	AD	0.40421107310454135
76	AD105	AD103	AD	AD	0.2608564032483917
77	AD105	AD104	AD	AD	0.5542027930491762
78	AD106	AD01	AD	AD	0.5034740257160575
79	AD106	AD04	AD	AD	0.4056769137520673
80	AD106	AD05	AD	AD	0.44743831405363865
81	AD106	AD07	AD	AD	0.5774853750159558
82	AD106	AD08	AD	AD	0.7611442042012109
83	AD106	AD09	AD	AD	0.4649179437682459
84	AD106	AD10	AD	AD	0.6350550901236989
85	AD106	AD100	AD	AD	0.3826367109291665
86	AD106	AD101	AD	AD	0.3549588794516378
87	AD106	AD102	AD	AD	0.3522194434727382
88	AD106	AD103	AD	AD	0.648909604313778
89	AD106	AD104	AD	AD	0.4930897704672224
90	AD106	AD105	AD	AD	0.567634858702818
91	AD107	AD01	AD	AD	0.36799512207808854
92	AD107	AD04	AD	AD	0.21984929773810857
93	AD107	AD05	AD	AD	0.4872248033855093
94	AD107	AD07	AD	AD	0.294897043989504
95	AD107	AD08	AD	AD	0.5621140990812921
96	AD107	AD09	AD	AD	0.2884951566159232
97	AD107	AD10	AD	AD	0.4339925559301005
98	AD107	AD100	AD	AD	0.45478109483038975
99	AD107	AD101	AD	AD	0.28401988621105684
100	AD107	AD102	AD	AD	0.3862073009475944
101	AD107	AD103	AD	AD	0.5208907040943982
102	AD107	AD104	AD	AD	0.3163845554217347
103	AD107	AD105	AD	AD	0.42625947862255165
104	AD107	AD106	AD	AD	0.4434261465991996
105	AD108	AD01	AD	AD	0.42376197230294443
106	AD108	AD04	AD	AD	0.39682730493616697
107	AD108	AD05	AD	AD	0.5468498657535837
108	AD108	AD07	AD	AD	0.4025327629652765
109	AD108	AD08	AD	AD	0.5871023595478562
110	AD108	AD09	AD	AD	0.42318793046373754
111	AD108	AD10	AD	AD	0.48271650011066497
112	AD108	AD100	AD	AD	0.6204580862213146
113	AD108	AD101	AD	AD	0.5549631526490573
114	AD108	AD102	AD	AD	0.48711692073885376
115	AD108	AD103	AD	AD	0.5305914474406627
116	AD108	AD104	AD	AD	0.4183160885730909
117	AD108	AD105	AD	AD	0.4158446275075768
118	AD108	AD106	AD	AD	0.6451951561176426
119	AD108	AD107	AD	AD	0.3460089228423235
120	AD109	AD01	AD	AD	0.6493672250901298
121	AD109	AD04	AD	AD	0.6398126075404137
122	AD109	AD05	AD	AD	0.6135495190839095
123	AD109	AD07	AD	AD	0.7856053265314428
124	AD109	AD08	AD	AD	0.9124168408366784
125	AD109	AD09	AD	AD	0.6671822395477468
126	AD109	AD10	AD	AD	0.7862101770730379
127	AD109	AD100	AD	AD	0.29283074100903317
128	AD109	AD101	AD	AD	0.6196219060297854
129	AD109	AD102	AD	AD	0.53748968507335
130	AD109	AD103	AD	AD	0.7654989335906506
131	AD109	AD104	AD	AD	0.7071346509544756
132	AD109	AD105	AD	AD	0.7728120546066909
133	AD109	AD106	AD	AD	0.4729173108281401
