""	"Bifidobacterium"	"Subdoligranulum"	"Faecalibacterium"	"Escherichia_Shigella"	"Bacteroides"	"Akkermansia"	"Agathobacter"	"Blautia"	"Klebsiella"	"Collinsella"	"Lactobacillus"	"coprostanoligenes_group"	"Clostridium_sensu_stricto_1"	"Roseburia"	"Prevotella"	"CAG_352"	"Enterobacter"	"Streptococcus"	"Dialister"	"Christensenellaceae_R_7_group"	"Alistipes"	"torques_group"	"Lachnoclostridium"	"Parabacteroides"	"UCG_002"	"gnavus_group"	"Romboutsia"	"Veillonella"	"Coprococcus"	"Erysipelatoclostridium"	"Enterococcus"	"Monoglobus"	"UBA1819"	"Ruminococcus"	"Clostridia_UCG_014"	"Lachnospiraceae_NK4A136_group"	"Megasphaera"	"Butyricicoccus"	"Fusicatenibacter"	"Anaerostipes"	"Methanobrevibacter"	"UCG_005"	"Dorea"	"Phascolarctobacterium"	"Erysipelotrichaceae_UCG_003"	"Incertae_Sedis"	"Eisenbergiella"	"eligens_group"	"hallii_group"	"Flavonifractor"
"Bifidobacterium"	0	0.00984635520818828	0.000233595339210533	0.766116878508498	0.245036474544141	0.928749634255746	0.00101312403516402	0.292168533032025	0.156978873298946	0.000375949442400544	0.00127936892446553	0.229433193312897	0.0156063255241109	0.00650378740503146	0.00613888478277662	0.0148986683299302	0.00120713150274043	0.288237944988289	0.386871142983475	0.272693444418658	0.0434102585319981	0.339849985498977	0.751961852715537	0.0104900341001512	0.0379897174941514	0.00780832845012741	0.396907969399063	0.697344642772832	0.000248318148607528	0.000249853907244195	0.00852263132323572	0.0110940760582519	0.0604499202270564	0.0307971479602789	5.09367890446591e-06	8.23087478837208e-06	0.0694905835142274	0.0816305423224128	0.404007829708903	0.512589206806885	0.302531687268867	0.00528150467576608	0.081108143373423	0.524952472804395	0.0193156697177217	0.0014398685465492	0.00780956012726573	0.0114377893959389	0.825132934455355	0.0457616095989985
"Subdoligranulum"	0.00984635520818828	0	4.86598973062453e-06	0.74468017084819	0.0400172222502676	0.672527267664941	1.50420449143264e-08	7.21401047969281e-06	0.393429475078353	0.0114786079296462	0.479735769212275	4.96269584223165e-07	0.195706612557983	4.23668751331912e-10	0.00025586281557961	0.0712218033439392	0.115208183313869	0.387611067740115	0.232512663715903	4.75624155476262e-06	0.000120865575712362	0.00020814259107446	0.0185698936416193	0.00975998178081645	3.49347810785558e-09	1.99057318509123e-05	0.960731159257798	0.436193368527817	2.72883347654587e-18	3.65112651757037e-06	3.35804946659951e-05	1.24990237628427e-07	0.516712427335793	2.23650967947232e-09	6.34565045326956e-07	1.12894318015154e-11	0.508272553376479	0.0126122330779648	1.27998999690872e-08	0.118525447640293	0.4383290513534	5.99000131673898e-06	7.29488494727067e-15	0.847714542852056	8.08148638187248e-08	0.729446053702975	0.0255723526097326	0.00472978746164818	0.0182477165966297	0.0308443394655574
"Faecalibacterium"	0.000233595339210533	4.86598973062453e-06	0	0.0016750970384706	4.74850565533016e-06	0.000157130803876932	1.63831882078005e-14	0.0497214334123506	0.0866688470441876	0.44637888030027	0.0803959957394088	2.61322208614784e-08	0.142902304271673	1.33529384106938e-21	6.34148606334265e-06	0.0160968143522012	0.145230531557084	0.170365443538308	0.000109678147545769	0.00435237458328629	0.00049434827408141	0.000467950755851766	0.75492320563069	0.00120918114927059	1.96942526459229e-11	1.41039773965977e-07	0.0629728441691387	0.0372765394059377	3.08505963468851e-17	5.72716111748727e-09	6.47740042782675e-13	5.1925114496516e-09	0.545639364269921	4.17341134384934e-09	9.4208637898389e-09	5.65958886541747e-23	0.940647630939559	2.5861253264761e-14	4.15465822486258e-18	1.80870865003683e-06	0.482031812968185	3.90580801056619e-07	2.03285644084194e-12	0.00351369249554024	3.87898878821902e-08	0.618451278156448	0.101932137136366	8.20595162917885e-10	0.0295887572326627	0.153364147411077
"Escherichia_Shigella"	0.766116878508498	0.74468017084819	0.0016750970384706	0	0.338109458293758	0.941846886475283	0.460044740372923	0.430640219060976	0.949650512841984	0.916263057091447	0.570026465950387	0.266060062911381	0.538634838746976	0.0728644478041981	0.155493444364346	0.610643433632386	0.647683448063965	0.779472759455931	0.484453835965949	0.475059457579656	0.587506421352625	0.535713056151864	0.0243472377859798	0.505924678157217	0.529700716774812	0.0155034071099715	0.50697928505711	0.449187612147846	0.288563194354504	0.0822437028944021	0.71514222075795	0.146452062739251	0.904395377729324	0.158792934828582	0.341121797505449	0.0115747433272627	0.201192320096402	0.363375601492268	0.054105840954095	0.0290246436913609	0.747350054084854	0.517270736500296	0.21899041174113	0.447513430852087	0.0368199147109585	0.483324015279071	0.129518110895611	0.146769833512187	0.497110887608551	0.214010661403283
"Bacteroides"	0.245036474544141	0.0400172222502676	4.74850565533016e-06	0.338109458293758	0	0.0708458740864715	0.130235857130037	0.699995885288038	0.819471760111532	0.531594212895802	0.135663902622429	0.00284303650369066	0.805598573789065	0.000297481446737592	0.14002629106159	0.996207454781632	0.0292638460359494	0.256273889386401	0.0168391436817542	0.116749788448523	4.54359872355112e-16	0.0033141298545901	0.000298198089895341	3.12642911804338e-22	0.00700807554848044	0.0982238099273392	0.277016261334662	0.115370137336036	0.0386544051709867	0.608310776689257	0.031732443855478	0.22681518246446	8.79717225938245e-06	0.0265743279850385	0.33360737974936	0.00149967053630917	0.272532862951358	0.0535118853071257	0.0561037823836572	0.431658927594488	0.896313926119752	0.000268126967577189	0.29847766042651	6.08535373725499e-05	0.873492779898746	3.98337894169491e-07	0.00154148039063518	0.00178362945231877	0.778040816867006	8.18559654004797e-13
"Akkermansia"	0.928749634255746	0.672527267664941	0.000157130803876932	0.941846886475283	0.0708458740864715	0	0.0242833945656947	0.874038732129248	0.941705934272154	0.814056574609951	0.554989136079956	0.0633207617121659	0.029803851744714	0.202674707799448	0.185206273599206	0.562364686405795	0.269105385936618	0.0765502478904446	0.783052416846279	0.027684561839304	0.114024258087875	0.339480770326196	0.357417908959395	0.687874628002137	0.659519310944955	0.541733496940837	0.0708087724758691	0.00162773529247528	0.416216604698129	0.000204219180854009	0.0154892983687311	0.134683388344868	1.11702680731017e-05	0.666393769568024	0.837065198165772	0.147030483333578	0.0673077496702295	0.00393263724353573	0.0095961037648076	0.381153751257162	0.334344295711499	0.376600973364234	0.263194520952689	0.177470695148989	0.0128093600688044	0.00139932581449641	0.0473670050517415	0.18778916456332	0.39731169640627	0.143919843926868
"Agathobacter"	0.00101312403516402	1.50420449143264e-08	1.63831882078005e-14	0.460044740372923	0.130235857130037	0.0242833945656947	0	0.000929741502524381	0.0606221698027116	0.420340175440185	0.736047203350577	5.14919217031808e-09	0.000776083511007849	3.30617187719707e-14	1.51637152744956e-05	8.52607015426166e-05	0.0907424215793221	0.533251566763022	0.000178427206581829	0.00091731151032679	0.00185760797712797	0.0681978077053657	0.110973035048976	0.0357271383642749	3.62012465578575e-13	2.59900202463218e-06	0.0167762569859786	0.276267338540295	1.9480543424656e-18	3.06183073970076e-07	1.01254331976728e-06	1.87502739019419e-10	0.52442111709916	2.04506001551551e-11	6.24755309587261e-09	5.12861830410775e-14	0.334508616019173	1.14155277730365e-07	3.13547756310451e-13	1.48711519364121e-05	0.850109154634334	3.30681511569247e-05	3.53870193499736e-16	0.378553291924232	1.24169169053975e-08	0.163356031212771	0.0516346816288294	1.18750914034868e-05	0.0127099572913628	0.273188871699166
"Blautia"	0.292168533032025	7.21401047969281e-06	0.0497214334123506	0.430640219060976	0.699995885288038	0.874038732129248	0.000929741502524381	0	0.0365413096083641	7.23927209346421e-05	0.01000735611674	6.01085037274392e-05	0.533616695965165	0.00194890725058937	0.177533764893549	0.0489924687073531	0.89001171226618	0.897749343497842	0.143420843699019	0.00132167804503062	0.224957271080189	0.00143983305292155	0.130323141176477	0.79965247288206	0.00226267817128422	0.395616925007979	0.0858026512998652	0.268672225077598	0.00050879330494336	0.36011203539586	0.0658244171711745	5.32081510935701e-05	0.0170283034403917	0.00230090954763655	0.125253396379102	0.00274255549885229	0.189637764888714	0.000110239028884763	0.00030912234462518	3.06476262342511e-06	0.570935431624174	0.0760414015878921	1.00519333789557e-06	0.463125071630558	0.00840100514824546	0.00748052829567892	0.70199423124797	0.221965071880678	4.81500467767684e-05	0.525438561522091
"Klebsiella"	0.156978873298946	0.393429475078353	0.0866688470441876	0.949650512841984	0.819471760111532	0.941705934272154	0.0606221698027116	0.0365413096083641	0	0.0267714041836507	0.737653815483185	0.00225063692680328	0.434982657286897	0.0549465723512395	0.170378512849415	0.804974454025122	7.09322145968515e-05	0.261024527360602	0.482543299580944	0.00722529693941065	0.596902008882708	0.377510720585276	0.394610318633035	0.983925429820487	0.0326804635257668	0.131110085195405	0.490997917868646	0.183415944738076	0.0222613981880367	0.157029515640016	0.0069071499952759	0.913920835526303	0.891674926417575	0.0921135519016111	0.0506044795948042	0.706900870562773	0.508271889245644	0.329763294187322	0.00136085435591595	0.0479017496246248	0.449657211035568	0.0188702418742761	0.033579845496468	0.150208762482811	0.456294410219608	0.0672125631881277	0.338302839848689	0.0832442072878565	0.64954210934725	0.488466395644005
"Collinsella"	0.000375949442400544	0.0114786079296462	0.44637888030027	0.916263057091447	0.531594212895802	0.814056574609951	0.420340175440185	7.23927209346421e-05	0.0267714041836507	0	0.456808991556859	0.00575109015431871	0.644559288601181	0.226260486734465	0.0351131801669267	0.330904471715701	0.372749961579367	0.19040242109384	0.033766833668704	0.00126556744714455	0.240377464118377	0.0613514318693581	0.130225820116484	0.972053626382691	0.00740673406649406	0.910263738190263	0.361433180968151	0.300168164874829	0.352059847390855	0.586840205975661	0.0954822813109549	0.0890319664409347	0.0103841220793969	0.35683302022365	0.394488245642132	0.760476004124433	0.797842027761968	0.63210228274102	0.367455229941114	0.0733527974796031	0.0676961953050421	0.0847789287546758	0.000923184148405261	0.219988132825503	0.434561194832154	0.211768283659212	0.990926506463517	0.906174935516066	0.112342657598447	0.0459733360022888
