""	"Bifidobacterium"	"Subdoligranulum"	"Faecalibacterium"	"Escherichia_Shigella"	"Bacteroides"	"Akkermansia"	"Agathobacter"	"Blautia"	"Klebsiella"	"Collinsella"	"Lactobacillus"	"coprostanoligenes_group"	"Clostridium_sensu_stricto_1"	"Roseburia"	"Prevotella"	"CAG_352"	"Enterobacter"	"Streptococcus"	"Dialister"	"Christensenellaceae_R_7_group"	"Alistipes"	"torques_group"	"Lachnoclostridium"	"Parabacteroides"	"UCG_002"	"gnavus_group"	"Romboutsia"	"Veillonella"	"Coprococcus"	"Erysipelatoclostridium"	"Enterococcus"	"Monoglobus"	"UBA1819"	"Ruminococcus"	"Clostridia_UCG_014"	"Lachnospiraceae_NK4A136_group"	"Megasphaera"	"Butyricicoccus"	"Fusicatenibacter"	"Anaerostipes"	"Methanobrevibacter"	"UCG_005"	"Dorea"	"Phascolarctobacterium"	"Erysipelotrichaceae_UCG_003"	"Incertae_Sedis"	"Eisenbergiella"	"eligens_group"	"hallii_group"	"Flavonifractor"
"Bifidobacterium"	1	-0.196895720545353	-0.27786279294922	-0.0229122472685189	-0.0893753414783589	0.00688841661647759	-0.249202566607044	0.0810154273410413	-0.10870745032689	0.26891118208149	0.244331454067458	-0.0923864157865061	-0.184669887373663	-0.207352517275751	-0.208770675413722	-0.185933488693874	-0.245553758433168	0.0816760824907965	-0.0665864753461541	-0.0843496740586061	-0.154657241201696	-0.0734295001901805	0.0243441933906088	-0.195254900570887	-0.158832845312821	0.202803219130609	-0.065192880958281	0.029953515971748	-0.276729971087219	0.276615425950287	0.200591814177727	-0.193793966107843	0.143883172186416	-0.165230168552433	-0.340782200987783	-0.333620936469863	0.139157588224922	-0.13354313425896	-0.0642197735061309	0.0504125823387284	-0.0793014332690011	-0.212424496325027	-0.133770347936103	-0.048945328636879	-0.178764684974643	0.241827161626391	0.202799254016969	-0.192993654041767	0.0170199258878092	0.152980865987782
"Subdoligranulum"	-0.196895720545353	1	0.341455425712093	-0.025084051342097	0.157215675726243	-0.0325535016117258	0.4161658938345	0.335606575082531	-0.0656734395691842	0.192900021619481	-0.0544038004826931	0.373233632349961	0.0994294373220091	0.454546444574849	0.276173449867387	0.138310592172893	0.12090372117206	-0.0664829999198865	0.091781019732669	0.341790676742002	0.289778205863483	0.27998789369605	-0.179867590145479	0.197123056556298	0.432445081335858	-0.319954592471605	0.00379298380350612	-0.0599299058649218	0.602735114691114	-0.345648580970611	-0.311538932267	0.390900084415697	0.0499212488826924	0.437250950681482	0.36997161941824	0.489183234725043	0.0509291586927492	0.190409871165469	0.41800876182438	0.119820471935476	0.0596518266056752	0.33838322972129	0.549279200751954	0.014793005546048	0.396278134192098	-0.0266394622367456	-0.170731341526292	0.215067841836426	0.180355966444872	-0.165184234154634
"Faecalibacterium"	-0.27786279294922	0.341455425712093	1	-0.238583116035344	0.341814584044034	-0.285096589902979	0.543211457397281	0.150313639412652	-0.131409633737519	-0.0586105531248349	-0.134081995692519	0.409774646410908	0.112505739540692	0.646330960058188	0.337534537445798	0.183823071569517	0.111858522246474	-0.10532598769949	0.29149069239322	0.217040415767957	0.263618052346083	0.26468772126679	-0.0240439436387598	0.245518164916079	0.484111969675356	-0.389393114637735	0.142509228724507	0.159418998812786	0.587320027330664	-0.427029165019085	-0.513991978420976	0.428110508425719	-0.0465287663721809	0.430507625242955	0.421478036907847	0.662542247250021	-0.00573580834385394	0.539733343932001	0.600121837906373	0.355655370685424	-0.0541202240777165	0.376377611190955	0.504303240756756	0.222042454208959	0.405120503163894	-0.0383538601379049	-0.125499729955283	0.447789564165131	0.16642728551069	0.109657442861547
"Escherichia_Shigella"	-0.0229122472685189	-0.025084051342097	-0.238583116035344	1	0.0736938668387035	-0.00561970630461572	-0.0568667561624788	0.0606566264378168	-0.00486452063323392	-0.00809969364167155	0.0437370048457461	-0.085522005516326	-0.0473418083607895	-0.137522257981637	-0.10909582552037	-0.0392086765700494	-0.0351936474121276	0.0215683128305242	-0.0538218762689441	-0.0549836356718841	-0.0417706854064176	-0.0476824998499474	0.172159595510919	0.0512110871310518	-0.0483864980948843	0.184850513184286	-0.0510843678239347	-0.0582497351506597	-0.0816211870715619	0.133277931211494	0.0281097494700769	-0.11152209832724	-0.00925277173118075	-0.108236878942909	-0.0732368697301978	-0.192680651350014	0.098227398587268	-0.0699370826892456	-0.147559020988524	-0.167000458708225	-0.0248125139809059	-0.0498548746073334	-0.0944831451962025	-0.0584646518924756	-0.159799280658834	-0.0539609488751731	0.116391097127063	-0.111434929550596	-0.0522755855600394	0.0955080869721085
"Bacteroides"	-0.0893753414783589	0.157215675726243	0.341814584044034	0.0736938668387035	1	-0.138493080677515	0.116175112564009	0.0296778009752289	0.0175803561693626	-0.0481643538448811	-0.114570629204923	0.226889247894738	-0.0189577113169743	0.273353158101793	0.113316404139838	-0.000366177300169202	0.166756264868611	-0.0872885504153343	0.182583257385518	0.120397333078652	0.569210448945365	0.223390510389798	0.273307884694535	0.653900286008344	0.205505139286372	0.126867373657212	-0.0835960720488236	0.120850275058378	0.158294837637578	-0.039464987598947	-0.164330744243467	0.0929056153577068	0.332613772979967	0.169606207024659	0.0743817289322781	0.240958959206345	0.0843778237764733	0.147921103959747	0.146364689078384	0.0605229108771691	-0.0100391373717397	0.275300542823929	0.0799672397913139	0.301651643673435	-0.012265632493145	0.376120680534832	0.240370550283375	0.237224513722769	-0.0217120836817686	0.512033937438859
"Akkermansia"	0.00688841661647759	-0.0325535016117258	-0.285096589902979	-0.00561970630461572	-0.138493080677515	1	-0.17223570299585	-0.0122122564867349	-0.00563335147438855	0.0181172988321199	0.0454514473986236	0.142323316082899	-0.166211187874377	-0.0979066531073532	-0.101800433973424	0.0446078018323003	-0.0849813595930932	-0.135804481515603	0.021209230116705	0.168401156147079	0.121296215705173	-0.073485507785123	0.0708077878526627	-0.0309414909749002	0.0339309262693023	0.0469814944451072	-0.138511133658469	-0.239201305640336	-0.062569836700937	0.280336792994787	0.184875356022373	-0.114856770995276	0.328969263105463	-0.0332016704032811	-0.0158415678574931	-0.111363536554615	-0.140250369066483	-0.219423539351114	-0.197559314265343	-0.0673901014667575	0.0742687334330677	0.0680352905771803	-0.0860346031528449	-0.103610944360372	-0.189997068468069	0.242434695963973	0.151877186365413	-0.101208284856028	0.0651372690768203	-0.112221898254368
"Agathobacter"	-0.249202566607044	0.4161658938345	0.543211457397281	-0.0568667561624788	0.116175112564009	-0.17223570299585	1	0.250971939614179	-0.143787885620052	0.062018989904805	-0.0259641958036137	0.428202769766023	0.254653302589037	0.537845135299653	0.324235945582144	0.295881038526866	0.129756094863731	0.0479702397629189	0.282799136131295	0.25124809162764	0.236340987639331	0.139801346682978	-0.122322628747192	0.160725786545584	0.518805677098212	-0.350533776343368	0.18268642433917	0.0837260601667472	0.604813317199043	-0.37954013453127	-0.363670337116399	0.462679944140644	-0.0490080239229682	0.483765497874072	0.426066357720411	0.534440502046528	0.0742435589758477	0.392026281558911	0.519983251552399	0.324540013945921	0.0145576063142946	0.311790005874929	0.570941206026914	0.0677580416433926	0.41835435149912	-0.107070766662433	-0.14908778189942	0.328027995276215	0.190204525388424	-0.0842628970767701
"Blautia"	0.0810154273410413	0.335606575082531	0.150313639412652	0.0606566264378168	0.0296778009752289	-0.0122122564867349	0.250971939614179	1	-0.160033265755972	0.298695758841411	-0.19647662436428	0.301860144254079	0.0479275154564048	0.235293740940067	0.103595950076722	0.150791028634283	-0.010653090508559	0.00989939066951273	0.112360902368959	0.243644573095913	0.0932766480738855	0.241827686628905	0.116148909497037	0.0195498698768491	0.232006139404285	0.0653709449262713	0.131769223002915	-0.0850580049718325	0.263054867847938	0.0704129369233034	-0.14100957113058	0.30391556854564	0.182274944428176	0.231634327071291	0.117693810561316	0.227702941260849	-0.100788126500623	0.291401028467185	0.272629973657914	0.348174870933637	-0.0436340660618376	0.136037593086805	0.363769616253842	0.0564776990368074	0.200956448174925	0.203878785727698	0.0294702328576591	0.0938787918356971	0.305587961960124	0.0488880026508972
"Klebsiella"	-0.10870745032689	-0.0656734395691842	-0.131409633737519	-0.00486452063323392	0.0175803561693626	-0.00563335147438855	-0.143787885620052	-0.160033265755972	1	-0.169389194409157	-0.0258001478620724	-0.23212442590598	0.0600878934573107	-0.147052079457351	-0.10532278482543	-0.0190198132343253	0.299044372336586	0.0864253240398612	-0.0540571514309526	-0.204745646978491	-0.0407249156413946	-0.0679059883351595	0.0655100200500739	0.00155212794845869	-0.16344178887845	0.115913272512865	0.0530197455488161	0.102214443002858	-0.174739990882467	0.108694258332567	0.205865167942673	-0.00832711622306547	-0.0104909988674177	-0.129212851517334	-0.149743074197437	-0.0289614758237181	0.0509292383443966	-0.0749737698536495	-0.24302625342074	-0.151516482348496	-0.0581895331046101	-0.179418877218302	-0.162618447921565	-0.110500609263265	-0.0573423926781376	-0.140298675457811	0.0736644516557634	-0.132848586477094	-0.0349947407959493	0.0533293610279894
"Collinsella"	0.26891118208149	0.192900021619481	-0.0586105531248349	-0.00809969364167155	-0.0481643538448811	0.0181172988321199	0.062018989904805	0.298695758841411	-0.169389194409157	1	0.0572770023865784	0.21036278098335	-0.0355285087969891	0.0930161646078967	0.161256887328487	0.0747975536602175	-0.0685847624230895	0.10061520649963	-0.162449621465855	0.244560017809466	0.0902600179782488	0.143386912565336	-0.116178126586824	-0.00269881134291061	0.204126681788724	0.00868235387054809	0.0702199818005262	-0.0796888808279635	0.0715986254708946	0.0418451267698293	-0.127904975670968	0.130443029897233	0.195518666980434	0.0708937540745202	-0.0655269003928525	0.0234819197117122	0.0197303940286214	0.0368704330404599	0.069345951338982	0.137290672328054	0.140053811713647	0.132197975563833	0.251117196192625	0.0942797940988	0.0601429497515133	0.0959751861576357	0.000876078135399784	-0.00907974300161097	0.121859202923717	-0.15283347616965
