Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR11825857,AMPLICON,596,25157756,PRJNA633959,SAMN14978585,Metagenome or environmental,13879213,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX8376457,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD104.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825858,AMPLICON,590,31577390,PRJNA633959,SAMN14978585,Metagenome or environmental,17448904,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX8376569,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C39.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825859,AMPLICON,594,28875528,PRJNA633959,SAMN14978585,Metagenome or environmental,15560526,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8376568,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C36.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825860,AMPLICON,596,28356488,PRJNA633959,SAMN14978585,Metagenome or environmental,15707701,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8376567,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C35.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825861,AMPLICON,599,40412134,PRJNA633959,SAMN14978585,Metagenome or environmental,22185110,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8376566,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C34.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825862,AMPLICON,594,23853258,PRJNA633959,SAMN14978585,Metagenome or environmental,13911736,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8376565,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD18.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825863,AMPLICON,590,28091670,PRJNA633959,SAMN14978585,Metagenome or environmental,15584082,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX8376564,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C33.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825864,AMPLICON,594,26463294,PRJNA633959,SAMN14978585,Metagenome or environmental,14674979,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX8376563,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C32.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825865,AMPLICON,596,25185172,PRJNA633959,SAMN14978585,Metagenome or environmental,13733127,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX8376562,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C31.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825866,AMPLICON,599,34722233,PRJNA633959,SAMN14978585,Metagenome or environmental,18753017,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX8376561,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C30.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
