	AD	C
Unspecified_Subdoligranulum	0.105315646579317	0.114133964670362
Unspecified_Faecalibacterium	0.041893758279143	0.160453628728914
Unspecified_Escherichia_Shigella	0.076525211411912	0.098255964891859
Unspecified_Bifidobacterium	0.0628710543942315	0.0336487179693404
Unspecified_Enterobacteriaceae	0.0494716704358686	0.0466710224370752
Bifidobacterium_longum	0.0740901571669006	0.00619870688370224
Unspecified_Akkermansia	0.072374512712951	0.00621485416852277
Unspecified_Agathobacter	0.0107215690282944	0.0611806094950093
Unspecified_Blautia	0.0343104326991402	0.025440112654636
Unspecified_Bacteroides	0.0313388544464895	0.0262197412081959
Unspecified_Klebsiella	0.0320008713995258	0.025286201792305
Unspecified_Collinsella	0.0292860822467754	0.0121845937568157
Unspecified_Lactobacillus	0.0197851817624006	0.0109109548951659
Unspecified_coprostanoligenes_group	0.0100563200534503	0.020815045855522
Unspecified_Clostridium_sensu_stricto_1	0.00486168720045487	0.0261373470808154
Unspecified_Lachnospiraceae	0.0124845940508812	0.0132505202426108
Unspecified_Roseburia	0.00605518236562152	0.0192182548002994
Unspecified_CAG_352	0.0110191998311898	0.0102792850614284
Bifidobacterium_dentium	0.0102237323461948	0.0107663939219376
Unspecified_Enterobacter	0.00680460131407317	0.0144572904109708
Other	0.298509680275184	0.258276789074512
