index,d__Archaea;p__Euryarchaeota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Synergistota,d__Bacteria;p__Verrucomicrobiota,Group,sampleid_description
AD01,0.0,2179.0,268.0,0.0,5.0,7435.0,0.0,8.0,225.0,28.0,823.0,AD,AD01
AD04,0.0,42.0,797.0,0.0,6.0,3045.0,0.0,4.0,7788.0,0.0,2311.0,AD,AD04
AD05,0.0,7012.0,234.0,0.0,0.0,11899.0,0.0,0.0,14.0,0.0,9.0,AD,AD05
AD07,0.0,136.0,1891.0,0.0,10.0,14350.0,0.0,0.0,4012.0,0.0,0.0,AD,AD07
AD08,0.0,182.0,269.0,0.0,15.0,25810.0,7.0,11.0,866.0,0.0,3.0,AD,AD08
AD09,0.0,2015.0,1419.0,0.0,0.0,14452.0,0.0,9.0,2511.0,0.0,3.0,AD,AD09
AD10,0.0,365.0,195.0,0.0,184.0,11782.0,0.0,2.0,158.0,173.0,0.0,AD,AD10
AD100,0.0,13346.0,542.0,4.0,17.0,9769.0,0.0,8.0,835.0,0.0,31.0,AD,AD100
AD101,0.0,250.0,698.0,0.0,0.0,9373.0,200.0,0.0,7088.0,0.0,0.0,AD,AD101
AD102,0.0,7814.0,8932.0,0.0,99.0,2567.0,0.0,0.0,6561.0,0.0,42.0,AD,AD102
AD103,0.0,657.0,9135.0,0.0,0.0,4212.0,0.0,0.0,394.0,0.0,13.0,AD,AD103
AD104,0.0,493.0,468.0,0.0,18.0,12867.0,0.0,8.0,3043.0,0.0,4.0,AD,AD104
AD105,0.0,241.0,8066.0,0.0,0.0,6264.0,0.0,3.0,105.0,0.0,675.0,AD,AD105
AD106,0.0,11595.0,6.0,0.0,0.0,5999.0,0.0,98.0,5481.0,0.0,757.0,AD,AD106
AD107,0.0,399.0,3268.0,0.0,10.0,9027.0,0.0,0.0,9653.0,0.0,9.0,AD,AD107
AD108,0.0,426.0,7617.0,0.0,25.0,7563.0,0.0,0.0,153.0,0.0,5351.0,AD,AD108
AD109,0.0,19797.0,433.0,4.0,0.0,5131.0,0.0,0.0,632.0,0.0,4.0,AD,AD109
AD11,8.0,143.0,1736.0,0.0,199.0,10373.0,0.0,0.0,9224.0,17.0,0.0,AD,AD11
AD110,3.0,6532.0,0.0,0.0,0.0,19627.0,0.0,0.0,114.0,0.0,7.0,AD,AD110
AD111,1294.0,196.0,12774.0,0.0,0.0,7177.0,0.0,0.0,201.0,0.0,1200.0,AD,AD111
AD112,0.0,3625.0,650.0,0.0,0.0,14774.0,3.0,0.0,4468.0,0.0,10.0,AD,AD112
AD113,13.0,589.0,8305.0,0.0,66.0,6380.0,0.0,14.0,8350.0,43.0,0.0,AD,AD113
AD114,0.0,1159.0,7087.0,0.0,0.0,12010.0,0.0,7.0,1488.0,0.0,0.0,AD,AD114
AD116,0.0,1190.0,3277.0,0.0,0.0,6109.0,0.0,198.0,10269.0,0.0,22.0,AD,AD116
AD118,162.0,1575.0,1911.0,2.0,39.0,15472.0,0.0,168.0,2402.0,19.0,3465.0,AD,AD118
AD119,0.0,6721.0,11.0,0.0,0.0,7439.0,0.0,35.0,9973.0,0.0,41.0,AD,AD119
AD12,0.0,2714.0,1396.0,0.0,4.0,9007.0,0.0,0.0,28.0,0.0,0.0,AD,AD12
AD120,4.0,12785.0,832.0,0.0,24.0,9455.0,0.0,103.0,6490.0,0.0,1493.0,AD,AD120
AD121,0.0,389.0,244.0,0.0,0.0,6310.0,0.0,7.0,23375.0,0.0,6.0,AD,AD121
AD122,0.0,1512.0,260.0,20.0,18.0,8065.0,0.0,77.0,21240.0,0.0,3.0,AD,AD122
AD123,0.0,392.0,7549.0,0.0,1371.0,13928.0,0.0,48.0,791.0,0.0,15.0,AD,AD123
AD125,0.0,145.0,142.0,0.0,5.0,22173.0,0.0,29.0,1968.0,0.0,158.0,AD,AD125
