index,d__Archaea;p__Euryarchaeota;c__Methanobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Firmicutes;c__Incertae_Sedis,d__Bacteria;p__Firmicutes;c__Negativicutes,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Synergistota;c__Synergistia,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,Group,sampleid_description
AD01,0.0,625.0,1554.0,268.0,0.0,5.0,240.0,7039.0,0.0,156.0,0.0,8.0,0.0,225.0,28.0,0.0,823.0,AD,AD01
AD04,0.0,29.0,13.0,797.0,0.0,6.0,69.0,2872.0,0.0,104.0,0.0,4.0,0.0,7788.0,0.0,0.0,2311.0,AD,AD04
AD05,0.0,6705.0,307.0,234.0,0.0,0.0,656.0,11218.0,0.0,25.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,AD,AD05
AD07,0.0,10.0,126.0,1891.0,0.0,10.0,151.0,14002.0,0.0,197.0,0.0,0.0,0.0,4012.0,0.0,0.0,0.0,AD,AD07
AD08,0.0,59.0,123.0,269.0,0.0,15.0,38.0,25711.0,0.0,61.0,7.0,11.0,88.0,778.0,0.0,0.0,3.0,AD,AD08
AD09,0.0,1805.0,210.0,1419.0,0.0,0.0,301.0,12492.0,0.0,1659.0,0.0,9.0,20.0,2491.0,0.0,0.0,3.0,AD,AD09
AD10,0.0,163.0,202.0,195.0,0.0,184.0,1166.0,10495.0,0.0,121.0,0.0,2.0,0.0,158.0,173.0,0.0,0.0,AD,AD10
AD100,0.0,7094.0,6252.0,542.0,4.0,17.0,984.0,8736.0,11.0,38.0,0.0,8.0,52.0,783.0,0.0,0.0,31.0,AD,AD100
AD101,0.0,45.0,205.0,698.0,0.0,0.0,3725.0,5271.0,0.0,377.0,200.0,0.0,0.0,7088.0,0.0,0.0,0.0,AD,AD101
AD102,0.0,7764.0,50.0,8932.0,0.0,99.0,47.0,2289.0,0.0,231.0,0.0,0.0,0.0,6561.0,0.0,0.0,42.0,AD,AD102
AD103,0.0,621.0,36.0,9135.0,0.0,0.0,34.0,1320.0,0.0,2858.0,0.0,0.0,0.0,394.0,0.0,0.0,13.0,AD,AD103
AD104,0.0,124.0,369.0,468.0,0.0,18.0,1496.0,11366.0,0.0,5.0,0.0,8.0,0.0,3043.0,0.0,0.0,4.0,AD,AD104
AD105,0.0,187.0,54.0,8066.0,0.0,0.0,174.0,5675.0,0.0,415.0,0.0,3.0,5.0,100.0,0.0,0.0,675.0,AD,AD105
AD106,0.0,11336.0,259.0,6.0,0.0,0.0,624.0,5369.0,0.0,6.0,0.0,98.0,19.0,5462.0,0.0,0.0,757.0,AD,AD106
AD107,0.0,337.0,62.0,3268.0,0.0,10.0,435.0,8443.0,0.0,149.0,0.0,0.0,0.0,9653.0,0.0,0.0,9.0,AD,AD107
AD108,0.0,358.0,68.0,7617.0,0.0,25.0,234.0,7300.0,0.0,29.0,0.0,0.0,5.0,148.0,0.0,0.0,5351.0,AD,AD108
AD109,0.0,7519.0,12278.0,433.0,4.0,0.0,1076.0,3993.0,0.0,62.0,0.0,0.0,29.0,603.0,0.0,0.0,4.0,AD,AD109
AD11,8.0,12.0,131.0,1736.0,0.0,199.0,204.0,5417.0,0.0,4752.0,0.0,0.0,39.0,9185.0,17.0,0.0,0.0,AD,AD11
AD110,3.0,6532.0,0.0,0.0,0.0,0.0,19621.0,6.0,0.0,0.0,0.0,0.0,29.0,85.0,0.0,0.0,7.0,AD,AD110
AD111,1294.0,82.0,114.0,12774.0,0.0,0.0,86.0,6712.0,0.0,379.0,0.0,0.0,13.0,188.0,0.0,0.0,1200.0,AD,AD111
AD112,0.0,3611.0,14.0,650.0,0.0,0.0,390.0,4066.0,0.0,10318.0,3.0,0.0,0.0,4468.0,0.0,0.0,10.0,AD,AD112
AD113,13.0,518.0,71.0,8305.0,0.0,66.0,109.0,6152.0,0.0,119.0,0.0,14.0,0.0,8350.0,43.0,0.0,0.0,AD,AD113
AD114,0.0,1036.0,123.0,7087.0,0.0,0.0,325.0,11505.0,0.0,180.0,0.0,7.0,0.0,1488.0,0.0,0.0,0.0,AD,AD114
AD116,0.0,934.0,256.0,3277.0,0.0,0.0,262.0,3793.0,0.0,2054.0,0.0,198.0,0.0,10269.0,0.0,0.0,22.0,AD,AD116
AD118,162.0,256.0,1319.0,1911.0,2.0,39.0,819.0,14432.0,0.0,221.0,0.0,168.0,91.0,2311.0,19.0,4.0,3461.0,AD,AD118
AD119,0.0,4912.0,1809.0,11.0,0.0,0.0,2292.0,5115.0,0.0,32.0,0.0,35.0,3.0,9970.0,0.0,0.0,41.0,AD,AD119
AD12,0.0,2605.0,109.0,1396.0,0.0,4.0,150.0,8724.0,0.0,133.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,AD,AD12
AD120,4.0,11425.0,1360.0,832.0,0.0,24.0,334.0,9121.0,0.0,0.0,0.0,103.0,27.0,6463.0,0.0,0.0,1493.0,AD,AD120
AD121,0.0,149.0,240.0,244.0,0.0,0.0,131.0,6160.0,0.0,19.0,0.0,7.0,0.0,23375.0,0.0,0.0,6.0,AD,AD121
AD122,0.0,1200.0,312.0,260.0,20.0,18.0,1709.0,6077.0,0.0,279.0,0.0,77.0,27.0,21213.0,0.0,0.0,3.0,AD,AD122
AD123,0.0,127.0,265.0,7549.0,0.0,1371.0,506.0,13152.0,0.0,270.0,0.0,48.0,22.0,769.0,0.0,0.0,15.0,AD,AD123
AD125,0.0,26.0,119.0,142.0,0.0,5.0,572.0,21593.0,0.0,8.0,0.0,29.0,0.0,1968.0,0.0,0.0,158.0,AD,AD125
AD126,0.0,1831.0,610.0,871.0,4.0,0.0,2284.0,8345.0,0.0,245.0,0.0,465.0,15.0,10569.0,0.0,0.0,0.0,AD,AD126
AD127,81.0,117.0,162.0,1432.0,0.0,232.0,695.0,7350.0,0.0,335.0,5.0,7.0,3.0,19020.0,4.0,0.0,36.0,AD,AD127
AD13,0.0,12.0,20.0,3797.0,0.0,47.0,77.0,8728.0,0.0,274.0,0.0,2.0,0.0,1439.0,9.0,0.0,0.0,AD,AD13
AD14,0.0,85.0,105.0,2643.0,0.0,0.0,660.0,7245.0,0.0,461.0,0.0,0.0,0.0,2891.0,0.0,0.0,0.0,AD,AD14
AD16,0.0,2223.0,198.0,4.0,0.0,0.0,430.0,8965.0,0.0,45.0,0.0,0.0,0.0,105.0,0.0,0.0,8.0,AD,AD16
AD17,0.0,7028.0,105.0,0.0,0.0,0.0,1625.0,3036.0,0.0,102.0,0.0,0.0,6.0,10.0,0.0,0.0,3332.0,AD,AD17
AD18,0.0,8845.0,751.0,50.0,0.0,0.0,691.0,2611.0,0.0,0.0,0.0,5.0,0.0,832.0,0.0,0.0,0.0,AD,AD18
AD19,0.0,4243.0,927.0,589.0,0.0,13.0,1014.0,13416.0,0.0,89.0,0.0,0.0,5.0,336.0,0.0,0.0,0.0,AD,AD19
AD20,0.0,4154.0,3783.0,40.0,0.0,20.0,86.0,4068.0,0.0,29.0,0.0,0.0,0.0,10.0,0.0,0.0,1333.0,AD,AD20
AD21,0.0,2223.0,52.0,0.0,0.0,9.0,5.0,13551.0,0.0,18.0,0.0,0.0,0.0,177.0,0.0,0.0,238.0,AD,AD21
AD22,0.0,7222.0,1898.0,537.0,0.0,71.0,226.0,3768.0,0.0,188.0,0.0,0.0,0.0,221.0,0.0,0.0,2654.0,AD,AD22
AD23,0.0,46.0,71.0,964.0,0.0,0.0,59.0,13001.0,0.0,483.0,0.0,0.0,0.0,10.0,0.0,0.0,18.0,AD,AD23
AD24,0.0,6657.0,80.0,105.0,0.0,0.0,75.0,3654.0,0.0,0.0,0.0,0.0,0.0,6498.0,0.0,0.0,11.0,AD,AD24
AD25,0.0,886.0,35.0,0.0,0.0,10.0,356.0,893.0,0.0,0.0,0.0,0.0,2.0,4230.0,0.0,0.0,8193.0,AD,AD25
AD26,68.0,9818.0,1067.0,81.0,0.0,0.0,277.0,3550.0,0.0,157.0,0.0,6.0,0.0,42.0,3.0,0.0,794.0,AD,AD26
AD27,0.0,13639.0,1988.0,0.0,0.0,0.0,1089.0,140.0,0.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,AD,AD27
AD29,0.0,13153.0,2704.0,365.0,0.0,0.0,1275.0,8789.0,0.0,461.0,0.0,4.0,7.0,628.0,0.0,0.0,9.0,AD,AD29
AD30,0.0,10455.0,108.0,48.0,0.0,10.0,302.0,12224.0,0.0,539.0,0.0,10.0,6.0,42.0,0.0,0.0,120.0,AD,AD30
AD31,234.0,6534.0,7049.0,30.0,0.0,11.0,1608.0,5395.0,0.0,1168.0,0.0,0.0,14.0,2998.0,0.0,0.0,13.0,AD,AD31
AD32,5.0,150.0,0.0,0.0,0.0,0.0,188.0,394.0,0.0,192.0,0.0,0.0,0.0,25927.0,0.0,0.0,0.0,AD,AD32
AD33,0.0,1553.0,551.0,3536.0,0.0,112.0,1511.0,18859.0,0.0,591.0,13.0,14.0,0.0,310.0,0.0,0.0,0.0,AD,AD33
AD34,0.0,10.0,732.0,930.0,0.0,0.0,299.0,20694.0,0.0,29.0,0.0,0.0,0.0,95.0,0.0,0.0,11.0,AD,AD34
AD35,0.0,826.0,335.0,185.0,0.0,5.0,415.0,15440.0,0.0,39.0,0.0,0.0,2.0,195.0,0.0,0.0,554.0,AD,AD35
AD36,0.0,36923.0,0.0,0.0,0.0,0.0,267.0,779.0,0.0,388.0,0.0,0.0,0.0,781.0,0.0,0.0,0.0,AD,AD36
AD37,0.0,4379.0,1484.0,1347.0,0.0,35.0,516.0,8690.0,0.0,23.0,0.0,3.0,0.0,1265.0,9.0,0.0,4203.0,AD,AD37
AD40,0.0,3464.0,152.0,863.0,0.0,25.0,179.0,12125.0,0.0,634.0,0.0,0.0,0.0,262.0,0.0,0.0,9.0,AD,AD40
AD41,0.0,475.0,69.0,82.0,0.0,310.0,509.0,16663.0,0.0,583.0,0.0,19.0,0.0,384.0,9.0,0.0,7.0,AD,AD41
AD47,0.0,2552.0,328.0,9331.0,0.0,0.0,6207.0,153.0,0.0,331.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,AD,AD47
AD50,0.0,171.0,266.0,3065.0,0.0,12.0,1096.0,8392.0,0.0,1969.0,0.0,57.0,9.0,9855.0,0.0,0.0,7.0,AD,AD50
AD53,0.0,379.0,2906.0,1250.0,25.0,0.0,131.0,27672.0,0.0,3.0,0.0,0.0,415.0,1128.0,0.0,0.0,76.0,AD,AD53
AD54,0.0,1559.0,2992.0,1121.0,0.0,4.0,418.0,7808.0,0.0,146.0,0.0,0.0,0.0,6835.0,6.0,0.0,2309.0,AD,AD54
AD55,43.0,15356.0,753.0,292.0,0.0,0.0,259.0,8490.0,0.0,477.0,4.0,0.0,0.0,232.0,0.0,0.0,20.0,AD,AD55
AD58,26.0,56.0,941.0,0.0,0.0,209.0,53.0,5907.0,0.0,89.0,5316.0,7.0,0.0,211.0,47.0,0.0,8456.0,AD,AD58
AD59,0.0,1878.0,77.0,105.0,0.0,0.0,797.0,18907.0,0.0,85.0,0.0,65.0,3.0,168.0,0.0,0.0,5.0,AD,AD59
AD60,2586.0,17864.0,1045.0,176.0,0.0,75.0,1957.0,6356.0,0.0,15.0,0.0,0.0,4.0,817.0,8.0,0.0,767.0,AD,AD60
AD61,0.0,60.0,909.0,102.0,0.0,0.0,368.0,10579.0,0.0,72.0,0.0,0.0,0.0,12182.0,0.0,0.0,4.0,AD,AD61
AD62,0.0,13372.0,261.0,45.0,0.0,3.0,213.0,3445.0,0.0,38.0,0.0,0.0,7.0,1431.0,0.0,0.0,3948.0,AD,AD62
AD63,0.0,379.0,387.0,185.0,0.0,6.0,1396.0,14146.0,0.0,220.0,0.0,3.0,0.0,139.0,0.0,0.0,0.0,AD,AD63
AD64,0.0,9.0,64.0,518.0,0.0,98.0,36.0,16746.0,0.0,189.0,0.0,0.0,0.0,767.0,0.0,0.0,0.0,AD,AD64
AD65,0.0,4.0,79.0,2475.0,0.0,210.0,254.0,9504.0,15.0,274.0,0.0,0.0,0.0,6179.0,0.0,74.0,1123.0,AD,AD65
AD66,0.0,1588.0,338.0,5131.0,0.0,490.0,132.0,2571.0,0.0,1303.0,0.0,0.0,0.0,14.0,115.0,0.0,7546.0,AD,AD66
AD67,0.0,127.0,16.0,0.0,0.0,0.0,102.0,513.0,0.0,34.0,0.0,0.0,0.0,12783.0,0.0,0.0,8770.0,AD,AD67
AD68,0.0,210.0,12.0,59.0,0.0,0.0,14039.0,105.0,0.0,616.0,0.0,0.0,2.0,104.0,0.0,0.0,3.0,AD,AD68
AD69,0.0,1038.0,496.0,3870.0,0.0,4.0,365.0,14766.0,0.0,45.0,0.0,0.0,2.0,427.0,0.0,0.0,7.0,AD,AD69
AD70,0.0,9110.0,1407.0,188.0,0.0,0.0,555.0,2855.0,0.0,21.0,0.0,0.0,2.0,154.0,0.0,0.0,2520.0,AD,AD70
AD71,0.0,15.0,20.0,3.0,0.0,0.0,125.0,1117.0,0.0,0.0,0.0,0.0,0.0,5580.0,0.0,0.0,15664.0,AD,AD71
AD74,0.0,14719.0,254.0,3740.0,0.0,156.0,62.0,1436.0,0.0,453.0,0.0,0.0,0.0,508.0,39.0,0.0,0.0,AD,AD74
AD75,122.0,6905.0,689.0,9629.0,0.0,30.0,2136.0,2497.0,0.0,697.0,128.0,6.0,0.0,801.0,0.0,0.0,7.0,AD,AD75
AD76,0.0,185.0,5820.0,355.0,0.0,339.0,489.0,16137.0,0.0,2154.0,0.0,0.0,2.0,1395.0,0.0,0.0,0.0,AD,AD76
AD77,0.0,1914.0,131.0,11106.0,0.0,116.0,47.0,4591.0,0.0,2536.0,0.0,0.0,0.0,55.0,0.0,0.0,4.0,AD,AD77
AD78,10513.0,1320.0,1061.0,1081.0,0.0,136.0,1299.0,16503.0,0.0,192.0,0.0,0.0,16.0,3418.0,0.0,0.0,32.0,AD,AD78
AD79,0.0,2754.0,1337.0,46.0,0.0,142.0,1956.0,2461.0,0.0,139.0,0.0,25.0,0.0,12335.0,35.0,0.0,14124.0,AD,AD79
AD80,203.0,57.0,198.0,582.0,0.0,97.0,233.0,2390.0,0.0,222.0,4.0,0.0,4.0,22637.0,88.0,0.0,993.0,AD,AD80
AD83,348.0,113.0,4527.0,94.0,0.0,33.0,318.0,17866.0,0.0,15.0,0.0,4.0,0.0,1599.0,7.0,0.0,691.0,AD,AD83
AD84,0.0,1690.0,197.0,202.0,0.0,119.0,595.0,20368.0,0.0,9.0,0.0,0.0,6.0,682.0,0.0,0.0,0.0,AD,AD84
AD85,0.0,417.0,115.0,3468.0,0.0,174.0,238.0,16069.0,0.0,453.0,0.0,39.0,10.0,1428.0,0.0,0.0,10.0,AD,AD85
AD86,0.0,4886.0,3857.0,10.0,0.0,10.0,140.0,6260.0,0.0,6.0,0.0,0.0,2.0,7255.0,0.0,0.0,371.0,AD,AD86
AD88,0.0,297.0,208.0,766.0,0.0,290.0,631.0,5525.0,0.0,2304.0,0.0,0.0,2.0,11699.0,0.0,0.0,7.0,AD,AD88
AD89,0.0,1661.0,1670.0,2713.0,0.0,68.0,127.0,17734.0,0.0,82.0,0.0,0.0,12.0,2666.0,0.0,0.0,7.0,AD,AD89
AD90,0.0,17244.0,740.0,422.0,0.0,3.0,1074.0,9825.0,0.0,206.0,0.0,0.0,0.0,158.0,72.0,0.0,239.0,AD,AD90
AD91,0.0,199.0,342.0,2943.0,0.0,3.0,7108.0,5282.0,0.0,664.0,0.0,162.0,24.0,8752.0,9.0,0.0,3.0,AD,AD91
AD92,0.0,0.0,72.0,24.0,0.0,0.0,157.0,391.0,0.0,290.0,13.0,0.0,0.0,4309.0,0.0,0.0,22956.0,AD,AD92
AD93,0.0,134.0,439.0,77.0,0.0,340.0,631.0,3909.0,0.0,113.0,0.0,7.0,2.0,6126.0,0.0,0.0,19339.0,AD,AD93
AD94,0.0,28.0,124.0,5862.0,0.0,6.0,1661.0,2220.0,0.0,137.0,0.0,0.0,0.0,13481.0,0.0,0.0,282.0,AD,AD94
AD96,0.0,136.0,162.0,0.0,0.0,0.0,10900.0,3783.0,0.0,7.0,0.0,0.0,4.0,8275.0,0.0,0.0,488.0,AD,AD96
