index,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Firmicutes;c__Bacilli;__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Entomoplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales,d__Bacteria;p__Firmicutes;c__Clostridia;__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG_014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales_Tissierellales,d__Bacteria;p__Firmicutes;c__Incertae_Sedis;o__DTU014,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,Group,sampleid_description
AD01,0.0,0.0,625.0,0.0,0.0,1554.0,268.0,0.0,5.0,0.0,0.0,125.0,115.0,0.0,0.0,0.0,404.0,0.0,384.0,0.0,11.0,20.0,1982.0,0.0,4107.0,14.0,117.0,0.0,73.0,83.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,28.0,0.0,823.0,AD,AD01
AD04,0.0,0.0,29.0,0.0,0.0,13.0,797.0,0.0,6.0,0.0,0.0,56.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1022.0,0.0,1821.0,0.0,14.0,0.0,0.0,104.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7788.0,0.0,0.0,0.0,0.0,0.0,0.0,2311.0,AD,AD04
AD05,0.0,0.0,6705.0,0.0,0.0,307.0,234.0,0.0,0.0,13.0,0.0,23.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0,0.0,10461.0,0.0,6.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,AD,AD05
AD07,0.0,0.0,10.0,0.0,0.0,126.0,1891.0,0.0,10.0,0.0,0.0,128.0,23.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,2060.0,340.0,11498.0,0.0,29.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AD,AD07
AD08,0.0,7.0,52.0,0.0,0.0,123.0,269.0,0.0,15.0,0.0,0.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0,40.0,24765.0,0.0,0.0,0.0,6.0,55.0,7.0,11.0,11.0,58.0,0.0,19.0,0.0,6.0,679.0,61.0,0.0,0.0,32.0,0.0,0.0,3.0,AD,AD08
AD09,0.0,0.0,1789.0,9.0,7.0,210.0,1419.0,0.0,0.0,0.0,0.0,299.0,2.0,0.0,0.0,2.0,31.0,0.0,0.0,0.0,63.0,0.0,3743.0,1163.0,7186.0,0.0,304.0,0.0,0.0,1659.0,0.0,9.0,2.0,18.0,0.0,0.0,0.0,9.0,2449.0,21.0,0.0,0.0,12.0,0.0,0.0,3.0,AD,AD09
AD10,0.0,0.0,163.0,0.0,0.0,202.0,195.0,0.0,184.0,0.0,0.0,108.0,1058.0,0.0,0.0,6.0,523.0,0.0,0.0,0.0,13.0,2.0,2077.0,5.0,7785.0,0.0,84.0,0.0,27.0,94.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,AD,AD10
AD100,0.0,520.0,6515.0,53.0,6.0,6252.0,542.0,4.0,17.0,0.0,0.0,956.0,28.0,0.0,0.0,0.0,1051.0,19.0,0.0,0.0,130.0,435.0,2274.0,0.0,3720.0,11.0,1096.0,11.0,38.0,0.0,0.0,8.0,8.0,44.0,0.0,0.0,61.0,6.0,603.0,54.0,0.0,41.0,18.0,0.0,0.0,31.0,AD,AD100
AD101,0.0,0.0,15.0,0.0,30.0,205.0,698.0,0.0,0.0,0.0,0.0,3448.0,271.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,3719.0,506.0,141.0,0.0,689.0,0.0,0.0,377.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AD,AD101
AD102,0.0,0.0,7764.0,0.0,0.0,50.0,8932.0,0.0,99.0,0.0,0.0,27.0,20.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,63.0,0.0,1147.0,0.0,1020.0,0.0,48.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,6255.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,AD,AD102
