	W	Reject null hypothesis
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	43	True
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales	36	True
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG_014	34	True
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	29	False
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales	28	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales	28	False
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	24	False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	24	False
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	22	False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	18	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales	17	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales	16	False
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	11	False
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales	10	False
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	10	False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	10	False
d__Bacteria;p__Firmicutes;c__Bacilli;o__Entomoplasmatales	9	False
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	8	False
d__Bacteria;p__Firmicutes;c__Incertae_Sedis;o__DTU014	8	False
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales	8	False
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	8	False
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales	8	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group	8	False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__	8	False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	8	False
d__Bacteria;p__Firmicutes;c__Bacilli;__	7	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales	7	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia	7	False
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales	7	False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	6	False
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	6	False
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	6	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales	5	False
d__Bacteria;p__Firmicutes;c__Clostridia;__	5	False
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales	5	False
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales_Tissierellales	4	False
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	4	False
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales	4	False
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales	4	False
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	4	False
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales	4	False
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	3	False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	3	False
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales	2	False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	1	False
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales	1	False
