"Sample","Rank1","Phylum","Class","Order","Family","Genus","Species","OTU"
"AD01","144","144","144","144","141","128","24","144"
"AD04","75","75","75","75","75","62","10","75"
"AD05","53","53","53","52","52","48","5","53"
"AD07","134","134","134","134","133","119","20","134"
"AD08","84","84","84","84","84","72","12","84"
"AD09","160","160","160","159","158","130","15","160"
"AD10","120","120","120","119","118","107","20","120"
"AD100","137","137","137","136","133","113","27","137"
"AD101","62","62","62","62","62","54","9","62"
"AD102","75","75","75","75","75","64","10","75"
"AD103","69","69","69","69","69","58","11","69"
"AD104","127","127","127","127","126","110","15","127"
"AD105","103","103","103","103","103","90","18","103"
"AD106","70","70","70","69","69","62","13","70"
"AD107","142","142","142","142","141","112","22","142"
"AD108","106","106","106","106","104","91","19","106"
"AD109","110","110","110","109","108","99","20","110"
"AD11","127","127","127","127","126","111","21","127"
"AD110","18","18","18","17","17","13","2","18"
"AD111","146","146","146","146","143","127","27","146"
"AD112","64","64","64","63","63","58","8","64"
"AD113","161","161","161","161","159","137","31","161"
"AD114","142","142","142","142","142","129","24","142"
"AD116","143","143","143","143","143","125","27","143"
"AD118","213","213","213","212","207","186","34","213"
"AD119","84","84","84","84","84","76","10","84"
"AD12","82","82","82","82","82","74","11","82"
"AD120","143","143","143","142","141","129","24","143"
"AD121","104","104","104","104","104","86","8","104"
"AD122","119","119","119","117","117","107","15","119"
"AD123","132","132","132","131","129","114","24","132"
"AD125","94","94","94","94","94","85","15","94"
"AD126","139","139","139","138","138","122","28","139"
"AD127","169","169","169","168","166","150","22","169"
"AD13","124","124","124","124","124","102","24","124"
"AD14","86","86","86","86","86","84","13","86"
"AD16","70","70","70","69","68","59","12","70"
"AD17","65","65","65","65","65","54","10","65"
"AD18","50","50","50","50","50","41","14","50"
"AD19","121","121","121","121","121","101","21","121"
"AD20","81","81","81","81","81","70","7","81"
"AD21","28","28","28","28","28","24","4","28"
"AD22","89","89","89","89","88","74","17","89"
"AD23","103","103","103","103","103","92","14","103"
"AD24","50","50","50","50","50","46","4","50"
"AD25","38","38","38","38","38","33","7","38"
"AD26","108","108","108","108","108","95","21","108"
"AD27","31","31","31","31","31","31","9","31"
"AD29","147","147","147","147","146","122","28","147"
"AD30","110","110","110","110","110","97","11","110"
"AD31","95","95","95","94","92","84","15","95"
"AD32","43","43","43","43","43","23","7","43"
"AD33","151","151","151","150","149","145","31","151"
"AD34","96","96","96","96","96","84","15","96"
"AD35","88","88","88","88","87","79","12","88"
"AD36","26","26","26","26","26","26","9","26"
"AD37","147","147","147","146","141","128","30","147"
"AD40","101","101","101","101","100","86","14","101"
"AD41","136","136","136","135","135","130","22","136"
"AD47","47","47","47","46","46","43","9","47"
"AD50","191","191","191","190","187","145","21","191"
"AD53","131","131","131","131","131","112","16","131"
"AD54","144","144","144","144","143","130","29","144"
"AD55","61","61","61","61","61","59","9","61"
"AD58","81","81","81","81","81","74","12","81"
"AD59","96","96","96","96","96","91","11","96"
"AD60","112","112","112","112","111","96","28","112"
"AD61","66","66","66","66","66","60","12","66"
"AD62","70","70","70","70","69","57","16","70"
"AD63","114","114","114","114","114","109","13","114"
"AD64","129","129","129","129","129","108","8","129"
"AD65","145","145","145","144","141","127","27","145"
"AD66","93","93","93","93","93","87","18","93"
"AD67","33","33","33","33","33","25","4","33"
"AD68","35","35","35","34","34","33","10","35"
"AD69","148","148","148","148","148","131","19","148"
"AD70","101","101","101","99","97","77","16","101"
"AD71","26","26","26","26","26","23","4","26"
"AD74","79","79","79","79","79","76","22","79"
"AD75","138","138","138","138","138","133","31","138"
"AD76","114","114","114","113","113","96","19","114"
"AD77","92","92","92","92","92","82","17","92"
"AD78","184","184","184","184","181","156","33","184"
"AD79","106","106","106","106","105","82","17","106"
"AD80","120","120","120","118","115","99","26","120"
"AD83","83","83","83","83","82","76","19","83"
"AD84","95","95","95","95","94","76","13","95"
"AD85","110","110","110","110","109","94","20","110"
"AD86","77","77","77","77","77","66","10","77"
"AD88","110","110","110","110","108","80","19","110"
"AD89","112","112","112","112","111","92","28","112"
"AD90","123","123","123","122","122","111","26","123"
"AD91","132","132","132","131","131","114","30","132"
"AD92","41","41","41","40","40","36","12","41"
"AD93","100","100","100","99","98","86","16","100"
"AD94","93","93","93","93","93","82","10","93"
"AD96","53","53","53","52","52","45","9","53"
"AD97","49","49","49","48","48","47","12","49"
"AD98","67","67","67","66","66","61","12","67"
"AD99","39","39","39","39","39","39","7","39"
"C01","131","131","131","131","131","116","18","131"
"C02","49","49","49","49","49","46","5","49"
"C03","191","191","191","191","190","171","24","191"
"C05","58","58","58","58","58","50","6","58"
"C07","98","98","98","98","98","90","16","98"
"C08","124","124","124","124","124","114","12","124"
"C09","92","92","92","92","92","70","4","92"
"C10","151","151","151","151","149","137","24","151"
"C11","115","115","115","115","114","108","21","115"
"C12","147","147","147","146","144","135","23","147"
"C13","146","146","146","146","146","134","21","146"
"C15","108","108","108","108","107","82","9","108"
"C16","121","121","121","121","121","107","20","121"
"C17","83","83","83","83","83","68","1","83"
"C18","106","106","106","106","106","97","17","106"
"C19","161","161","161","161","160","144","20","161"
"C20","102","102","102","102","101","83","11","102"
"C21","63","63","63","63","62","55","7","63"
"C22","117","117","117","117","117","90","13","117"
"C23","97","97","97","97","96","73","14","97"
"C24","79","79","79","79","79","71","11","79"
"C25","132","132","132","132","131","104","15","132"
"C26","91","91","91","91","91","79","15","91"
"C27","126","126","126","126","125","109","13","126"
"C28","130","130","130","130","130","124","23","130"
"C29","92","92","92","92","92","79","8","92"
"C30","155","155","155","155","155","146","19","155"
"C31","97","97","97","97","97","82","6","97"
"C32","104","104","104","104","104","97","16","104"
"C33","110","110","110","110","110","99","11","110"
"C34","67","67","67","67","67","52","6","67"
"C35","135","135","135","135","135","118","15","135"
"C36","72","72","72","72","72","68","9","72"
"C39","119","119","119","119","119","108","22","119"
"C40","50","50","50","50","50","41","12","50"
"C42","160","160","160","160","160","144","24","160"
"C43","194","194","194","194","191","163","32","194"
"C44","135","135","135","135","134","120","21","135"
"C46","121","121","121","121","121","111","16","121"
"C49","54","54","54","54","54","49","8","54"
"C50","145","145","145","145","144","133","22","145"
"C51","141","141","141","140","140","124","25","141"
"C52","99","99","99","99","98","83","22","99"
"C54","119","119","119","119","119","101","15","119"
"C55","57","57","57","57","57","56","8","57"
"C57","109","109","109","109","109","95","8","109"
"C58","119","119","119","119","119","99","15","119"
"C59","75","75","75","74","73","52","12","75"
"C60","47","47","47","47","47","41","4","47"
"C61","156","156","156","156","154","143","27","156"
"C62","111","111","111","111","111","100","25","111"
"C63","101","101","101","101","101","90","11","101"
"C64","54","54","54","54","54","48","5","54"
"C71","72","72","72","72","72","65","8","72"
"C72","186","186","186","186","184","160","21","186"
"C73","117","117","117","117","117","109","21","117"
"C74","58","58","58","58","58","45","7","58"
"C75","168","168","168","168","166","149","25","168"
"C76","85","85","85","85","85","80","11","85"
"C77","48","48","48","48","48","40","5","48"
"C78","41","41","41","41","41","34","2","41"
"C79","83","83","83","83","83","78","14","83"
"C80","89","89","89","89","89","84","11","89"
"C81","152","152","152","152","152","139","20","152"
"C82","65","65","65","65","65","59","13","65"
"C83","27","27","27","27","27","25","6","27"
"C84","131","131","131","131","130","121","21","131"
"C85","133","133","133","133","133","120","20","133"
"C86","120","120","120","120","119","108","28","120"
"C87","133","133","133","133","133","116","13","133"
"C88","143","143","143","143","141","125","16","143"
"SUM","1584","1584","1584","1580","1567","1352","286","1584"
