	SubjectID1	SubjectID2	Group1	Group2	Distance
0	AD04	AD01	AD	AD	0.9457661106553641
1	AD05	AD01	AD	AD	0.9624464497311093
2	AD05	AD04	AD	AD	0.9897912678880686
3	AD07	AD01	AD	AD	0.8757633761735485
4	AD07	AD04	AD	AD	0.8480539604411631
5	AD07	AD05	AD	AD	0.939203354297694
6	AD08	AD01	AD	AD	0.9472245009570687
7	AD08	AD04	AD	AD	0.9597119679154134
8	AD08	AD05	AD	AD	0.9575243824628566
9	AD08	AD07	AD	AD	0.6463403518366603
10	AD09	AD01	AD	AD	0.8900738310090238
11	AD09	AD04	AD	AD	0.8302798286391395
12	AD09	AD05	AD	AD	0.9422112842949595
13	AD09	AD07	AD	AD	0.8215294868289126
14	AD09	AD08	AD	AD	0.8987330234253942
15	AD10	AD01	AD	AD	0.7306535411539513
16	AD10	AD04	AD	AD	0.9300884149120409
17	AD10	AD05	AD	AD	0.9331874943031628
18	AD10	AD07	AD	AD	0.7404976756904567
19	AD10	AD08	AD	AD	0.8756722267796919
20	AD10	AD09	AD	AD	0.8608148755810774
21	AD100	AD01	AD	AD	0.9522377176191779
22	AD100	AD04	AD	AD	0.961717254580257
23	AD100	AD05	AD	AD	0.8500592471060068
24	AD100	AD07	AD	AD	0.9556102451918694
25	AD100	AD08	AD	AD	0.9730197794184668
26	AD100	AD09	AD	AD	0.8666484367878954
27	AD100	AD10	AD	AD	0.9618995533679701
28	AD101	AD01	AD	AD	0.9634490930635311
29	AD101	AD04	AD	AD	0.9045665846322122
30	AD101	AD05	AD	AD	0.9850514994075289
31	AD101	AD07	AD	AD	0.8036642056330325
32	AD101	AD08	AD	AD	0.9732020782061799
33	AD101	AD09	AD	AD	0.8884331419196062
34	AD101	AD10	AD	AD	0.9545164524655911
35	AD101	AD100	AD	AD	0.9018321028165163
36	AD102	AD01	AD	AD	0.9696472518457753
37	AD102	AD04	AD	AD	0.9311822076383192
38	AD102	AD05	AD	AD	0.985233798195242
39	AD102	AD07	AD	AD	0.8424026980220581
40	AD102	AD08	AD	AD	0.9814966730471243
41	AD102	AD09	AD	AD	0.8760368243551181
42	AD102	AD10	AD	AD	0.9575243824628566
43	AD102	AD100	AD	AD	0.8146021328958163
44	AD102	AD101	AD	AD	0.7262783702488378
45	AD103	AD01	AD	AD	0.9745693191140279
46	AD103	AD04	AD	AD	0.949503235803482
47	AD103	AD05	AD	AD	0.9824081669856896
48	AD103	AD07	AD	AD	0.9479536961079209
49	AD103	AD08	AD	AD	0.9824081669856896
50	AD103	AD09	AD	AD	0.9165071552274178
51	AD103	AD10	AD	AD	0.9641782882143833
52	AD103	AD100	AD	AD	0.9149576155318567
53	AD103	AD101	AD	AD	0.9426670312642421
54	AD103	AD102	AD	AD	0.5943851973384378
55	AD104	AD01	AD	AD	0.8551636131619724
56	AD104	AD04	AD	AD	0.8987330234253942
57	AD104	AD05	AD	AD	0.9323671497584541
58	AD104	AD07	AD	AD	0.5427946404156412
59	AD104	AD08	AD	AD	0.7292863002461034
60	AD104	AD09	AD	AD	0.8235347734937563
61	AD104	AD10	AD	AD	0.7550815787075016
