	SubjectID1	SubjectID2	Group1	Group2	Distance
0	AD04	AD01	AD	AD	0.5396592141531633
1	AD05	AD01	AD	AD	0.5721806410685513
2	AD05	AD04	AD	AD	0.4772282251289024
3	AD07	AD01	AD	AD	0.525697163501293
4	AD07	AD04	AD	AD	0.5006222459893188
5	AD07	AD05	AD	AD	0.4845431952078164
6	AD08	AD01	AD	AD	0.624460624647514
7	AD08	AD04	AD	AD	0.49011572793586405
8	AD08	AD05	AD	AD	0.4633990209559547
9	AD08	AD07	AD	AD	0.5737365277173931
10	AD09	AD01	AD	AD	0.5724240950649097
11	AD09	AD04	AD	AD	0.47542302427415356
12	AD09	AD05	AD	AD	0.561104660732769
13	AD09	AD07	AD	AD	0.5198674143397743
14	AD09	AD08	AD	AD	0.5244856404069466
15	AD10	AD01	AD	AD	0.4324394850041051
16	AD10	AD04	AD	AD	0.5029130423170758
17	AD10	AD05	AD	AD	0.5821887882290105
18	AD10	AD07	AD	AD	0.433787955831604
19	AD10	AD08	AD	AD	0.5995402653099317
20	AD10	AD09	AD	AD	0.5236198219786019
21	AD100	AD01	AD	AD	0.5292040833110152
22	AD100	AD04	AD	AD	0.5734413195407527
23	AD100	AD05	AD	AD	0.6037468994748877
24	AD100	AD07	AD	AD	0.5475177449579965
25	AD100	AD08	AD	AD	0.5749300873583663
26	AD100	AD09	AD	AD	0.5100758368378334
27	AD100	AD10	AD	AD	0.5645892377707336
28	AD101	AD01	AD	AD	0.6541468209176006
29	AD101	AD04	AD	AD	0.4935045130096628
30	AD101	AD05	AD	AD	0.431473973320188
31	AD101	AD07	AD	AD	0.5331959107287471
32	AD101	AD08	AD	AD	0.5030618333767704
33	AD101	AD09	AD	AD	0.5905694941998674
34	AD101	AD10	AD	AD	0.5890249363122079
35	AD101	AD100	AD	AD	0.6610713152736069
36	AD102	AD01	AD	AD	0.5777667247421577
37	AD102	AD04	AD	AD	0.47898109916509707
38	AD102	AD05	AD	AD	0.4732118112265398
39	AD102	AD07	AD	AD	0.5064417917432202
40	AD102	AD08	AD	AD	0.5461277604191657
41	AD102	AD09	AD	AD	0.5484494584047059
42	AD102	AD10	AD	AD	0.5516019734600343
43	AD102	AD100	AD	AD	0.5316163162159271
44	AD102	AD101	AD	AD	0.49061269633182353
45	AD103	AD01	AD	AD	0.6069133973911595
46	AD103	AD04	AD	AD	0.5089219442600654
47	AD103	AD05	AD	AD	0.5010975045945059
48	AD103	AD07	AD	AD	0.5181517662219394
49	AD103	AD08	AD	AD	0.5518968494164816
50	AD103	AD09	AD	AD	0.5739066757566474
51	AD103	AD10	AD	AD	0.5927850436099861
52	AD103	AD100	AD	AD	0.5355548991549752
53	AD103	AD101	AD	AD	0.5294311850864301
54	AD103	AD102	AD	AD	0.2741200762173693
55	AD104	AD01	AD	AD	0.4661034875734178
56	AD104	AD04	AD	AD	0.5145230607662521
57	AD104	AD05	AD	AD	0.5169988157376055
58	AD104	AD07	AD	AD	0.49569239350806626
59	AD104	AD08	AD	AD	0.5318700659757154
60	AD104	AD09	AD	AD	0.5549780094023447
61	AD104	AD10	AD	AD	0.5083837704417836
62	AD104	AD100	AD	AD	0.5459942632251447
63	AD104	AD101	AD	AD	0.5693473025740577
64	AD104	AD102	AD	AD	0.5495277453927185
65	AD104	AD103	AD	AD	0.5541970544332873
66	AD105	AD01	AD	AD	0.5643122807416563
67	AD105	AD04	AD	AD	0.5032770221001641
68	AD105	AD05	AD	AD	0.5052670388932897
69	AD105	AD07	AD	AD	0.5633192225044633
70	AD105	AD08	AD	AD	0.5113699185132865
71	AD105	AD09	AD	AD	0.5055577637633105
72	AD105	AD10	AD	AD	0.5703022919653296
73	AD105	AD100	AD	AD	0.43801216815752225
74	AD105	AD101	AD	AD	0.5576424045745203
75	AD105	AD102	AD	AD	0.45549001289032115
76	AD105	AD103	AD	AD	0.45621014013681377
77	AD105	AD104	AD	AD	0.515644135853954
78	AD106	AD01	AD	AD	0.6264109820725876
79	AD106	AD04	AD	AD	0.5168913487545119
80	AD106	AD05	AD	AD	0.5664027513717753
81	AD106	AD07	AD	AD	0.6512134127172216
82	AD106	AD08	AD	AD	0.49769741505149984
83	AD106	AD09	AD	AD	0.5627005851295945
84	AD106	AD10	AD	AD	0.6178465488947166
85	AD106	AD100	AD	AD	0.517842171510944
86	AD106	AD101	AD	AD	0.5535959104589414
87	AD106	AD102	AD	AD	0.5456848941439758
88	AD106	AD103	AD	AD	0.5102159596392205
89	AD106	AD104	AD	AD	0.5317331251206996
90	AD106	AD105	AD	AD	0.4656617665284123
91	AD107	AD01	AD	AD	0.568905913634618
92	AD107	AD04	AD	AD	0.49509548923717145
93	AD107	AD05	AD	AD	0.5371156224133068
94	AD107	AD07	AD	AD	0.494923230096753
95	AD107	AD08	AD	AD	0.5666911783318759
96	AD107	AD09	AD	AD	0.5034374867203983
97	AD107	AD10	AD	AD	0.5323974369834596
98	AD107	AD100	AD	AD	0.43839197982304545
99	AD107	AD101	AD	AD	0.5671062786936324
100	AD107	AD102	AD	AD	0.4097185458863049
101	AD107	AD103	AD	AD	0.45196984305471244
102	AD107	AD104	AD	AD	0.5516959105786066
103	AD107	AD105	AD	AD	0.4121998225198904
104	AD107	AD106	AD	AD	0.5363311530044449
105	AD108	AD01	AD	AD	0.5793986050439597
106	AD108	AD04	AD	AD	0.4342040726022639
107	AD108	AD05	AD	AD	0.49366014250378615
108	AD108	AD07	AD	AD	0.4733935977997789
109	AD108	AD08	AD	AD	0.5151330994689666
110	AD108	AD09	AD	AD	0.5031414312000362
111	AD108	AD10	AD	AD	0.5184298471037955
112	AD108	AD100	AD	AD	0.4961421977172664
113	AD108	AD101	AD	AD	0.4869391676628858
114	AD108	AD102	AD	AD	0.4330646402956457
115	AD108	AD103	AD	AD	0.45981162162915634
116	AD108	AD104	AD	AD	0.4798156631119441
117	AD108	AD105	AD	AD	0.46210370121466776
118	AD108	AD106	AD	AD	0.51895793154067
119	AD108	AD107	AD	AD	0.4205486691299282
120	AD109	AD01	AD	AD	0.5689511844643433
121	AD109	AD04	AD	AD	0.57256758072643
122	AD109	AD05	AD	AD	0.5738339198076322
123	AD109	AD07	AD	AD	0.5640669810647705
124	AD109	AD08	AD	AD	0.5843378607913392
125	AD109	AD09	AD	AD	0.5013585591684058
126	AD109	AD10	AD	AD	0.5733438496090336
127	AD109	AD100	AD	AD	0.4272227343925905
128	AD109	AD101	AD	AD	0.635511915382371
129	AD109	AD102	AD	AD	0.5424240197757979
130	AD109	AD103	AD	AD	0.5058750475845492
131	AD109	AD104	AD	AD	0.5375401828189328
132	AD109	AD105	AD	AD	0.5140788357128505
133	AD109	AD106	AD	AD	0.5075268660989822
134	AD109	AD107	AD	AD	0.4745138981156064
135	AD109	AD108	AD	AD	0.4792511741090517
136	AD11	AD01	AD	AD	0.5606472854026939
137	AD11	AD04	AD	AD	0.6146549144057015
138	AD11	AD05	AD	AD	0.5861778313128555
139	AD11	AD07	AD	AD	0.5309229097731184
140	AD11	AD08	AD	AD	0.6026003998567527
141	AD11	AD09	AD	AD	0.5703056114055325
142	AD11	AD10	AD	AD	0.5264460790653109
143	AD11	AD100	AD	AD	0.5914342001871877
144	AD11	AD101	AD	AD	0.646942277296663
145	AD11	AD102	AD	AD	0.6102609802639616
146	AD11	AD103	AD	AD	0.6448233859037015
147	AD11	AD104	AD	AD	0.5991922220479863
148	AD11	AD105	AD	AD	0.5933874237262717
149	AD11	AD106	AD	AD	0.6858372329111537
150	AD11	AD107	AD	AD	0.5719611029839534
151	AD11	AD108	AD	AD	0.5769719850191571
152	AD11	AD109	AD	AD	0.5793651949881886
153	AD110	AD01	AD	AD	0.8509336511523248
154	AD110	AD04	AD	AD	0.8150364717908625
155	AD110	AD05	AD	AD	0.8136314500581623
156	AD110	AD07	AD	AD	0.8548382600487874
157	AD110	AD08	AD	AD	0.7571782382881852
158	AD110	AD09	AD	AD	0.7977352741110257
159	AD110	AD10	AD	AD	0.8649466456907571
160	AD110	AD100	AD	AD	0.8139931778329051
161	AD110	AD101	AD	AD	0.8247599018902018
162	AD110	AD102	AD	AD	0.8080262886992826
163	AD110	AD103	AD	AD	0.8112462754758971
164	AD110	AD104	AD	AD	0.8284210818766012
165	AD110	AD105	AD	AD	0.7846342958289385
166	AD110	AD106	AD	AD	0.7254355302759461
167	AD110	AD107	AD	AD	0.7992852256886022
168	AD110	AD108	AD	AD	0.8131887570880063
169	AD110	AD109	AD	AD	0.7904309317117262
170	AD110	AD11	AD	AD	0.7284690352505667
171	AD111	AD01	AD	AD	0.5188393856152945
172	AD111	AD04	AD	AD	0.5926416745831531
173	AD111	AD05	AD	AD	0.6098085098523546
174	AD111	AD07	AD	AD	0.5231818945751779
175	AD111	AD08	AD	AD	0.624615924065371
176	AD111	AD09	AD	AD	0.5507319933864063
177	AD111	AD10	AD	AD	0.5470692702536186
178	AD111	AD100	AD	AD	0.5187819903349749
179	AD111	AD101	AD	AD	0.6310094842076662
180	AD111	AD102	AD	AD	0.5726587251202679
181	AD111	AD103	AD	AD	0.5823353900190562
182	AD111	AD104	AD	AD	0.5844066321941577
183	AD111	AD105	AD	AD	0.5294738000328966
184	AD111	AD106	AD	AD	0.6382939942513716
185	AD111	AD107	AD	AD	0.5188859418699366
186	AD111	AD108	AD	AD	0.5296752058390869
187	AD111	AD109	AD	AD	0.5521587945029472
188	AD111	AD11	AD	AD	0.47154580532645707
189	AD111	AD110	AD	AD	0.7063900089779134
190	AD112	AD01	AD	AD	0.6820923399591098
191	AD112	AD04	AD	AD	0.5848496200965444
192	AD112	AD05	AD	AD	0.4732466159672595
193	AD112	AD07	AD	AD	0.6535223428106723
194	AD112	AD08	AD	AD	0.5074105064567929
195	AD112	AD09	AD	AD	0.6075988400085485
196	AD112	AD10	AD	AD	0.6682097044753875
197	AD112	AD100	AD	AD	0.6599295011739255
198	AD112	AD101	AD	AD	0.4575947876611339
199	AD112	AD102	AD	AD	0.5596289043175695
200	AD112	AD103	AD	AD	0.5653860058740587
201	AD112	AD104	AD	AD	0.5837180624771632
202	AD112	AD105	AD	AD	0.5971684308152423
203	AD112	AD106	AD	AD	0.5391903409521558
204	AD112	AD107	AD	AD	0.6344163143093493
205	AD112	AD108	AD	AD	0.5808481060788077
206	AD112	AD109	AD	AD	0.5976764352319672
207	AD112	AD11	AD	AD	0.6949453719248458
208	AD112	AD110	AD	AD	0.7709759027459651
209	AD112	AD111	AD	AD	0.6850345624164568
210	AD113	AD01	AD	AD	0.5438597515430189
211	AD113	AD04	AD	AD	0.5754608680682483
212	AD113	AD05	AD	AD	0.6157864955377045
213	AD113	AD07	AD	AD	0.49210272110472103
214	AD113	AD08	AD	AD	0.6298984348591415
215	AD113	AD09	AD	AD	0.5624439163046238
216	AD113	AD10	AD	AD	0.4939518583348347
217	AD113	AD100	AD	AD	0.4983192122673185
218	AD113	AD101	AD	AD	0.6548019475030541
219	AD113	AD102	AD	AD	0.5922693339322365
220	AD113	AD103	AD	AD	0.5844869145069171
221	AD113	AD104	AD	AD	0.5396043395747709
222	AD113	AD105	AD	AD	0.5631525161961158
223	AD113	AD106	AD	AD	0.6534960932383483
224	AD113	AD107	AD	AD	0.5286100580806521
225	AD113	AD108	AD	AD	0.5419437324036395
226	AD113	AD109	AD	AD	0.594376225402591
227	AD113	AD11	AD	AD	0.4822871061922105
228	AD113	AD110	AD	AD	0.7841574117379055
229	AD113	AD111	AD	AD	0.4888620954129221
230	AD113	AD112	AD	AD	0.7263647321902102
231	AD114	AD01	AD	AD	0.5220758620722661
232	AD114	AD04	AD	AD	0.5051533640953308
233	AD114	AD05	AD	AD	0.5416558379924425
234	AD114	AD07	AD	AD	0.43484532254372094
235	AD114	AD08	AD	AD	0.5382432665803613
236	AD114	AD09	AD	AD	0.505400933218882
237	AD114	AD10	AD	AD	0.4653200450135454
238	AD114	AD100	AD	AD	0.5728392393992967
239	AD114	AD101	AD	AD	0.5249791473372859
240	AD114	AD102	AD	AD	0.5370794911169231
241	AD114	AD103	AD	AD	0.5387415695836324
242	AD114	AD104	AD	AD	0.44698969615857015
243	AD114	AD105	AD	AD	0.558561914410544
244	AD114	AD106	AD	AD	0.5839400408431387
245	AD114	AD107	AD	AD	0.5316020783427136
246	AD114	AD108	AD	AD	0.47473117319858954
247	AD114	AD109	AD	AD	0.5365327043160569
248	AD114	AD11	AD	AD	0.5712156480792602
249	AD114	AD110	AD	AD	0.8461386622753209
250	AD114	AD111	AD	AD	0.5774252915326231
251	AD114	AD112	AD	AD	0.5960475959235104
252	AD114	AD113	AD	AD	0.5400724803067998
253	AD116	AD01	AD	AD	0.5547015308191935
254	AD116	AD04	AD	AD	0.4484330319454062
255	AD116	AD05	AD	AD	0.45748833503052383
256	AD116	AD07	AD	AD	0.49260553406184765
257	AD116	AD08	AD	AD	0.4958176959537748
258	AD116	AD09	AD	AD	0.47758527230628767
259	AD116	AD10	AD	AD	0.49376013614670566
260	AD116	AD100	AD	AD	0.5120043310832283
261	AD116	AD101	AD	AD	0.5044418797968713
262	AD116	AD102	AD	AD	0.5106120070733212
263	AD116	AD103	AD	AD	0.5063601723021597
264	AD116	AD104	AD	AD	0.4357623583688607
265	AD116	AD105	AD	AD	0.47712245275887083
266	AD116	AD106	AD	AD	0.5035188550418783
267	AD116	AD107	AD	AD	0.49642565094222135
268	AD116	AD108	AD	AD	0.4463750470474451
269	AD116	AD109	AD	AD	0.5192903582809844
270	AD116	AD11	AD	AD	0.6002198222673368
271	AD116	AD110	AD	AD	0.8344997436791768
272	AD116	AD111	AD	AD	0.567146602497058
273	AD116	AD112	AD	AD	0.5336714747396017
274	AD116	AD113	AD	AD	0.5272765395538437
275	AD116	AD114	AD	AD	0.44685729613473923
276	AD118	AD01	AD	AD	0.5297471209830982
277	AD118	AD04	AD	AD	0.6423064858614894
278	AD118	AD05	AD	AD	0.6494038537739373
279	AD118	AD07	AD	AD	0.569958838161302
280	AD118	AD08	AD	AD	0.6277479854496063
281	AD118	AD09	AD	AD	0.5719051384528344
282	AD118	AD10	AD	AD	0.5226284319897018
283	AD118	AD100	AD	AD	0.5040335183979852
284	AD118	AD101	AD	AD	0.7184839159556858
285	AD118	AD102	AD	AD	0.6601143533037847
286	AD118	AD103	AD	AD	0.6621666420169052
287	AD118	AD104	AD	AD	0.5615039388330371
288	AD118	AD105	AD	AD	0.5975906430815636
289	AD118	AD106	AD	AD	0.6359113196609865
290	AD118	AD107	AD	AD	0.59493596191955
291	AD118	AD108	AD	AD	0.589292269685402
292	AD118	AD109	AD	AD	0.5142092894649031
293	AD118	AD11	AD	AD	0.4798504934148052
294	AD118	AD110	AD	AD	0.7817067157904534
295	AD118	AD111	AD	AD	0.4754360794581233
296	AD118	AD112	AD	AD	0.7121310595021605
297	AD118	AD113	AD	AD	0.4374893189706491
298	AD118	AD114	AD	AD	0.5607085860156316
299	AD118	AD116	AD	AD	0.5641930073452034
300	AD119	AD01	AD	AD	0.604818959168641
301	AD119	AD04	AD	AD	0.4793680078340572
302	AD119	AD05	AD	AD	0.5361909901883641
303	AD119	AD07	AD	AD	0.6048370561563927
304	AD119	AD08	AD	AD	0.4929810968938112
305	AD119	AD09	AD	AD	0.5215068277865939
306	AD119	AD10	AD	AD	0.566472662662072
307	AD119	AD100	AD	AD	0.5659120470474079
308	AD119	AD101	AD	AD	0.45283103177598055
309	AD119	AD102	AD	AD	0.5367626222496957
310	AD119	AD103	AD	AD	0.5350466750311806
311	AD119	AD104	AD	AD	0.47783931108348476
312	AD119	AD105	AD	AD	0.5137598952218917
313	AD119	AD106	AD	AD	0.4364106960302891
314	AD119	AD107	AD	AD	0.562579280575927
315	AD119	AD108	AD	AD	0.4353924192239028
316	AD119	AD109	AD	AD	0.506489216882038
317	AD119	AD11	AD	AD	0.643214838436105
318	AD119	AD110	AD	AD	0.7745924172027971
319	AD119	AD111	AD	AD	0.6211992250027122
320	AD119	AD112	AD	AD	0.5126742881506658
321	AD119	AD113	AD	AD	0.6497525841135338
322	AD119	AD114	AD	AD	0.4865069035266582
323	AD119	AD116	AD	AD	0.44513742414292223
324	AD119	AD118	AD	AD	0.611623331343947
325	AD12	AD01	AD	AD	0.5976940121141722
326	AD12	AD04	AD	AD	0.41171068453655557
327	AD12	AD05	AD	AD	0.37845507793590966
328	AD12	AD07	AD	AD	0.3824308036782786
329	AD12	AD08	AD	AD	0.44889816205378197
330	AD12	AD09	AD	AD	0.4929630320418104
331	AD12	AD10	AD	AD	0.5099467796253829
332	AD12	AD100	AD	AD	0.581664596373396
333	AD12	AD101	AD	AD	0.407660444210934
334	AD12	AD102	AD	AD	0.4681203301921549
335	AD12	AD103	AD	AD	0.5151029180988778
336	AD12	AD104	AD	AD	0.5281976479396875
337	AD12	AD105	AD	AD	0.5206463823782571
338	AD12	AD106	AD	AD	0.55774433924519
339	AD12	AD107	AD	AD	0.4894714818280962
340	AD12	AD108	AD	AD	0.44039051139263063
341	AD12	AD109	AD	AD	0.5861750000528742
342	AD12	AD11	AD	AD	0.5918522418347332
343	AD12	AD110	AD	AD	0.8528773428134445
344	AD12	AD111	AD	AD	0.5746130245996476
345	AD12	AD112	AD	AD	0.5553143568195756
346	AD12	AD113	AD	AD	0.5744044823746676
347	AD12	AD114	AD	AD	0.48966201775121365
348	AD12	AD116	AD	AD	0.4345810995128383
349	AD12	AD118	AD	AD	0.6508818473823781
350	AD12	AD119	AD	AD	0.5217433588168514
351	AD120	AD01	AD	AD	0.5474218564096905
352	AD120	AD04	AD	AD	0.5316602343778802
353	AD120	AD05	AD	AD	0.588835425049085
354	AD120	AD07	AD	AD	0.5154463840232091
355	AD120	AD08	AD	AD	0.5530367266273337
356	AD120	AD09	AD	AD	0.5128273369196515
357	AD120	AD10	AD	AD	0.5197449831171318
358	AD120	AD100	AD	AD	0.5077700045883354
359	AD120	AD101	AD	AD	0.6205486472419608
360	AD120	AD102	AD	AD	0.57296085126464
361	AD120	AD103	AD	AD	0.5906551165570706
362	AD120	AD104	AD	AD	0.4568083546540474
363	AD120	AD105	AD	AD	0.5427902935337525
364	AD120	AD106	AD	AD	0.5482572289771309
365	AD120	AD107	AD	AD	0.5667076756803897
366	AD120	AD108	AD	AD	0.49769794228306063
367	AD120	AD109	AD	AD	0.5007742668504497
368	AD120	AD11	AD	AD	0.589381090826063
369	AD120	AD110	AD	AD	0.8077446710976156
370	AD120	AD111	AD	AD	0.571447012738769
371	AD120	AD112	AD	AD	0.6210481213543577
372	AD120	AD113	AD	AD	0.5661908158980918
373	AD120	AD114	AD	AD	0.45078367098561
374	AD120	AD116	AD	AD	0.4513521183869338
375	AD120	AD118	AD	AD	0.5322860443927024
376	AD120	AD119	AD	AD	0.44986516899763074
377	AD120	AD12	AD	AD	0.5566432078378947
378	AD121	AD01	AD	AD	0.5487383802572625
379	AD121	AD04	AD	AD	0.4611969545035196
380	AD121	AD05	AD	AD	0.3572387540787957
381	AD121	AD07	AD	AD	0.46831913789682933
382	AD121	AD08	AD	AD	0.44429279060647564
383	AD121	AD09	AD	AD	0.4869658179199449
384	AD121	AD10	AD	AD	0.5480953347845592
385	AD121	AD100	AD	AD	0.5402306381378175
386	AD121	AD101	AD	AD	0.4861580324548175
387	AD121	AD102	AD	AD	0.4713386184691461
388	AD121	AD103	AD	AD	0.46422269029278934
389	AD121	AD104	AD	AD	0.38126909777009743
390	AD121	AD105	AD	AD	0.4635304434138323
391	AD121	AD106	AD	AD	0.5176109633951309
392	AD121	AD107	AD	AD	0.5440149498369379
393	AD121	AD108	AD	AD	0.4630024539171362
394	AD121	AD109	AD	AD	0.5266403571012539
395	AD121	AD11	AD	AD	0.5820355838677974
396	AD121	AD110	AD	AD	0.8211019650561717
397	AD121	AD111	AD	AD	0.5924706590114882
398	AD121	AD112	AD	AD	0.5085400717217041
399	AD121	AD113	AD	AD	0.562279581124431
400	AD121	AD114	AD	AD	0.4263383028921185
401	AD121	AD116	AD	AD	0.38388464591811833
402	AD121	AD118	AD	AD	0.5909801564905965
403	AD121	AD119	AD	AD	0.44374188318865815
404	AD121	AD12	AD	AD	0.41729222785549025
405	AD121	AD120	AD	AD	0.4887013229404339
406	AD122	AD01	AD	AD	0.6263465621303459
407	AD122	AD04	AD	AD	0.5351434516913228
408	AD122	AD05	AD	AD	0.5462321097300745
409	AD122	AD07	AD	AD	0.5820722061124813
410	AD122	AD08	AD	AD	0.5238056249507843
411	AD122	AD09	AD	AD	0.5233929197670039
412	AD122	AD10	AD	AD	0.5638090664444634
413	AD122	AD100	AD	AD	0.558502574965146
414	AD122	AD101	AD	AD	0.5616538729125684
415	AD122	AD102	AD	AD	0.6145170610874595
416	AD122	AD103	AD	AD	0.6124601702335981
417	AD122	AD104	AD	AD	0.5125001985297428
418	AD122	AD105	AD	AD	0.5894050761544979
419	AD122	AD106	AD	AD	0.5411964544434427
420	AD122	AD107	AD	AD	0.6420832303339674
421	AD122	AD108	AD	AD	0.5558015895746283
422	AD122	AD109	AD	AD	0.47073138610339305
423	AD122	AD11	AD	AD	0.5817331626406942
424	AD122	AD110	AD	AD	0.8288137140373405
425	AD122	AD111	AD	AD	0.6496298185396402
426	AD122	AD112	AD	AD	0.5950712127175264
427	AD122	AD113	AD	AD	0.6086098971339464
428	AD122	AD114	AD	AD	0.49421233490487265
429	AD122	AD116	AD	AD	0.4892632758001892
430	AD122	AD118	AD	AD	0.5610250959341414
431	AD122	AD119	AD	AD	0.49061723512729905
432	AD122	AD12	AD	AD	0.5198837374613745
433	AD122	AD120	AD	AD	0.5038563937379701
434	AD122	AD121	AD	AD	0.46346348741858173
435	AD123	AD01	AD	AD	0.5183385240115613
436	AD123	AD04	AD	AD	0.5293368013726063
437	AD123	AD05	AD	AD	0.5545260197911716
438	AD123	AD07	AD	AD	0.5016172290436202
439	AD123	AD08	AD	AD	0.514028314800927
440	AD123	AD09	AD	AD	0.49269706090845145
441	AD123	AD10	AD	AD	0.5482227494284215
442	AD123	AD100	AD	AD	0.47364810785306083
443	AD123	AD101	AD	AD	0.6211024235022365
444	AD123	AD102	AD	AD	0.5294169993496469
445	AD123	AD103	AD	AD	0.5592760050150132
446	AD123	AD104	AD	AD	0.4738885840761769
447	AD123	AD105	AD	AD	0.5018479043792602
448	AD123	AD106	AD	AD	0.5623460072302215
449	AD123	AD107	AD	AD	0.49571527736280746
450	AD123	AD108	AD	AD	0.423940666477295
451	AD123	AD109	AD	AD	0.4736527720656324
452	AD123	AD11	AD	AD	0.5438614148004275
453	AD123	AD110	AD	AD	0.7970964825825415
454	AD123	AD111	AD	AD	0.544338055394949
455	AD123	AD112	AD	AD	0.634703673308354
456	AD123	AD113	AD	AD	0.5085711882886939
457	AD123	AD114	AD	AD	0.4679888753935364
458	AD123	AD116	AD	AD	0.5080666329358127
459	AD123	AD118	AD	AD	0.5140812065626112
460	AD123	AD119	AD	AD	0.5201330971440449
461	AD123	AD12	AD	AD	0.5393385647667099
462	AD123	AD120	AD	AD	0.4166841422609918
463	AD123	AD121	AD	AD	0.4821822509688018
464	AD123	AD122	AD	AD	0.5083623676460796
465	AD125	AD01	AD	AD	0.5734716726784527
466	AD125	AD04	AD	AD	0.4793775322781243
467	AD125	AD05	AD	AD	0.4801491417729368
468	AD125	AD07	AD	AD	0.5188273486230117
469	AD125	AD08	AD	AD	0.4390781656402733
470	AD125	AD09	AD	AD	0.5080394243818595
471	AD125	AD10	AD	AD	0.5678558688890896
472	AD125	AD100	AD	AD	0.6001378459233111
473	AD125	AD101	AD	AD	0.5353355163741905
474	AD125	AD102	AD	AD	0.5177452262429636
475	AD125	AD103	AD	AD	0.5244376807573456
476	AD125	AD104	AD	AD	0.4677884786726623
477	AD125	AD105	AD	AD	0.5764048350624644
478	AD125	AD106	AD	AD	0.5655455788806888
479	AD125	AD107	AD	AD	0.5623625021212588
480	AD125	AD108	AD	AD	0.48285583721999387
481	AD125	AD109	AD	AD	0.5691118274388616
482	AD125	AD11	AD	AD	0.6367930174936417
483	AD125	AD110	AD	AD	0.8268231521939073
484	AD125	AD111	AD	AD	0.618485940165132
