	AD	C	Rank1	Phylum	Class	Order	Family	Genus	Species	ID
26639d9f66c6c2106996b1c162605ff8	0.0701802304038016	-0.0988453949349318	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	NA	26639d9f66c6c2106996b1c162605ff8
9039275571577e03e38d718f59db0e1f	0.0543361362029985	-0.0765297692999979	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	NA	9039275571577e03e38d718f59db0e1f
ffc36e27c82042664a16bcd4d380b286	-0.0561366540469048	0.0790657099252181	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia_Shigella	NA	ffc36e27c82042664a16bcd4d380b286
d6dffb454cbb0b0c87367b03432c2b05	-0.0285745467241778	0.0402458404565884	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	NA	d6dffb454cbb0b0c87367b03432c2b05
32ab1812bd3770f4b7f6aad7273783da	-0.0447250434889114	0.0629930189984668	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	NA	32ab1812bd3770f4b7f6aad7273783da
0eebf22536faa70d10968eb4972b2736	-0.144943828858623	0.204146237829047	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	NA	0eebf22536faa70d10968eb4972b2736
38b7580c13cf081c9f279006c2dc70b9	0.210361285169665	-0.296283500238965	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_longum	38b7580c13cf081c9f279006c2dc70b9
2005a1e1770a6a8a846c0003bf97b97f	0.0557302356589784	-0.078493289660533	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA	2005a1e1770a6a8a846c0003bf97b97f
15e05255b2aa8ee3524ca61eb207bb18	0.127346995671587	-0.179361965734629	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA	15e05255b2aa8ee3524ca61eb207bb18
ca60f9527111263bca48622331f2b3f6	0.0670480562155952	-0.0944338819937961	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA	ca60f9527111263bca48622331f2b3f6
4d6fe682a4dd9aad8decfab830a193e0	-0.0803231017164916	0.113131129178157	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_merdae	4d6fe682a4dd9aad8decfab830a193e0
4abaa483334092f021534a979086baeb	0.0684478661172971	-0.0964054452356296	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_dorei	4abaa483334092f021534a979086baeb
6b6d13f1332283e053c18c3b7774b85c	-0.042116188887594	0.0593185758980197	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA	6b6d13f1332283e053c18c3b7774b85c
16684adccf4a4d35facc56a79870aaa9	0.132046957389573	-0.18598163012616	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	NA	16684adccf4a4d35facc56a79870aaa9
c5be3cbb0c4c3ad43d1c9902233d0993	-0.120525821362034	0.169754677974696	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelotrichaceae_UCG_003	NA	c5be3cbb0c4c3ad43d1c9902233d0993
dfa833b266bd2993b86feab3617b34c3	0.125311439805974	-0.176494985642217	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	NA	dfa833b266bd2993b86feab3617b34c3
df3d6113f855e22f2a6d44e60f01baa7	-0.129078660071483	0.181800929678145	Bacteria	Firmicutes	Clostridia	Peptostreptococcales_Tissierellales	Peptostreptococcaceae	Romboutsia	NA	df3d6113f855e22f2a6d44e60f01baa7
9eaff8c3aca7b74962decea682803d9c	-0.0134541907522155	0.0189495644397402	Bacteria	Firmicutes	Clostridia	Peptostreptococcales_Tissierellales	Peptostreptococcaceae	Intestinibacter	NA	9eaff8c3aca7b74962decea682803d9c
a91bc76d62d6331c453ebff9d153e71c	0.0779786208486493	-0.109829043448802	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	a91bc76d62d6331c453ebff9d153e71c
